web-scraper-order,web-scraper-start-url,title,title-href,link,link-href
1590496453-1400,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=128,Trump's coronavirus briefings face criticism,https://www.allsides.com/news/2020-03-24-0603/trumps-coronavirus-briefings-face-criticism,Read full story,https://thehill.com/homenews/administration/489139-the-memo-trumps-coronavirus-briefings-face-criticism
1590499771-2085,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=77,Zoom Is a Nightmare. So Why Is Everyone Still Using It?,https://www.allsides.com/news/2020-04-13-1816/zoom-nightmare-so-why-everyone-still-using-it,Read full story,https://onezero.medium.com/zoom-is-a-nightmare-so-why-is-everyone-still-using-it-1b05a4efd5cc
1590499741-2078,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=78,"During pandemic, staying mentally fit is just as important as physical fitness. Here's five tips to stay sharp and reduce stress.",https://www.allsides.com/news/2020-04-13-1124/during-pandemic-staying-mentally-fit-just-important-physical-fitness-heres-five,null,
1590495464-1158,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=147,Teetering economy sparks talk of second stimulus package,https://www.allsides.com/news/2020-03-16-0535/teetering-economy-sparks-talk-second-stimulus-package,Read full story,https://thehill.com/policy/finance/487531-teetering-economy-sparks-talk-of-second-stimulus-package
1590503954-2971,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=14,Most states still fall short of recommended testing levels,https://www.allsides.com/news/2020-05-15-1322/most-states-still-fall-short-recommended-testing-levels,Read full story,https://apnews.com/82c41087a018765006f74a789ca5a9a9
1590500438-2219,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=67,Pro-Trump protesters push back on stay-at-home orders,https://www.allsides.com/news/2020-04-17-1006/pro-trump-protesters-push-back-stay-home-orders,Read full story,https://apnews.com/ea4c17f541c7c63fac52941a6f43b885
1590494825-1036,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=163,President Trump Confirms 1st U.S. Coronavirus Death; U.S. Heightens Travel Warnings,https://www.allsides.com/news/2020-02-29-1530/president-trump-confirms-1st-us-coronavirus-death-us-heightens-travel-warnings,Read full story,https://www.npr.org/2020/02/29/810722517/seattle-area-patient-with-coronavirus-dies
1590502549-2652,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=34,Should colleges give refunds over coronavirus?,https://www.allsides.com/news/2020-05-04-1405/should-colleges-give-refunds-over-coronavirus,Read full story,https://news.yahoo.com/should-colleges-give-refunds-over-coronavirus-194017459.html
1590502077-2554,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=41,"For Native Americans, coronavirus looks heartbreakingly familiar",https://www.allsides.com/news/2020-05-05-0824/native-americans-coronavirus-looks-heartbreakingly-familiar,Read full story,https://www.csmonitor.com/The-Culture/2020/0430/For-Native-Americans-coronavirus-looks-heartbreakingly-familiar
1590500900-2317,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=60,"Georgia, other U.S. states press ahead with early coronavirus reopening",https://www.allsides.com/news/2020-04-21-1436/georgia-other-us-states-press-ahead-early-coronavirus-reopening,Read full story,https://www.reuters.com/article/us-health-coronavirus-usa/georgia-other-us-states-press-ahead-with-early-coronavirus-reopening-idUSKCN2231TU
1590503913-2965,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=14,Dr. Fauci,https://www.allsides.com/news/2020-05-15-0813/dr-fauci,null,
1590502818-2697,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=31,"Texas and California reopen: different pace, similar pressure",https://www.allsides.com/news/2020-05-07-0724/texas-and-california-reopen-different-pace-similar-pressure,Read full story,https://www.csmonitor.com/USA/Politics/2020/0506/Texas-and-California-reopen-different-pace-similar-pressure
1590494843-1040,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=162,Trump and the ‘New Hoax’,https://www.allsides.com/news/2020-03-04-0629/trump-and-new-hoax,Read full story,https://www.factcheck.org/2020/03/trump-and-the-new-hoax/
1590496016-1285,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=137,Coronavirus-Era Food Supply: America Has a Lot. Moving It Is Tricky.,https://www.allsides.com/news/2020-03-19-1156/coronavirus-era-food-supply-america-has-lot-moving-it-tricky,Read full story,https://www.wsj.com/articles/the-food-supply-u-s-has-a-lot-the-outbreak-makes-moving-it-tricky-11584631411?mod=hp_lead_pos5
1590494804-1031,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=164,U.S. Stocks Slide Into a Correction as Virus Fears Show No Sign of Easing,https://www.allsides.com/news/2020-02-27-1428/us-stocks-slide-correction-virus-fears-show-no-sign-easing,Read full story,https://www.wsj.com/articles/global-stocks-extend-declines-as-coronavirus-concerns-mount-11582784087
1590498693-1890,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=91,"Trump Has ‘Small,’ ‘Distant Link’ To Sanofi, French Drugmaker Of Hydroxychloroquine",https://www.allsides.com/news/2020-04-07-1004/trump-has-small-distant-link-sanofi-french-drugmaker-hydroxychloroquine,Read full story,https://www.forbes.com/sites/lisettevoytko/2020/04/07/trump-has-small-distant-link-to-sanofi-french-drugmaker-of-hydroxychloroquine/#52488b2a7260
1590497729-1702,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=106,Defense Production Act,https://www.allsides.com/news/2020-04-03-0532/defense-production-act,Read full story,https://www.theflipside.io/archives/defense-production-act
1590495217-1111,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=150,Stocks rebound on stimulus hopes after Wall Street’s worst day since 1987,https://www.allsides.com/news/2020-03-13-0718/stocks-rebound-stimulus-hopes-after-wall-street-s-worst-day-1987,Read full story,https://www.usatoday.com/story/money/2020/03/13/dow-stocks-poised-open-higher-after-worst-day-since-1987/5040329002/
1590497490-1646,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=110,Hospital Ship USNS Comfort Arrives In New York To Ease Coronavirus Pressure,https://www.allsides.com/news/2020-03-30-1051/hospital-ship-usns-comfort-arrives-new-york-ease-coronavirus-pressure,Read full story,https://www.npr.org/sections/coronavirus-live-updates/2020/03/30/823826987/hospital-ship-usns-comfort-arrives-in-new-york-to-ease-coronavirus-pressure
1590494812-1034,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=164,The U.S. Response to the Coronavirus,https://www.allsides.com/news/2020-02-28-0749/us-response-coronavirus,null,
1590500567-2246,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=65,Was a Swastika Flag Displayed at Operation Gridlock Protest?,https://www.allsides.com/news/2020-04-18-1219/was-swastika-flag-displayed-operation-gridlock-protest,Read full story,https://www.snopes.com/fact-check/swastika-flag-trump-pence-michigan/
1590494932-1059,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=159,A corporate role in ending epidemics,https://www.allsides.com/news/2020-03-12-1512/corporate-role-ending-epidemics,Read full story,https://www.csmonitor.com/Commentary/the-monitors-view/2020/0309/A-corporate-role-in-ending-epidemics
1590500275-2183,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=70,"GE, Ford sign $336 million federal contract to make ventilators for coronavirus outbreak",https://www.allsides.com/news/2020-04-16-1401/ge-ford-sign-336-million-federal-contract-make-ventilators-coronavirus-outbreak,Read full story,https://www.cnbc.com/2020/04/16/ge-ford-sign-336-million-federal-contract-for-ventilator-production.html
1590500043-2138,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=73,Coronavirus tests global sense of who wins: ‘me’ or ‘us’,https://www.allsides.com/news/2020-04-17-1009/coronavirus-tests-global-sense-who-wins-me-or-us,Read full story,https://www.csmonitor.com/World/2020/0415/Coronavirus-tests-global-sense-of-who-wins-me-or-us
1590501198-2377,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=55,States band together to take next step against coronavirus,https://www.allsides.com/news/2020-04-28-1332/states-band-together-take-next-step-against-coronavirus,Read full story,https://www.csmonitor.com/USA/Politics/2020/0423/States-band-together-to-take-next-step-against-coronavirus
