web-scraper-order,web-scraper-start-url,title,title-href,link,link-href
"1590530443-8840","https://www.allsides.com/topics/elections?search=elections&page=25","Biden's comeback leaves Sanders little time to expand appeal","https://www.allsides.com/news/2020-03-05-0726/bidens-comeback-leaves-sanders-little-time-expand-appeal","Read full story","https://www.reuters.com/article/us-usa-election-sanders/bidens-comeback-leaves-sanders-little-time-to-expand-appeal-idUSKBN20S18P"
"1590524250-7380","https://www.allsides.com/topics/elections?search=elections&page=157","Russia 'meddled in all big social media' in US election, says report","https://www.allsides.com/news/2018-12-17-0648/russia-meddled-all-big-social-media-us-election-says-report","Read full story","https://www.bbc.com/news/technology-46590890"
"1590531001-8996","https://www.allsides.com/topics/elections?search=elections&page=11","Has Bernie Sanders revolutionized U.S. politics?","https://www.allsides.com/news/2020-04-11-1540/has-bernie-sanders-revolutionized-us-politics","Read full story","https://news.yahoo.com/has-bernie-sanders-revolutionized-us-politics-150101005.html"
"1590517709-5883","https://www.allsides.com/topics/elections?search=elections&page=290","4 Things To Know About Hillary Clinton's Approach To Foreign Policy","https://www.allsides.com/news/2016-05-17-0822/4-things-know-about-hillary-clintons-approach-foreign-policy","Read full story","http://www.npr.org/2016/05/17/478361999/4-things-to-know-about-hillary-clintons-approach-to-foreign-policy"
"1590529982-8724","https://www.allsides.com/topics/elections?search=elections&page=36","Democratic rivals have seven days to stop Sanders","https://www.allsides.com/news/2020-02-25-0638/democratic-rivals-have-seven-days-stop-sanders","Read full story","https://thehill.com/homenews/the-memo/484444-the-memo-democratic-rivals-have-seven-days-to-stop-sanders"
"1590527233-8102","https://www.allsides.com/topics/elections?search=elections&page=95","Ocasio-Cortez endorses challenger to Democrat Lipinski in Illinois race","https://www.allsides.com/news/2019-09-17-1104/ocasio-cortez-endorses-challenger-democrat-lipinski-illinois-race","Read full story","https://thehill.com/homenews/campaign/461693-ocasio-cortez-endorses-challenger-to-democrat-in-illinois-race"
"1590516134-5536","https://www.allsides.com/topics/elections?search=elections&page=321","GOP Presidential Contenders Stay Classy With Major Shift In Debate Tone And Pitch","https://www.allsides.com/news/2016-03-11-0631/gop-presidential-contenders-stay-classy-major-shift-debate-tone-and-pitch","Read full story","http://www.npr.org/2016/03/11/470037275/gop-presidential-contenders-stay-classy-with-major-shift-in-debate-tone-and-pitc"
"1590517594-5855","https://www.allsides.com/topics/elections?search=elections&page=292","Criticism Grows Over Trump’s Withheld Tax Returns","https://www.allsides.com/news/2016-05-12-0726/criticism-grows-over-trump%E2%80%99s-withheld-tax-returns","Read full story","http://www.wsj.com/articles/furor-grows-over-trumps-withheld-tax-returns-1463005241"
"1590523478-7215","https://www.allsides.com/topics/elections?search=elections&page=173","USA TODAY/Suffolk Poll: The midterms are all about Trump, and Democrats have the edge in the stretch","https://www.allsides.com/news/2018-10-25-0757/usa-todaysuffolk-poll-midterms-are-all-about-trump-and-democrats-have-edge","Read full story","https://www.usatoday.com/story/news/politics/elections/2018/10/25/poll-midterm-elections-donald-trump-democrats/1742432002/"
"1590530312-8811","https://www.allsides.com/topics/elections?search=elections&page=28","Bloomberg to reassess White House bid on Wednesday, NBC reports","https://www.allsides.com/news/2020-03-03-1923/bloomberg-reassess-white-house-bid-wednesday-nbc-reports","Read full story","https://www.reuters.com/article/us-usa-election-bloomberg/bloomberg-to-reassess-white-house-bid-on-wednesday-nbc-reports-idUSKBN20R0B0"
