web-scraper-order,web-scraper-start-url,link,link-href
"1589914926-6217","https://time.com/search/?q=trump&page=10","Syria Missile Attack: What Donald Trump's Old Tweets Say | Time","https://time.com/4730219/syria-missile-attack-donald-trump-tweets/"
"1589914941-6243","https://time.com/search/?q=trump&page=7","Donald Trump: 16 Successful and Unsuccessful Business Ventures ...","https://time.com/3988970/donald-trump-business/"
"1589914926-6215","https://time.com/search/?q=trump&page=10","Donald Trump Condemns Charlottesville White Supremacy | Time","https://time.com/4899810/donald-trump-charlottesville/"
"1589914929-6226","https://time.com/search/?q=trump&page=9","Why Nancy Pelosi Is Going All in Against President Trump | Time","https://time.com/5762021/nancy-pelosi-trump-impeachment-gamble/"
"1589914958-6285","https://time.com/search/?q=trump&page=2","Donald Trump Insult Generator | Time","https://time.com/3966291/donald-trump-insult-generator/"
"1589914952-6264","https://time.com/search/?q=trump&page=4","Nearly 20% of Trump Fans Think Freeing Slaves Was a Bad Idea ...","https://time.com/4236640/donald-trump-racist-supporters/"
"1589914926-6213","https://time.com/search/?q=trump&page=10","Donald Trump Acquitted in Impeachment Trial. What It Means | Time","https://time.com/longform/donald-trump-acquitted-impeachment/"
"1589914956-6274","https://time.com/search/?q=trump&page=3","Donald Trump's Speech on Jobs and the Economy Transcript | Time","https://time.com/4495507/donald-trump-economy-speech-transcript/"
"1589914922-6208","https://time.com/search/?q=trump&page=11","Accidental Poisonings Rise After Trump Disinfectant Comments | Time","https://time.com/5835244/accidental-poisonings-trump/"
"1589914952-6270","https://time.com/search/?q=trump&page=4","Donald Trump Is on the 2019 TIME 100 List | Time.com","https://time.com/collection/100-most-influential-people-2019/5567754/donald-trump-3/"
"1589914945-6253","https://time.com/search/?q=trump&page=6","This Is Everything Donald Trump Said in His NFL Speech | Time","https://time.com/4954684/donald-trump-nfl-speech-anthem-protests/"
"1589914956-6278","https://time.com/search/?q=trump&page=3","Donald Trump Says He May Have Supported Japanese Internment ...","https://time.com/4140050/donald-trump-muslims-japanese-internment/"
"1589914956-6275","https://time.com/search/?q=trump&page=3","Donald Trump: TIME Interview on Being President | Time","https://time.com/4775040/donald-trump-time-interview-being-president/"
"1589914945-6248","https://time.com/search/?q=trump&page=6","How Coronavirus Could Affect Donald Trump's Re-Election | Time","https://time.com/5800093/coronavirus-donald-trump-2020-election/"
"1589914958-6289","https://time.com/search/?q=trump&page=2","Donald Trump's Many, Many, Many, Many Ties to Russia","https://time.com/4433880/donald-trump-ties-to-russia/"
"1589914962-6296","https://time.com/search/?q=trump&page=1","Donald Trump: All the Times He's Insulted Mexico | Time","https://time.com/4473972/donald-trump-mexico-meeting-insult/"
"1589914935-6230","https://time.com/search/?q=trump&page=8","Donald Trump Oval Office Martin Luther King Bust Reporting | Time","https://time.com/4645541/donald-trump-white-house-oval-office/"
