web-scraper-order,web-scraper-start-url,link,link-href
"1589911579-4728","https://www.usatoday.com/policing/politics/","NFL
Trump rips ESPN for not airing national anthemTrump rips ESPN for not airing national anthemPresident Trump once again targeted the NFL over player protests, but he also spoke out against ESPN's decision not to broadcast the national anthem.NFL
1 year, 9 months ago","https://www.usatoday.com/story/sports/nfl/2018/08/21/donald-trump-national-anthem-kneeling-protest-players/1058300002/"
"1589911579-4734","https://www.usatoday.com/policing/politics/","NFL
Trump to protesting players: 'Be happy, be cool'Trump to protesting players: 'Be happy, be cool'President Donald Trump continued his ongoing criticism of NFL players who kneel during the national anthem with a series of tweets Friday morning.NFL
1 year, 9 months ago","https://www.usatoday.com/story/sports/nfl/2018/08/10/donald-trump-tweets-nfl-players-happy-cool-protests-national-anthem/955024002/"
"1589911579-4717","https://www.usatoday.com/policing/politics/","Opinion
Bernie Sanders: Even inmates deserve to voteBernie Sanders: Even inmates deserve to voteCommitting a serious crime shouldn't strip people of their basic right to be a citizen and active participant in our democracy.Opinion
1 year ago","https://www.usatoday.com/story/opinion/2019/04/30/bernie-sanders-felons-deserve-vote-participate-democracy-suppression-trump-column/3621258002/"
"1589911579-4720","https://www.usatoday.com/policing/politics/","Data Behind the Headlines
Voters ready for criminal justice reformVoters ready for criminal justice reformBallot measures across the country restored right to vote for felons, rejected war on drugs, and tightened police accountability.Data Behind the Headlines
1 year, 6 months ago","https://www.usatoday.com/story/opinion/policing/data-casualties/2018/11/14/midterms-criminal-justice-reform-ballots-florida-policing-usa/1982282002/"
"1589911579-4732","https://www.usatoday.com/policing/politics/","Opinion
The next step in criminal justice reformThe next step in criminal justice reformDonald Trump has supported the First Step Act to reduce minimum sentences, but more can be done. For one thing, we need fewer crimes.Opinion
1 year, 9 months ago","https://www.usatoday.com/story/opinion/2018/08/07/reforming-criminal-justice-ending-plea-deals-fewer-laws-column/910644002/"
"1589911579-4712","https://www.usatoday.com/policing/politics/","Policing the USA
Inmates need more than Trump 'second chance' pushInmates need more than Trump 'second chance' pushPresidential 'second chance' initiatives would give inmates assistance after release. But what about those given a virtual life sentence?Policing the USA
11 months ago","https://www.usatoday.com/story/opinion/policing/2019/06/20/inmates-prison-reform-judges-sentencing-trump-policing-the-usa/1498072001/"
"1589911579-4714","https://www.usatoday.com/policing/politics/","Opinion
Do 2020 candidates care about criminal justice?Do 2020 candidates care about criminal justice?Criminal justice reform lacks the attention it's owed by 2020 presidential candidates. Mass incarceration demands the attention of all candidates.Opinion
11 months, 2 weeks ago","https://www.usatoday.com/story/opinion/2019/06/07/2020-candidates-should-make-criminal-justice-central-campaigns/1289640001/"
"1589911579-4724","https://www.usatoday.com/policing/politics/","News
Trump suggests Chicago police should stop and friskTrump suggests Chicago police should stop and friskPresident Donald Trump on Monday suggested Chicago police bring back the controversial practice known as “stop and frisk.""News
1 year, 7 months ago","https://www.usatoday.com/story/news/2018/10/08/trump-chicago-stop-and-frisk-stem-gun-violence/1570409002/"
"1589911579-4736","https://www.usatoday.com/policing/politics/","Politics
Sanders, progressives target 'debtor prison' systemSanders, progressives target 'debtor prison' systemVermont independent Bernie Sanders introduced legislation Wednesday to end the ""debtor prison"" system, saying it disproportionately impacts minorities and costs the U.S. $14 billion each year to lock up people who haven't been convicted.Politics
1 year, 9 months ago","https://www.usatoday.com/story/news/politics/2018/07/25/sen-bernie-sanders-progressives-aim-end-money-bail-system/837965002/"
"1589911579-4716","https://www.usatoday.com/policing/politics/","Politics
2020 Dems: Re-open Sandra Bland investigation2020 Dems: Re-open Sandra Bland investigationThere must be full accountability and justice,"" Beto O'Rourke tweeted.Politics
1 year ago","https://www.usatoday.com/story/news/politics/2019/05/07/sandra-bland-video-beto-orourke-julian-castro-call-investigation/1132203001/"
"1589911579-4735","https://www.usatoday.com/policing/politics/","Nation Now
Immigration judges accuse Sessions of interferenceImmigration judges accuse Sessions of interferenceThe union that represents immigration judges says Jeff Sessions has been undermining the independence of immigration judges.Nation Now
1 year, 9 months ago","https://www.usatoday.com/story/news/nation-now/2018/08/08/ag-jeff-sessions-accused-interference-immigration-judges/935016002/"
"1589911579-4737","https://www.usatoday.com/policing/politics/","Politics
Obama clemency program snared by DOJ infightingObama clemency program snared by DOJ infightingPresident Barack Obama's push to grant clemency to prison inmates convicted of drug offenses was hamstrung by a lack of planning, a Department of Justice report found. The report by DOJ's inspector general said infighting among the program's leaders delayed...Politics
1 year, 9 months ago","https://www.usatoday.com/story/news/politics/2018/08/01/obama-clemency-program-snared-doj-infighting/878683002/"
"1589911579-4726","https://www.usatoday.com/policing/politics/","Politics
NFL: Trump's toughest tweets knocking playersNFL: Trump's toughest tweets knocking playersPresident Trump renewed his criticism of the NFL, using the league's opening weekend to raise a recurrent fight over kneeling during the anthem.Politics
1 year, 8 months ago","https://www.usatoday.com/story/news/politics/2018/09/09/donald-trumps-toughest-tweets-kneeling-during-national-anthem/1248196002/"
"1589911579-4715","https://www.usatoday.com/policing/politics/","Opinion
Biden's criminal justice effort made us saferBiden's criminal justice effort made us saferJoe Biden deserves credit, not criticism, for all that he has done throughout this career to reduce and assist the number of crime victims.Opinion
12 months ago","https://www.usatoday.com/story/opinion/2019/05/24/murder-rates-lower-joe-biden-criminal-reform-column/3767687002/"
"1589911579-4718","https://www.usatoday.com/policing/politics/","Politics
Trump tried to impede probe. Was it obstruction?Trump tried to impede probe. Was it obstruction?Special counsel Robert Mueller detailed episodes in which President Trump sought to frustrate the investigation of Russian election interference.Politics
10 months ago","https://www.usatoday.com/story/news/politics/2019/04/18/mueller-report-evidence-for-and-against-obstruction-president-trump/3405039002/"
"1589911579-4711","https://www.usatoday.com/policing/politics/","Elections
Biden, Buttigieg try to reach black voters as 2020 race shiftsBiden, Buttigieg try to reach black voters as 2020 race shiftsOne of the two White House hopefuls gets the benefit of the doubt from black voters.Elections
10 months, 2 weeks ago","https://www.usatoday.com/story/news/politics/elections/2019/07/03/joe-biden-pete-buttigieg-courting-black-voters/1626693001/"
