web-scraper-order,web-scraper-start-url,link,link-href
1589911786-4769,https://www.usatoday.com/news/politics/,Justin Amash says he won't seek presidency,https://www.usatoday.com/story/news/politics/elections/2020/05/16/justin-amash-says-he-wont-seek-presidential-run-unseat-trump/5206686002/
1589911786-4750,https://www.usatoday.com/news/politics/,Trump says he's taking hydroxychloroquine,https://www.usatoday.com/videos/news/politics/2020/05/18/trump-says-hes-taking-hydroxychloroquine-prevent-coronavirus/5217221002/
1589911786-4758,https://www.usatoday.com/news/politics/,Feds link al-Qaida to Pensacola Naval station shooting,https://www.usatoday.com/story/news/politics/2020/05/18/al-qaeda-linked-to-pensacola-naval-air-station-shooting-investigators-say/5211722002/
1589911786-4768,https://www.usatoday.com/news/politics/,"CDC 'really let the country down,' Trump adviser says",https://www.usatoday.com/story/news/politics/2020/05/17/peter-navarro-cdc-let-country-down-coronavirus-testing/5208714002/
1589911786-4740,https://www.usatoday.com/news/politics/,Dems outline plan to make health care top issue amid coronavirus,https://www.usatoday.com/story/news/politics/2020/05/19/coronavirus-democrats-outline-plan-make-health-care-their-winning-issue/5216100002/
1589911786-4761,https://www.usatoday.com/news/politics/,A visual guide to the 2020 candidates’ thoughts on immigration and voting rights,https://www.usatoday.com/amp-stories/2020-presidential-candidates-positions-immigration-voting-rights/
1589911786-4771,https://www.usatoday.com/news/politics/,House Republicans unanimously back Paul Ryan for another term as speaker,https://www.usatoday.com/story/news/politics/elections/2016/11/15/paul-ryan-wins-re-election-house-speaker/93899284/
1589911786-4760,https://www.usatoday.com/news/politics/,Warren: Brother's COVID-19 death 'didn't have to happen',https://www.usatoday.com/story/news/politics/2020/05/18/elizabeth-warren-discusses-brother-death-coronavirus/5211531002/
1589911786-4754,https://www.usatoday.com/news/politics/,Engel: Fired watchdog was probing Saudi arms deal,https://www.usatoday.com/story/news/politics/2020/05/18/eliot-engel-steve-linick-investigating-saudi-arabia-arms-deal/5212918002/
1589911786-4749,https://www.usatoday.com/news/politics/,Voter guide: FAQs on the issues and compare the candidates,https://www.usatoday.com/storytelling/election-2020-voter-guide/
1589911786-4756,https://www.usatoday.com/news/politics/,"Barr: Obama, Biden not under criminal investigation",https://www.usatoday.com/story/news/politics/2020/05/18/obama-biden-not-under-criminal-investigation-despite-trumps-claims/5213295002/
1589911786-4745,https://www.usatoday.com/news/politics/,Trump says he's taking hydroxychloroquine,https://www.usatoday.com/story/news/politics/2020/05/18/coronavirus-trump-says-hes-taking-hydroxychloroquine/5216400002/
1589911786-4764,https://www.usatoday.com/news/politics/,Sanders voters who backed Trump in 2016 may turn to Biden in 2020,https://www.usatoday.com/story/news/politics/elections/2020/05/17/joe-biden-hopes-win-over-more-bernie-sanders-voters-beat-trump/5182446002/
