web-scraper-order,web-scraper-start-url,link,link-href
1589913244-5543,https://www.usatoday.com/search/?q=china&page=4,Diamond Princess cruise ship leaves Japan months after coronavirus outbreak to get last of crew home,https://www.usatoday.com/story/travel/cruises/2020/05/18/diamond-princess-cruise-ship-crew-leave-japan-after-coronavirus-ordeal/5212477002/
1589913248-5597,https://www.usatoday.com/search/?q=china&page=2,,https://www.usatoday.com/search/?q=china&page=1
1589913246-5557,https://www.usatoday.com/search/?q=china&page=3,"COVID-19: Wuhan, China celebrates the end of a 76-day lockdown",https://www.usatoday.com/videos/news/health/2020/04/08/covid-19-wuhan-china-celebrates-end-76-day-lockdown/2973519001/
1589913250-5614,https://www.usatoday.com/search/?q=china&page=1,"Amid coronavirus shortages, manufacturing face mask filters in China is like printing money",https://www.usatoday.com/story/news/investigations/2020/04/30/coronavirus-face-mask-filter-production-like-printing-money-china/3042545001/
1589913250-5611,https://www.usatoday.com/search/?q=china&page=1,Pompeo steadfast in blaming China for virus,https://www.usatoday.com/videos/news/nation/2020/05/06/pompeo-steadfast-blaming-china-virus/650003000/
1589913246-5572,https://www.usatoday.com/search/?q=china&page=3,,https://www.usatoday.com/search/?q=china&page=2
1589913246-5569,https://www.usatoday.com/search/?q=china&page=3,"Cuomo says New York getting 1,000 ventilators from China to help in coronavirus battle",https://www.usatoday.com/story/news/politics/2020/04/04/china-oregon-sending-1400-ventilators-new-york-fight-covid-19/2947608001/
1589913250-5612,https://www.usatoday.com/search/?q=china&page=1,Coronavirus live updates: Big buzz about Moderna's small vaccine test; Donald Trump threatens WHO funding; US deaths top 90K,https://www.usatoday.com/story/news/health/2020/05/18/coronavirus-updates-symptoms-vaccine-news-who-cuomo-test-cdc/5209822002/
1589913248-5595,https://www.usatoday.com/search/?q=china&page=2,"US coronavirus response a 'chaotic disaster,' Obama tells former staffers in call",https://www.usatoday.com/story/news/politics/2020/05/09/obama-lashes-out-at-trump-in-call-with-supporters/3104195001/
1589913241-5503,https://www.usatoday.com/search/?q=china&page=5,"U.S. passes Italy, China as nation with the most confirmed cases of COVID-19",https://www.usatoday.com/story/news/nation/2020/03/26/u-s-infections-hit-global-high-nation-passes-italy-and-china/2921779001/
1589913248-5601,https://www.usatoday.com/search/?q=china&page=2,,https://www.usatoday.com/search/?q=china&page=3
1589913248-5584,https://www.usatoday.com/search/?q=china&page=2,Coronavirus: Missouri becomes first state to sue China over 'an appalling campaign of deceit',https://www.usatoday.com/story/news/politics/2020/04/21/missouri-becomes-first-state-sue-china-over-covid-19-pandemic/3001505001/
1589913250-5620,https://www.usatoday.com/search/?q=china&page=1,"Border Protection officers seize 2,000 counterfeit 3M masks shipped from China, feds say",https://www.usatoday.com/story/news/nation/2020/04/23/2-000-counterfeit-3-m-masks-china-seized-border-protection/3014171001/
1589913248-5581,https://www.usatoday.com/search/?q=china&page=2,Coronavirus live updates: DHS says China hid outbreak's severity; Donald Trump revises US estimates; British PM Boris Johnson speaks out,https://www.usatoday.com/story/news/health/2020/05/03/coronavirus-update-beach-access-rise-restrictions-vary/3072365001/
1589913241-5507,https://www.usatoday.com/search/?q=china&page=5,"Fact check: Coronavirus originated in China, not elsewhere, researchers and studies say",https://www.usatoday.com/story/news/factcheck/2020/03/16/coronavirus-fact-check-where-did-covid-19-start-experts-say-china/5053783002/
1589913244-5529,https://www.usatoday.com/search/?q=china&page=4,Coronavirus lockdowns have caused a whopping 17% drop in global carbon emissions,https://www.usatoday.com/story/news/health/2020/05/19/coronavirus-has-caused-whopping-17-drop-global-carbon-emissions/5219885002/
1589913241-5509,https://www.usatoday.com/search/?q=china&page=5,Coronavirus live updates: More fallout from Trump taking unproven hydroxychloroquine; lockdowns spark carbon emissions drop,https://www.usatoday.com/story/news/health/2020/05/19/coronavirus-updates-treatment-trump-hydroxychloroquine-who-states-reopen/5214295002/
1589913248-5582,https://www.usatoday.com/search/?q=china&page=2,Trump says US investigating whether coronavirus spread after China lab mishap but cites no evidence,https://www.usatoday.com/story/news/world/2020/04/18/trump-us-investigating-whether-coronavirus-spread-china-lab/5158551002/
1589913246-5575,https://www.usatoday.com/search/?q=china&page=3,,https://www.usatoday.com/search/?q=china&page=4
1589913241-5502,https://www.usatoday.com/search/?q=china&page=5,Ikea parent company planning to expand with new malls in the US,https://www.usatoday.com/story/money/business/2020/05/14/coronavirus-effect-could-aid-ikea-parent-companys-us-mall-expansion/5191487002/
1589913250-5606,https://www.usatoday.com/search/?q=china&page=1,DOJ: China attempting to hijack COVID-19 research; FBI investigating,https://www.usatoday.com/story/news/politics/2020/05/13/doj-china-attempting-hijack-coronavirus-research/5182551002/
1589913246-5550,https://www.usatoday.com/search/?q=china&page=3,Patients in Florida had coronavirus symptoms as early as January,https://www.usatoday.com/story/news/nation/2020/05/05/patients-florida-had-symptoms-covid-19-early-january/3083949001/
1589913244-5532,https://www.usatoday.com/search/?q=china&page=4,How antibodies in recovered COVID-19 patients could treat coronavirus,https://www.usatoday.com/videos/news/justthefaqs/2020/04/23/how-certain-antibodies-patients-covid-19-could-treat-coronavirus/3013049001/
1589913244-5548,https://www.usatoday.com/search/?q=china&page=4,,https://www.usatoday.com/search/?q=china&page=5
1589913250-5608,https://www.usatoday.com/search/?q=china&page=1,Coronavirus and xenophobia: 'Blame China' is Trump's 2020 version of 'Build the Wall',https://www.usatoday.com/story/opinion/2020/05/06/trump-blame-china-coronavirus-new-blame-mexico-build-wall-column/3085647001/
1589913248-5594,https://www.usatoday.com/search/?q=china&page=2,"Paul McCartney talks John Lennon relationship, China's 'wet' markets",https://www.usatoday.com/videos/entertainment/entertainthis/2020/04/15/paul-mccartney-talks-john-lennon-relationship-chinas-wet-markets/5141696002/
1589913248-5588,https://www.usatoday.com/search/?q=china&page=2,McDonald's issues apology after China restaurant bans black people,https://www.usatoday.com/story/money/business/2020/04/14/mcdonalds-apologizes-after-china-restaurant-bans-black-people/2991341001/
1589913246-5553,https://www.usatoday.com/search/?q=china&page=3,Public health 'superstar' or pro-China propagandist? WHO chief lands in US political crosshairs,https://www.usatoday.com/story/news/world/2020/04/22/who-chief-tedros-adhanom-ghebreyesus-pilloried-by-trump-and-gop-allies-amid-coronavirus-pandemic/5163962002/
1589913248-5598,https://www.usatoday.com/search/?q=china&page=2,,https://www.usatoday.com/search/?q=china&page=3
1589913246-5554,https://www.usatoday.com/search/?q=china&page=3,'Chinatown is not part of China': Trump's tweet at Pelosi is met with criticism online,https://www.usatoday.com/story/news/politics/2020/04/16/trumps-chinatown-tweet-pelosis-visit-draws-criticism-online/5149296002/
1589913246-5563,https://www.usatoday.com/search/?q=china&page=3,"China didn’t warn public of likely pandemic for a pivotal 6 days, AP report shows",https://www.usatoday.com/story/news/world/2020/04/15/report-chinese-government-response-coronavirus-shows-missteps/5138308002/
1589913241-5516,https://www.usatoday.com/search/?q=china&page=5,"Apple to reopen stores in four states with COVID-19 face masks, temperature checks and social distancing",https://www.usatoday.com/story/tech/2020/05/08/apple-stores-reopen-alabama-alaska-idaho-and-south-carolina/3098960001/
1589913244-5549,https://www.usatoday.com/search/?q=china&page=4,,https://www.usatoday.com/search/?q=china&page=5
1589913246-5559,https://www.usatoday.com/search/?q=china&page=3,China and its exotic-animal wet markets are incubators of human diseases like coronavirus,https://www.usatoday.com/story/opinion/2020/04/08/coronavirus-chinese-wet-markets-incubators-human-sickness-column/2957755001/
1589913246-5571,https://www.usatoday.com/search/?q=china&page=3,,https://www.usatoday.com/search/?q=china&page=1
1589913244-5544,https://www.usatoday.com/search/?q=china&page=4,,https://www.usatoday.com/search/?q=china&page=3
1589913248-5596,https://www.usatoday.com/search/?q=china&page=2,,https://www.usatoday.com/search/?q=china&page=1
1589913244-5533,https://www.usatoday.com/search/?q=china&page=4,China temporarily bans foreign nationals to curb the spread – and return – of coronavirus,https://www.usatoday.com/story/travel/destinations/2020/03/26/china-temporarily-bans-foreign-nationals-due-coronavirus/2918901001/
1589913241-5506,https://www.usatoday.com/search/?q=china&page=5,A case of hantavirus has been reported in China. Here's why you shouldn't worry.,https://www.usatoday.com/story/news/health/2020/03/24/hantavirus-case-china-why-not-worry-amid-coronavirus/2907736001/
1589913250-5623,https://www.usatoday.com/search/?q=china&page=1,,https://www.usatoday.com/search/?q=china&page=3
1589913248-5593,https://www.usatoday.com/search/?q=china&page=2,List of sports events affected by the coronavirus pandemic,https://www.usatoday.com/story/sports/olympics/2020/05/09/list-of-sports-events-affected-by-the-coronavirus-pandemic/111683424/
1589913250-5618,https://www.usatoday.com/search/?q=china&page=1,McEnany doubles down on China in first WH Briefing,https://www.usatoday.com/videos/news/nation/2020/05/01/mcenany-doubles-down-china-first-wh-briefing/649419000/
1589913250-5607,https://www.usatoday.com/search/?q=china&page=1,'Ask China': Trump abruptly ends news conference after reporter question on coronavirus testing,https://www.usatoday.com/story/news/politics/2020/05/12/trump-tells-reporter-weijia-jiang-ask-china-covid-19-testing/3114144001/
1589913244-5537,https://www.usatoday.com/search/?q=china&page=4,Coronavirus in China: The Great Wall partially reopens to visitors,https://www.usatoday.com/videos/travel/2020/03/24/coronavirus-update-great-wall-china-partially-reopens-guests/645842000/
1589913241-5523,https://www.usatoday.com/search/?q=china&page=5,,https://www.usatoday.com/search/?q=china&page=4
1589913241-5520,https://www.usatoday.com/search/?q=china&page=5,,https://www.usatoday.com/search/?q=china&page=1
1589913246-5570,https://www.usatoday.com/search/?q=china&page=3,,https://www.usatoday.com/search/?q=china&page=2
1589913241-5511,https://www.usatoday.com/search/?q=china&page=5,List 3/3 of sports events affected by coronavirus pandemic,https://www.usatoday.com/story/sports/olympics/2020/05/09/list-33-of-sports-events-affected-by-coronavirus-pandemic/111683442/
1589913241-5508,https://www.usatoday.com/search/?q=china&page=5,10 ways to make your weekends feel more normal in quarantine,https://www.usatoday.com/story/tech/reviewedcom/2020/04/22/10-ways-make-your-weekends-feel-more-normal-quarantine/3002668001/
1589913248-5580,https://www.usatoday.com/search/?q=china&page=2,"CDC 'really let the country down' on COVID-19 testing, says White House adviser Peter Navarro",https://www.usatoday.com/story/news/politics/2020/05/17/peter-navarro-cdc-let-country-down-coronavirus-testing/5208714002/
1589913244-5530,https://www.usatoday.com/search/?q=china&page=4,Rubio named acting Senate Intelligence chairman amid FBI probe into Sen. Richard Burr,https://www.usatoday.com/story/news/politics/2020/05/18/marco-rubio-lead-senate-intelligence-committee-amid-burr-fbi-probe/5196959002/
1589913246-5560,https://www.usatoday.com/search/?q=china&page=3,List of sports events affected by the coronavirus pandemic,https://www.usatoday.com/story/sports/olympics/2020/05/02/list-of-sports-events-affected-by-the-coronavirus-pandemic/111653058/
1589913246-5561,https://www.usatoday.com/search/?q=china&page=3,Coronavirus live updates: Cuomo spars with Trump over testing; antiviral drug shows early promise; China ups its death toll,https://www.usatoday.com/story/news/health/2020/04/17/coronavirus-live-updates-us-deaths-donald-trump-china/5148755002/
1589913244-5526,https://www.usatoday.com/search/?q=china&page=4,List of sports events affected by the coronavirus pandemic,https://www.usatoday.com/story/sports/olympics/2020/04/24/list-of-sports-events-affected-by-the-coronavirus-pandemic/111603570/
1589913248-5576,https://www.usatoday.com/search/?q=china&page=2,"'A loaded gun:' Wet markets, wildlife trafficking pose threat for the next pandemic",https://www.usatoday.com/story/news/world/2020/05/16/coronavirus-wet-markets-wildlife-trade-pose-threat-next-pandemic/5189902002/
1589913246-5574,https://www.usatoday.com/search/?q=china&page=3,,https://www.usatoday.com/search/?q=china&page=5
1589913250-5615,https://www.usatoday.com/search/?q=china&page=1,US ramps up rhetoric over China virus response,https://www.usatoday.com/videos/news/nation/2020/05/05/us-ramps-up-rhetoric-over-china-virus-response/649897000/
1589913244-5540,https://www.usatoday.com/search/?q=china&page=4,Latest on global search for coronavirus vaccine: Oxford vaccine may protect monkeys from COVID,https://www.usatoday.com/story/money/2020/05/16/coronavirus-vaccine-updates-oxford-covid-19-vaccine-protects-monkeys/5202831002/
1589913241-5517,https://www.usatoday.com/search/?q=china&page=5,Can hydroxychloroquine prevent COVID-19? President Donald Trump thinks maybe. There's no data to support that.,https://www.usatoday.com/story/news/2020/05/18/can-hydroxychloroquine-prevent-covid-19-president-trump-thinks-maybe/5217204002/
1589913244-5538,https://www.usatoday.com/search/?q=china&page=4,"WHO officials were sharing information with CDC since start of coronavirus outbreak, report says",https://www.usatoday.com/story/news/politics/2020/04/20/coronavirus-cdc-who-white-house-updates-outbreak/5164362002/
1589913250-5603,https://www.usatoday.com/search/?q=china&page=1,"Trump has been a great president for China. For America amid coronavirus, not so much.",https://www.usatoday.com/story/opinion/2020/05/15/trump-left-american-leadership-vacuum-for-china-to-fill-column/5191108002/
1589913248-5600,https://www.usatoday.com/search/?q=china&page=2,,https://www.usatoday.com/search/?q=china&page=5
1589913246-5564,https://www.usatoday.com/search/?q=china&page=3,Trump threatens to permanently cut WHO funding and withdraw US membership,https://www.usatoday.com/story/news/world/2020/05/19/covid-19-trump-threatens-withdraw-permanent-funding-cut-world-health-organization/5218811002/
1589913246-5556,https://www.usatoday.com/search/?q=china&page=3,List of sports events affected by the coronavirus pandemic,https://www.usatoday.com/story/sports/olympics/2020/05/05/list-of-sports-events-affected-by-the-coronavirus-pandemic/111662966/
1589913246-5565,https://www.usatoday.com/search/?q=china&page=3,"Patriots use team plane to help Mass., fly N95 in from China",https://www.usatoday.com/story/sports/nfl/2020/04/02/patriots-use-team-plane-to-help-mass-fly-n95-in-from-china/111517222/
1589913250-5617,https://www.usatoday.com/search/?q=china&page=1,"The US needs masks to fight coronavirus, but supplies from China fell as demand rose",https://www.usatoday.com/story/news/investigations/2020/04/08/coronavirus-how-face-mask-supply-u-s-dropped/5119824002/
1589913250-5604,https://www.usatoday.com/search/?q=china&page=1,Is China using drones to spy on South Carolina? Law enforcement leaders are worried,https://www.usatoday.com/story/news/politics/2020/05/14/coronavirus-dji-drones-donated-china-worry-law-enforcement-leaders/5192819002/
1589913246-5566,https://www.usatoday.com/search/?q=china&page=3,"‘All night, my eyes are open’: After mass job losses, Americans forced to choose: Pay bills or buy food?",https://www.usatoday.com/in-depth/news/nation/2020/05/05/coronavirus-unemployment-jobless-americans-cant-pay-rent-buy-food/3020833001/
1589913248-5579,https://www.usatoday.com/search/?q=china&page=2,Algae phenomenon illuminates China sea,https://www.usatoday.com/videos/travel/2020/04/20/algae-phenomenon-illuminates-china-sea/648113000/
1589913250-5624,https://www.usatoday.com/search/?q=china&page=1,,https://www.usatoday.com/search/?q=china&page=4
1589913248-5586,https://www.usatoday.com/search/?q=china&page=2,NBA China says CEO Derek Chang leaving in May,https://www.usatoday.com/story/sports/nba/2020/04/16/nba-china-says-ceo-derek-chang-leaving-in-may/111558000/
1589913244-5534,https://www.usatoday.com/search/?q=china&page=4,Three months in: A timeline of how COVID-19 has unfolded in the US,https://www.usatoday.com/in-depth/news/nation/2020/04/21/coronavirus-updates-how-covid-19-unfolded-u-s-timeline/2990956001/
1589913250-5613,https://www.usatoday.com/search/?q=china&page=1,'Dangerous dynamic': Coronavirus threatens new 'Cold War' between US and China,https://www.usatoday.com/story/news/world/2020/05/05/us-china-coronavirus-covid-19-donald-trump-xi-jinping-tensions/3068501001/
1589913246-5573,https://www.usatoday.com/search/?q=china&page=3,,https://www.usatoday.com/search/?q=china&page=4
1589913241-5522,https://www.usatoday.com/search/?q=china&page=5,,https://www.usatoday.com/search/?q=china&page=3
1589913248-5587,https://www.usatoday.com/search/?q=china&page=2,"Nuns emerge, Missouri sues China, soldiers sew: News from around our 50 states",https://www.usatoday.com/story/news/50-states/2020/04/22/nuns-emerge-missouri-sues-china-soldiers-sew-news-around-states/111582550/
1589913248-5585,https://www.usatoday.com/search/?q=china&page=2,"Chinese FA proposes pay cuts up to 50% for players, coaches",https://www.usatoday.com/story/sports/soccer/2020/05/08/chinese-fa-proposes-pay-cuts-up-to-50-for-players-coaches/111676774/
1589913246-5552,https://www.usatoday.com/search/?q=china&page=3,"Fact check: Smithfield Foods is not selling meat that was slaughtered, processed in China",https://www.usatoday.com/story/news/factcheck/2020/04/14/fact-check-smithfield-owned-chinese-firm-sells-us-processed-meat/2987004001/
1589913244-5525,https://www.usatoday.com/search/?q=china&page=4,"Consumption of cats and dogs is outlawed in Shenzhen, China.",https://www.usatoday.com/videos/news/world/2020/04/02/consumption-cats-and-dogs-outlawed-first-chinese-city/646745000/
1589913250-5602,https://www.usatoday.com/search/?q=china&page=1,Health secretary Alex Azar slams WHO as China backs coronavirus investigation,https://www.usatoday.com/story/news/world/2020/05/18/coronavirus-alex-azar-who-china-backs-investigation/5213984002/
1589913250-5605,https://www.usatoday.com/search/?q=china&page=1,Fact check: China doesn't own patent for coronavirus treatment remdesivir,https://www.usatoday.com/story/news/factcheck/2020/05/15/fact-check-china-doesnt-own-patent-covid-19-treatment-remdesivir/5194192002/
1589913250-5625,https://www.usatoday.com/search/?q=china&page=1,,https://www.usatoday.com/search/?q=china&page=5
1589913248-5583,https://www.usatoday.com/search/?q=china&page=2,Chinese investment in US drops to lowest level since 2009,https://www.usatoday.com/story/money/2020/05/11/chinese-investment-us-drops-lowest-levels-since-2009/3108047001/
1589913241-5501,https://www.usatoday.com/search/?q=china&page=5,Pompeo: G-7 aware of China's virus 'disinformation',https://www.usatoday.com/videos/news/nation/2020/03/25/pompeo-g-7-aware-chinas-virus-disinformation/645987000/
1589913241-5504,https://www.usatoday.com/search/?q=china&page=5,"Coronavirus live updates: US overtakes China for most cases; American Airlines flight attendant dies; Dow climbs 1,351 points",https://www.usatoday.com/story/news/health/2020/03/26/coronavirus-live-updates-senate-stimulus-us-deaths-donald-trump/5079447002/
1589913248-5591,https://www.usatoday.com/search/?q=china&page=2,"Fact check: Black people being targeted in Guangzhou, China, over COVID-19 fears",https://www.usatoday.com/story/news/factcheck/2020/04/16/fact-check-guangzhou-china-mcdonalds-confirms-incident-targeting-blacks/5139470002/
1589913241-5513,https://www.usatoday.com/search/?q=china&page=5,'A very special moment': Shanghai Disneyland reopens with precautions after coronavirus shutdown,https://www.usatoday.com/story/travel/news/2020/05/11/coronavirus-shanghai-disneyland-becomes-first-disney-park-reopen/3107096001/
1589913250-5609,https://www.usatoday.com/search/?q=china&page=1,Former college basketball player says he was stopping an assault; now he's in a Chinese jail,https://www.usatoday.com/story/sports/ncaab/2020/05/18/jeff-harper-former-iowa-wesleyan-basketball-player-china-jail/5217225002/
1589913241-5515,https://www.usatoday.com/search/?q=china&page=5,List 2/3 of sports events affected by coronavirus pandemic,https://www.usatoday.com/story/sports/olympics/2020/05/12/list-23-of-sports-events-affected-by-coronavirus-pandemic/111692816/
1589913244-5545,https://www.usatoday.com/search/?q=china&page=4,,https://www.usatoday.com/search/?q=china&page=1
1589913246-5568,https://www.usatoday.com/search/?q=china&page=3,This is what China did to beat coronavirus. Experts say America couldn't handle it,https://www.usatoday.com/story/news/world/2020/04/01/coronavirus-covid-19-china-radical-measures-lockdowns-mass-quarantines/2938374001/
1589913246-5558,https://www.usatoday.com/search/?q=china&page=3,Time to put China on lockdown for its dishonesty amid coronavirus crisis,https://www.usatoday.com/story/opinion/2020/04/07/time-put-china-lockdown-dishonesty-amid-coronavirus-pandemic-crisis-column/2954433001/
1589913244-5527,https://www.usatoday.com/search/?q=china&page=4,New England Patriots plane brings back more than 1 million N95 masks from China,https://www.usatoday.com/story/sports/nfl/patriots/2020/04/02/new-england-patriots-plane-1-million-n-95-masks-china/5110553002/
1589913248-5599,https://www.usatoday.com/search/?q=china&page=2,,https://www.usatoday.com/search/?q=china&page=4
1589913244-5535,https://www.usatoday.com/search/?q=china&page=4,Coronavirus live updates: Maryland warns against ingesting disinfectants; US passes 50K deaths; blowback against Trump,https://www.usatoday.com/story/news/health/2020/04/24/coronavirus-updates-tips-disinfectants-trump-comments-georgia-reopening/3015002001/
