web-scraper-order,web-scraper-start-url,link,link-href
1589913823-6168,https://www.usatoday.com/search/?q=trump&page=2,"President Trump unveils new U.S. Space Force flag, 'super duper' missiles",https://www.usatoday.com/videos/news/politics/2020/05/16/new-u-s-space-force-flag-unveiled-president-trump/652538000/
1589913819-6123,https://www.usatoday.com/search/?q=trump&page=4,,https://www.usatoday.com/search/?q=trump&page=5
1589913825-6180,https://www.usatoday.com/search/?q=trump&page=1,Donald Trump will tour Ford plant in Michigan that makes ventilators for coronavirus response,https://www.usatoday.com/story/news/politics/2020/05/17/coronavirus-trump-tour-ford-plant-makes-ventilators/5202765002/
1589913821-6138,https://www.usatoday.com/search/?q=trump&page=3,Guns N’ Roses mocks Trump with 'Live N' Let Die with COVID 45' shirt for coronavirus relief,https://www.usatoday.com/story/entertainment/celebrities/2020/05/14/coronavirus-trump-mocked-guns-n-roses-covid-45-shirt/5189147002/
1589913825-6179,https://www.usatoday.com/search/?q=trump&page=1,Melania Trump Style Diary,https://www.usatoday.com/picture-gallery/life/2017/05/31/melania-trump-style-diary/102344764/
1589913823-6156,https://www.usatoday.com/search/?q=trump&page=2,Trump taking malaria drug in case he gets virus,https://www.usatoday.com/videos/news/nation/2020/05/18/trump-taking-malaria-drug-case-he-gets-virus/652702000/
1589913823-6170,https://www.usatoday.com/search/?q=trump&page=2,,https://www.usatoday.com/search/?q=trump&page=1
1589913825-6192,https://www.usatoday.com/search/?q=trump&page=1,Trump calls allegations against Pompeo 'stupid',https://www.usatoday.com/videos/news/nation/2020/05/18/trump-calls-allegations-against-pompeo-stupid/652704000/
1589913819-6112,https://www.usatoday.com/search/?q=trump&page=4,Did he free us from disease? 15 essay questions for a Trump inaugural address history exam,https://www.usatoday.com/story/opinion/2020/05/11/coronavirus-trump-inaugural-address-empty-promises-column/3104683001/
1589913823-6157,https://www.usatoday.com/search/?q=trump&page=2,Trump’s Mar-a-Lago resort in Florida will partially reopen on Saturday,https://www.usatoday.com/story/news/politics/2020/05/14/coronavirus-trumps-mar-lago-restort-partially-reopen-saturday/5195700002/
1589913823-6172,https://www.usatoday.com/search/?q=trump&page=2,,https://www.usatoday.com/search/?q=trump&page=3
1589913823-6164,https://www.usatoday.com/search/?q=trump&page=2,"Trump unveils Space Force flag, Pentagon says his 'super duper' missiles are hypersonic weapons",https://www.usatoday.com/story/news/politics/2020/05/15/trump-unveils-space-force-flag-us-building-super-duper-missile/5204258002/
1589913821-6144,https://www.usatoday.com/search/?q=trump&page=3,,https://www.usatoday.com/search/?q=trump&page=2
1589913816-6093,https://www.usatoday.com/search/?q=trump&page=5,,https://www.usatoday.com/search/?q=trump&page=4
1589913816-6086,https://www.usatoday.com/search/?q=trump&page=5,"Justin Amash announces he won't run for president, says it's too hard to break through",https://www.usatoday.com/story/news/politics/elections/2020/05/16/justin-amash-says-he-wont-seek-presidential-run-unseat-trump/5206686002/
1589913821-6149,https://www.usatoday.com/search/?q=trump&page=3,,https://www.usatoday.com/search/?q=trump&page=4
1589913825-6193,https://www.usatoday.com/search/?q=trump&page=1,"Barr: Obama, Biden not under criminal investigation despite Trump's claims",https://www.usatoday.com/story/news/politics/2020/05/18/obama-biden-not-under-criminal-investigation-despite-trumps-claims/5213295002/
1589913825-6190,https://www.usatoday.com/search/?q=trump&page=1,"Eric Trump says lockdowns about hurting his dad, coronavirus fears will disappear after election",https://www.usatoday.com/story/news/politics/2020/05/17/eric-trump-democrats-milking-coronavirus-political-gain/5209815002/
1589913819-6100,https://www.usatoday.com/search/?q=trump&page=4,“I felt no vulnerability whatsoever.” Trump downplays new White House virus cases as he pushes reopening,https://www.usatoday.com/story/news/politics/2020/05/11/coronavirus-trump-downplays-infections-mike-pence-aide-valet/3107883001/
1589913825-6189,https://www.usatoday.com/search/?q=trump&page=1,"Trump says he's taking hydroxychloroquine, the drug he touted as coronavirus treatment, despite FDA warnings",https://www.usatoday.com/story/news/politics/2020/05/18/coronavirus-trump-says-hes-taking-hydroxychloroquine/5216400002/
1589913816-6094,https://www.usatoday.com/search/?q=trump&page=5,,https://www.usatoday.com/search/?q=trump&page=1
1589913821-6124,https://www.usatoday.com/search/?q=trump&page=3,"Mariah Carey, Melania Trump, Matt Damon, more stars turning 50 in 2020",https://www.usatoday.com/picture-gallery/entertainment/celebrities/2020/05/19/mariah-carey-melania-trump-matt-damon-more-stars-turning-50-2020/5016880002/
1589913821-6125,https://www.usatoday.com/search/?q=trump&page=3,Federal appeals court allows emoluments suit against Trump to move forward,https://www.usatoday.com/story/news/politics/2020/05/14/federal-court-case-against-donald-trumps-hotel-profits/5189879002/
1589913819-6118,https://www.usatoday.com/search/?q=trump&page=4,,https://www.usatoday.com/search/?q=trump&page=3
1589913816-6075,https://www.usatoday.com/search/?q=trump&page=5,Coronavirus doctor: I was a preemie. I could be uninsurable if Trump 'terminates' the ACA.,https://www.usatoday.com/story/opinion/voices/2020/05/11/trump-terminate-obamacare-coronavirus-historic-job-losses-column/3104627001/
1589913823-6153,https://www.usatoday.com/search/?q=trump&page=2,The Trump administration has recently moved to oust 4 government watchdogs. Here they are:,https://www.usatoday.com/story/news/politics/2020/05/16/pompeos-firing-state-ig-linick-latest-removal-trump-admin/5206160002/
1589913819-6103,https://www.usatoday.com/search/?q=trump&page=4,"Trump says schools should 'absolutely open' this fall, says Fauci did not give 'acceptable answer'",https://www.usatoday.com/story/news/politics/2020/05/13/coronavirus-trump-says-schools-should-open-fall-fauci/5187530002/
1589913816-6081,https://www.usatoday.com/search/?q=trump&page=5,Trump administration shelves CDC guide to reopening country amid coronavirus restrictions,https://www.usatoday.com/story/news/politics/2020/05/07/coronavirus-trump-administration-shelves-cdc-reopening-guide/3086938001/
