web-scraper-order,web-scraper-start-url,link,link-href
"1589912241-4937","https://www.usnews.com/news/national-news","Virus on the Decline in Germany","https://www.usnews.com/news/world-report/articles/2020-05-15/germanys-infection-rate-shows-coronavirus-on-the-decline"
"1589912241-4912","https://www.usnews.com/news/national-news","Apple Unveils Plan to Reopen Stores","https://www.usnews.com/news/national-news/articles/2020-05-18/apple-to-reopen-some-stores-will-require-face-masks-and-temperature-checks"
"1589912241-5083","https://www.usnews.com/news/national-news","Skeptics May Refuse COVID-19 Vaccine","https://www.usnews.com/news/healthiest-communities/articles/2020-05-04/many-vaccine-skeptics-plan-to-refuse-a-covid-19-vaccine-study-suggests"
"1589912241-4961","https://www.usnews.com/news/national-news","Red State Mayors Push for COVID-19 Funds","https://www.usnews.com/news/cities/articles/2020-05-13/red-state-mayors-push-for-federal-coronavirus-funding"
"1589912241-4903","https://www.usnews.com/news/national-news","Maintaining Ramadan Traditions at Home","https://www.usnews.com/news/best-countries/articles/2020-05-19/moroccos-faithful-maintain-ramadan-traditions-at-home-during-coronavirus-lockdown"
"1589912241-4963","https://www.usnews.com/news/national-news","The Great Depression, in Photos","https://www.usnews.com/news/photos/2020/05/13/the-great-depression-a-portrait-of-americas-struggle"
"1589912241-4965","https://www.usnews.com/news/national-news","How Obama Can Win the Election – for Biden","https://www.usnews.com/news/elections/articles/2020-05-13/how-obama-can-win-the-2020-election-for-joe-biden"
"1589912241-5055","https://www.usnews.com/news/national-news","WHO: No Going Back to Business as Usual","https://www.usnews.com/news/world-report/articles/2020-05-06/who-no-going-back-to-business-as-usual-after-coronavirus-recedes"
"1589912241-4934","https://www.usnews.com/news/national-news","Retail Sales Drop ‘Staggering’","https://www.usnews.com/news/economy/articles/2020-05-15/online-shopping-a-lone-bright-spot-in-otherwise-bleak-retail-sales-report"
"1589912241-5004","https://www.usnews.com/news/national-news","Rate of Mental Health ER Visits Surges for Kids","https://www.usnews.com/news/healthiest-communities/articles/2020-05-11/children-visit-er-for-mental-health-issues-at-increased-rate"
"1589912241-5044","https://www.usnews.com/news/national-news","Ontario Premier Sees Approval Soar","https://www.usnews.com/news/best-countries/articles/2020-05-07/ontario-premier-doug-fords-approval-soars-in-fight-against-coronavirus"
"1589912241-4922","https://www.usnews.com/news/national-news","White House Adviser Blames CDC for Testing Problems","https://www.usnews.com/news/national-news/articles/2020-05-17/white-house-trade-adviser-peter-navarro-blames-cdc-for-coronavirus-testing-problems"
"1589912241-4915","https://www.usnews.com/news/national-news","Germans View China, U.S. as Equal Allies","https://www.usnews.com/news/best-countries/articles/2020-05-18/survey-germans-view-china-and-us-as-equally-important-allies"
"1589912241-4926","https://www.usnews.com/news/national-news","Trump Downplays Virus Test Inaccuracies","https://www.usnews.com/news/national-news/articles/2020-05-15/trump-downplays-abbott-coronavirus-test-inaccuracies"
"1589912241-5100","https://www.usnews.com/news/national-news","Cities With the Most Drastic Unemployment Spikes","https://www.usnews.com/news/cities/articles/2020-05-01/these-cities-are-seeing-the-biggest-spikes-in-unemployment-amid-coronavirus"
"1589912241-5046","https://www.usnews.com/news/national-news","High Court Upholds Pennsylvania Lockdown","https://www.usnews.com/news/national-news/articles/2020-05-06/supreme-court-declines-to-lift-pennsylvanias-coronavirus-shutdown"
"1589912241-5101","https://www.usnews.com/news/national-news","Nearly 5K Meat Plant Workers Infected","https://www.usnews.com/news/healthiest-communities/articles/2020-05-01/cdc-nearly-5-000-meat-plant-workers-infected-by-coronavirus"
"1589912241-5043","https://www.usnews.com/news/national-news","Russia Sees Record One-Day Virus Cases","https://www.usnews.com/news/world-report/articles/2020-05-07/russia-sees-record-one-day-coronavirus-cases-as-putins-popularity-plunges"
"1589912241-5056","https://www.usnews.com/news/national-news","Sanders Benefits From N.Y. Primary","https://www.usnews.com/news/elections/articles/2020-05-06/restoring-new-york-primary-gives-bernie-sanders-chance-for-influence-over-joe-biden"
"1589912241-4928","https://www.usnews.com/news/national-news","Poll: Approve of Congress Soars","https://www.usnews.com/news/politics/articles/2020-05-15/nearly-one-third-of-americans-approve-of-congress-highest-since-2010-poll-finds"
"1589912241-5013","https://www.usnews.com/news/national-news","Cases Climb as Officials Debate Reopening","https://www.usnews.com/news/national-news/articles/2020-05-10/coronavirus-cases-climb-as-officials-debate-reopening-the-economy"
"1589912241-5049","https://www.usnews.com/news/national-news","University of Tennessee to Open in Fall","https://www.usnews.com/news/education-news/articles/2020-05-06/university-of-tennessee-says-students-will-return-to-campus-for-fall-semester"
"1589912241-5099","https://www.usnews.com/news/national-news","Auto Sales Sink in April","https://www.usnews.com/news/economy/articles/2020-05-01/automotive-sales-sink-in-april-as-coronavirus-collapses-consumer-demand"
"1589912241-4952","https://www.usnews.com/news/national-news","Trump: Wisconsin Stay-at-Home Ruling a ‘Win’","https://www.usnews.com/news/national-news/articles/2020-05-14/trump-expresses-support-for-wisconsin-supreme-court-decision-against-states-stay-at-home-order-amid-coronavirus-pandemic"
"1589912241-5085","https://www.usnews.com/news/national-news","California's Testing Abilities Vary By Community","https://www.usnews.com/news/best-states/articles/2020-05-04/testing-in-california-still-a-frustrating-patchwork-of-haves-and-have-nots"
"1589912241-5058","https://www.usnews.com/news/national-news","Pompeo Distances U.S. From Venezuela Raid","https://www.usnews.com/news/national-news/articles/2020-05-06/secretary-of-state-mike-pompeo-distances-us-from-botched-venezuela-raid"
"1589912241-4949","https://www.usnews.com/news/national-news","Court: Emoluments Lawsuit Against Trump Can Proceed","https://www.usnews.com/news/politics/articles/2020-05-14/appeals-court-rules-emoluments-lawsuit-against-president-donald-trump-can-proceed"
"1589912241-5047","https://www.usnews.com/news/national-news","Food Insecurity Skyrockets During Virus","https://www.usnews.com/news/national-news/articles/2020-05-06/1-in-5-young-children-dont-have-enough-to-eat-during-the-coronavirus-pandemic"
"1589912241-4983","https://www.usnews.com/news/national-news","Price of Groceries Jumped in April","https://www.usnews.com/news/national-news/articles/2020-05-12/price-of-groceries-jumped-in-april-amid-coronavirus-pandemic"
"1589912241-5008","https://www.usnews.com/news/national-news","U.S. Virus Death Toll Nears 80,000","https://www.usnews.com/news/health-news/articles/2020-05-11/fauci-enters-quarantine-as-us-coronavirus-death-toll-nears-80-000"
