web-scraper-order,web-scraper-start-url,link,link-href
"1589913045-5358","https://www.usnews.com/search/news?q=politics#gsc.tab=0&gsc.q=china&gsc.sort=date%3Ad%3As&gsc.page=14","","https://www.google.com/url?client=internal-element-cse&cx=009692862532464842631:ioemuhgr76n&q=https://www.usnews.com/news/best-countries/articles/2020-05-12/calls-for-coronavirus-inquiry-further-strains-australias-relations-with-china&sa=U&ved=2ahUKEwjJkdfRx8DpAhXBL6YKHZviBnU4ggEQFjAAegQIAxAC&usg=AOvVaw1GU7PRAd0Q-HnKrmd9lIEA"
"1589912997-5128","https://www.usnews.com/search/news?q=politics#gsc.tab=0&gsc.q=china&gsc.sort=date%3Ad%3As&gsc.page=37","","https://www.google.com/url?client=internal-element-cse&cx=009692862532464842631:ioemuhgr76n&q=https://www.usnews.com/news/world/articles/2020-05-18/us-restriction-on-chipmakers-deals-critical-blow-to-huawei&sa=U&ved=2ahUKEwik_di6x8DpAhWZBogKHX0rAh846AIQFjAAegQIBBAC&usg=AOvVaw1YBACVYMXL9B8_wXg1kgFy"
"1589913018-5230","https://www.usnews.com/search/news?q=politics#gsc.tab=0&gsc.q=china&gsc.sort=date%3Ad%3As&gsc.page=27","","https://www.google.com/url?client=internal-element-cse&cx=009692862532464842631:ioemuhgr76n&q=https://www.usnews.com/news/best-states/tennessee/articles/2019-12-23/feds-chemical-engineer-at-center-of-industrial-espionage&sa=U&ved=2ahUKEwjH9tjEx8DpAhUGrZQKHWWRBiw4hAIQFjACegQICBAC&usg=AOvVaw2kbvp_BT27Dpe13AYziWsJ"
"1589913033-5299","https://www.usnews.com/search/news?q=politics#gsc.tab=0&gsc.q=china&gsc.sort=date%3Ad%3As&gsc.page=20","","https://www.google.com/url?client=internal-element-cse&cx=009692862532464842631:ioemuhgr76n&q=https://www.usnews.com/news/world/articles/2020-01-26/taiwan-further-tightens-restrictions-on-china-visitors-due-to-virus&sa=U&ved=2ahUKEwiFmtfLx8DpAhWmwosBHXtDAP84vgEQFjABegQICRAC&usg=AOvVaw3WPQaBTymvM_Y2j2vx8DGc"
"1589913035-5311","https://www.usnews.com/search/news?q=politics#gsc.tab=0&gsc.q=china&gsc.sort=date%3Ad%3As&gsc.page=19","","https://www.google.com/url?client=internal-element-cse&cx=009692862532464842631:ioemuhgr76n&q=https://www.usnews.com/news/best-countries/articles/2018-11-01/china-expands-its-surveillance-model-by-training-other-governments&sa=U&ved=2ahUKEwjk_dbMx8DpAhXmyosBHVR7DXg4tAEQFjADegQICBAC&usg=AOvVaw2-mq67WxVuHW7lAUmuLoIo"
"1589913047-5374","https://www.usnews.com/search/news?q=politics#gsc.tab=0&gsc.q=china&gsc.sort=date%3Ad%3As&gsc.page=13","","https://www.google.com/url?client=internal-element-cse&cx=009692862532464842631:ioemuhgr76n&q=https://www.usnews.com/news/world/articles/2020-05-03/report-china-hid-coronavirus-severity-to-hoard-supplies&sa=U&ved=2ahUKEwi_gdjSx8DpAhUwGaYKHQ2YBWM4eBAWMAZ6BAgGEAI&usg=AOvVaw3XrtbEcFzmqegE0bCoHSDc"
"1589913045-5359","https://www.usnews.com/search/news?q=politics#gsc.tab=0&gsc.q=china&gsc.sort=date%3Ad%3As&gsc.page=14","","https://www.google.com/url?client=internal-element-cse&cx=009692862532464842631:ioemuhgr76n&q=https://www.usnews.com/news/world-report/articles/2020-02-20/who-asks-for-more-money-to-fight-coronavirus-as-china-defends-quarantines&sa=U&ved=2ahUKEwjJkdfRx8DpAhXBL6YKHZviBnU4ggEQFjABegQIBxAC&usg=AOvVaw0QBzf7RSZKbMOC3d2qlG0e"
"1589913003-5159","https://www.usnews.com/search/news?q=politics#gsc.tab=0&gsc.q=china&gsc.sort=date%3Ad%3As&gsc.page=34","","https://www.google.com/url?client=internal-element-cse&cx=009692862532464842631:ioemuhgr76n&q=https://www.usnews.com/news/technology/articles/2020-05-18/baidu-beats-quarterly-revenue-estimates&sa=U&ved=2ahUKEwjTk9i9x8DpAhVvFqYKHYjJD544ygIQFjABegQIBxAC&usg=AOvVaw1jxIgf-_DO4VI1xi0lea5l"
"1589913018-5228","https://www.usnews.com/search/news?q=politics#gsc.tab=0&gsc.q=china&gsc.sort=date%3Ad%3As&gsc.page=27","","https://www.google.com/url?client=internal-element-cse&cx=009692862532464842631:ioemuhgr76n&q=https://www.usnews.com/news/business/articles/2020-03-11/province-at-china-viruss-center-lets-some-companies-reopen&sa=U&ved=2ahUKEwjH9tjEx8DpAhUGrZQKHWWRBiw4hAIQFjAAegQIAxAC&usg=AOvVaw22QGLArArTF9tRSc9FdUmJ"
"1589913026-5271","https://www.usnews.com/search/news?q=politics#gsc.tab=0&gsc.q=china&gsc.sort=date%3Ad%3As&gsc.page=23","","https://www.google.com/url?client=internal-element-cse&cx=009692862532464842631:ioemuhgr76n&q=https://www.usnews.com/news/national-news/articles/2019-05-13/rand-paul-warns-trump-on-china-tarriffs&sa=U&ved=2ahUKEwjwtdnIx8DpAhVML6YKHdxaCRs43AEQFjADegQIBxAC&usg=AOvVaw2Q4nkIXbFiJvMycwPajR_W"
