web-scraper-order,web-scraper-start-url,link,link-href
"1589913591-6067","https://www.usnews.com/search/news?q=trump#gsc.tab=0&gsc.q=trump&gsc.page=1","","https://www.google.com/url?client=internal-element-cse&cx=009692862532464842631:ioemuhgr76n&q=https://www.usnews.com/news/politics/articles/2020-04-17/new-york-gov-andrew-cuomo-hits-back-at-trump-amid-slight-uptick-in-coronavirus-deaths&sa=U&ved=2ahUKEwiqm8LFycDpAhWDHKYKHS-PCmI4oAEQFjAFegQIBRAC&usg=AOvVaw1R4e7U5MKhc524hNeGW2BX"
"1589913517-5718","https://www.usnews.com/search/news?q=trump#gsc.tab=0&gsc.q=trump&gsc.page=36","","https://www.google.com/url?client=internal-element-cse&cx=009692862532464842631:ioemuhgr76n&q=https://www.usnews.com/news/politics/articles/2017-08-24/trump-calls-out-mcconnell-ryan-for-mess-around-debt-ceiling&sa=U&ved=2ahUKEwiosL2yycDpAhVYa94KHVUGAJw43gIQFjAGegQIBBAC&usg=AOvVaw2guZ3Ergdu5dTUYPwWQXml"
"1589913515-5705","https://www.usnews.com/search/news?q=trump#gsc.tab=0&gsc.q=trump&gsc.page=37","","https://www.google.com/url?client=internal-element-cse&cx=009692862532464842631:ioemuhgr76n&q=https://www.usnews.com/news/politics/articles/2020-05-13/flynn-case-boosts-trumps-bid-to-undo-russia-probe-narrative&sa=U&ved=2ahUKEwiGwcGxycDpAhXJKqYKHVwhCNE46AIQFjADegQICRAC&usg=AOvVaw1N7TGSmn1wNvK9NDBD0hBj"
"1589913567-5957","https://www.usnews.com/search/news?q=trump#gsc.tab=0&gsc.q=trump&gsc.page=12","","https://www.google.com/url?client=internal-element-cse&cx=009692862532464842631:ioemuhgr76n&q=https://www.usnews.com/news/politics/articles/2020-04-17/new-york-gov-andrew-cuomo-hits-back-at-trump-amid-slight-uptick-in-coronavirus-deaths&sa=U&ved=2ahUKEwiqm8LFycDpAhWDHKYKHS-PCmI4oAEQFjAFegQIBRAC&usg=AOvVaw1R4e7U5MKhc524hNeGW2BX"
"1589913582-6028","https://www.usnews.com/search/news?q=trump#gsc.tab=0&gsc.q=trump&gsc.page=5","","https://www.google.com/url?client=internal-element-cse&cx=009692862532464842631:ioemuhgr76n&q=https://www.usnews.com/news/national-news/articles/2020-05-14/trump-grants-more-financing-for-pharmaceuticals-amid-coronavirus-pandemic&sa=U&ved=2ahUKEwiqm8LFycDpAhWDHKYKHS-PCmI4oAEQFjAGegQIAxAC&usg=AOvVaw3Quv9sXNPEEkri2-6AlI2G"
"1589913525-5754","https://www.usnews.com/search/news?q=trump#gsc.tab=0&gsc.q=trump&gsc.page=32","","https://www.google.com/url?client=internal-element-cse&cx=009692862532464842631:ioemuhgr76n&q=https://www.usnews.com/news/articles/2016-08-09/did-trump-call-for-second-amendment-people-to-shoot-hillary-clinton&sa=U&ved=2ahUKEwi3zry2ycDpAhUNPnAKHU6VA8M4tgIQFjACegQICBAC&usg=AOvVaw0WoV1giy3d_g0qDrv2WQF4"
"1589913502-5649","https://www.usnews.com/search/news?q=trump#gsc.tab=0&gsc.q=trump&gsc.page=43","","https://www.google.com/url?client=internal-element-cse&cx=009692862532464842631:ioemuhgr76n&q=https://www.usnews.com/news/blogs/washington-whispers/2014/03/06/donald-trump-peppers-cpac-speeches-with-humblebrags&sa=U&ved=2ahUKEwjqkryrycDpAhVwwosBHUxgDEY4pAMQFjAHegQIABAC&usg=AOvVaw1eRpcutzWDm0t9muOL7qaW"
"1589913510-5688","https://www.usnews.com/search/news?q=trump#gsc.tab=0&gsc.q=trump&gsc.page=39","","https://www.google.com/url?client=internal-element-cse&cx=009692862532464842631:ioemuhgr76n&q=https://www.usnews.com/news/elections/articles/2020-05-12/voter-access-could-decide-if-donald-trump-or-joe-biden-wins-the-presidency&sa=U&ved=2ahUKEwirnr2vycDpAhU_yYsBHaQyAAA4_AIQFjAGegQIAhAC&usg=AOvVaw2rayWLGXdHM8egWg0T_7UT"
"1589913517-5719","https://www.usnews.com/search/news?q=trump#gsc.tab=0&gsc.q=trump&gsc.page=36","","https://www.google.com/url?client=internal-element-cse&cx=009692862532464842631:ioemuhgr76n&q=https://www.usnews.com/news/best-states/montana/articles/2019-01-27/trump-rollbacks-for-fossil-fuel-industries-carry-steep-cost&sa=U&ved=2ahUKEwiosL2yycDpAhVYa94KHVUGAJw43gIQFjAHegQIAxAC&usg=AOvVaw2l5DjRhk-A0Nynit_4GvYT"
"1589913567-5955","https://www.usnews.com/search/news?q=trump#gsc.tab=0&gsc.q=trump&gsc.page=12","","https://www.google.com/url?client=internal-element-cse&cx=009692862532464842631:ioemuhgr76n&q=https://www.usnews.com/news/national-news/articles/2019-10-07/trump-proclamation-could-bar-an-estimated-two-thirds-of-legal-immigrants&sa=U&ved=2ahUKEwiqm8LFycDpAhWDHKYKHS-PCmI4oAEQFjADegQICRAC&usg=AOvVaw3z89nAWMPaJfREKs0Q42xO"
