web-scraper-order,web-scraper-start-url,title,title-href,link,link-href
"1590556804-12128","https://www.allsides.com/topics/china?search=china&page=38","SE Asian foreign ministers voice concerns on South China Sea","https://www.allsides.com/news/2016-02-27-1108/se-asian-foreign-ministers-voice-concerns-south-china-sea","Read full story","http://www.foxnews.com/world/2016/02/27/se-asian-foreign-ministers-voice-concerns-on-south-china-sea.html?intcmp=hpbt1"
"1590560580-12254","https://www.allsides.com/topics/china?search=china&page=5","Look What We Have Here: Hunter Biden Still a Board Member of Chinese Company He Said He Resigned From","https://www.allsides.com/news/2020-04-15-0636/look-what-we-have-here-hunter-biden-still-board-member-chinese-company-he-said","Read full story","https://townhall.com/tipsheet/mattvespa/2020/04/14/look-what-we-have-here-hunter-biden-still-a-board-member-of-chinese-company-he-said-he-resigned-from-n2566942"
"1590558531-12185","https://www.allsides.com/topics/china?search=china&page=22","Sensing vulnerability, China turns up the heat on Trump","https://www.allsides.com/news/2019-08-23-1204/sensing-vulnerability-china-turns-heat-trump","Read full story","https://www.washingtonexaminer.com/opinion/sensing-vulnerability-china-turns-up-the-heat-on-trump"
"1590558629-12189","https://www.allsides.com/topics/china?search=china&page=22","Hong Kong Protesters and Activists Say Withdrawal of Extradition Bill Is Too Little, Too Late","https://www.allsides.com/news/2019-09-04-1256/hong-kong-protesters-and-activists-say-withdrawal-extradition-bill-too-little","Read full story","https://www.theepochtimes.com/hong-kong-protesters-and-activists-say-withdrawal-of-extradition-bill-is-too-little-too-late_3068578.html"
"1590560761-12255","https://www.allsides.com/topics/china?search=china&page=2","Did Fauci contradict Pompeo on whether coronavirus outbreak originated in Wuhan lab?","https://www.allsides.com/news/2020-05-05-1320/did-fauci-contradict-pompeo-whether-coronavirus-outbreak-originated-wuhan-lab","Read full story","https://www.theblaze.com/news/fauci-pompeo-contradicts-wuhan-coronavirus-lab"
"1590556300-12113","https://www.allsides.com/topics/china?search=china&page=43","Postal Service confirms security breach, Chinese government hackers reportedly suspected","https://www.allsides.com/news/2014-11-10-1755/postal-service-confirms-security-breach-chinese-government-hackers-reportedly","Read full story","http://www.foxnews.com/politics/2014/11/10/postal-service-confirms-security-breach-chinese-govt-hackers-reportedly/"
"1590560287-12243","https://www.allsides.com/topics/china?search=china&page=7","Free speech group: U. California system cannot ban term ‘Chinese virus’","https://www.allsides.com/news/2020-04-01-1612/free-speech-group-u-california-system-cannot-ban-term-chinese-virus","Read full story","https://www.thecollegefix.com/free-speech-group-u-california-system-cannot-ban-term-chinese-virus/"
"1590556904-12139","https://www.allsides.com/topics/china?search=china&page=36","Why is Kim Jong-un Our Problem?","https://www.allsides.com/news/2017-04-19-1138/why-kim-jong-un-our-problem","Read full story","http://www.theamericanconservative.com/buchanan/why-is-kim-jong-un-our-problem/"
"1590557354-12151","https://www.allsides.com/topics/china?search=china&page=33","Sen. Rounds: Return to TPP to Reduce China's Advantage","https://www.allsides.com/news/2018-04-08-0933/sen-rounds-return-tpp-reduce-chinas-advantage","Read full story","https://www.newsmax.com/politics/mike-rounds-trump-no-deals-asia/2018/04/08/id/853232/"
"1590558892-12193","https://www.allsides.com/topics/china?search=china&page=19","NBA general manager's Hong Kong comments anger China","https://www.allsides.com/news/2019-10-07-1057/nba-general-managers-hong-kong-comments-anger-china","Read full story","https://www.foxbusiness.com/sports/rockets-general-managers-hong-kong-comments-anger-china"
