web-scraper-order,web-scraper-start-url,title,title-href,link,link-href
"1590495633-1197","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=113","CBS’s Scott Pelley Fact-Checks Mike Bloomberg On Trump Coronavirus Comment","https://www.allsides.com/news/2020-03-02-0739/cbs-s-scott-pelley-fact-checks-mike-bloomberg-trump-coronavirus-comment","Read full story","https://dailycaller.com/2020/03/01/cbs-scott-pelley-fact-checks-mike-bloomberg-trump-coronavirus-hoax/"
"1590503145-2759","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=14","CNN accused of 'egregious misreading' of data from coronavirus survey","https://www.allsides.com/news/2020-05-13-1418/cnn-accused-egregious-misreading-data-coronavirus-survey","Read full story","https://www.foxnews.com/media/cnn-accused-egregious-misreading-data-coronavirus-gallup-poll"
"1590500129-2156","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=51","'State decision': Governors defy Trump with coronavirus pacts","https://www.allsides.com/news/2020-04-14-0712/state-decision-governors-defy-trump-coronavirus-pacts","Read full story","https://www.washingtontimes.com/news/2020/apr/13/andrew-cuomo-gavin-newsom-democratic-governors-def/"
"1590497525-1655","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=84","Inaccurate Virus Models Are Panicking Officials Into Ill-Advised Lockdowns","https://www.allsides.com/news/2020-03-25-0754/inaccurate-virus-models-are-panicking-officials-ill-advised-lockdowns","Read full story","https://thefederalist.com/2020/03/25/inaccurate-virus-models-are-panicking-officials-into-ill-advised-lockdowns/"
"1590498601-1871","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=70","America’s Response to the Coronavirus Proves Federalism Isn’t Dead","https://www.allsides.com/news/2020-04-02-0526/america-s-response-coronavirus-proves-federalism-isn-t-dead","Read full story","https://www.nationalreview.com/2020/04/coronavirus-response-federalism-state-local-governments-take-lead/#slide-1"
"1590496585-1429","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=99","Wuhan, China — Ground Zero For Coronavirus — Gets Back To Work In Preview Of What’s To Come In U.S.","https://www.allsides.com/news/2020-03-16-1851/wuhan-china-ground-zero-coronavirus-gets-back-work-preview-what-s-come-us","Read full story","https://www.dailywire.com/news/wuhan-china-ground-zero-for-coronavirus-gets-back-to-work-in-preview-of-whats-to-come-in-u-s"
"1590498741-1898","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=68","US employers shed 701,000 jobs in March, unemployment jumped to 4.4%, as coronavirus ravages economy","https://www.allsides.com/news/2020-04-03-0600/us-employers-shed-701000-jobs-march-unemployment-jumped-44-coronavirus-ravages","Read full story","https://www.foxbusiness.com/economy/march-jobs-report-unemployment-coronavirus-damage"
"1590498227-1788","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=76","Liberty University reopened its campus after spring break, and now there's a potential coronavirus outbreak","https://www.allsides.com/news/2020-03-30-1001/liberty-university-reopened-its-campus-after-spring-break-and-now-theres","Read full story","https://www.theblaze.com/news/liberty-university-re-opened-its-campus-after-spring-break-and-now-theres-a-potential-coronavirus-outbreak"
"1590502226-2582","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=25","Let People Go Outside","https://www.allsides.com/news/2020-05-07-0710/let-people-go-outside","Read full story","https://reason.com/2020/05/05/coronavirus-let-people-go-outside/"
"1590496220-1338","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=104","Chinese official pushes conspiracy theory that the US Army introduced coronavirus to Wuhan","https://www.allsides.com/news/2020-03-13-0715/chinese-official-pushes-conspiracy-theory-us-army-introduced-coronavirus-wuhan","Read full story","https://www.theblaze.com/news/china-coronavirus-conspiracy-theory-blaming-us"
"1590495705-1218","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=112","Blowout: U.S. Economy Added 273,000 Jobs in February","https://www.allsides.com/news/2020-03-06-0617/blowout-us-economy-added-273000-jobs-february","Read full story","https://www.breitbart.com/economy/2020/03/06/february-jobs/"
"1590497132-1552","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=91","Coronavirus cases continue to rise in New York and throughout US","https://www.allsides.com/news/2020-03-22-0200/coronavirus-cases-continue-rise-new-york-and-throughout-us","Read full story","https://nypost.com/2020/03/21/coronavirus-cases-continue-to-rise-in-new-york-and-throughout-us/"
"1590498420-1832","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=73","Law and Liberty in an Emergency","https://www.allsides.com/news/2020-03-31-1619/law-and-liberty-emergency","Read full story","https://www.nationalreview.com/2020/03/coronavirus-pandemic-response-law-liberty-in-emergency/"
"1590498641-1881","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=70","Newsom: Yes, We Will Use Coronavirus to 'Reimagine a Progressive Era'","https://www.allsides.com/news/2020-04-02-0639/newsom-yes-we-will-use-coronavirus-reimagine-progressive-era","Read full story","https://townhall.com/tipsheet/leahbarkoukis/2020/04/02/newsom-yes-we-will-use-coronavirus-to-reimagine-a-progressive-era-n2566199"
"1590500568-2247","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=46","Trump's ‘liberate’ tweets supporting lockdown protesters spur social media frenzy","https://www.allsides.com/news/2020-04-18-0112/trumps-liberate-tweets-supporting-lockdown-protesters-spur-social-media-frenzy","Read full story","https://www.foxnews.com/media/trump-liberate-tweets-lockdown-protests"
"1590501449-2430","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=35","Fool me twice? For businesses and consumers, coronavirus is the financial crisis all over again","https://www.allsides.com/news/2020-04-26-0040/fool-me-twice-businesses-and-consumers-coronavirus-financial-crisis-all-over","Read full story","https://www.marketwatch.com/story/fool-me-twice-for-businesses-and-consumers-coronavirus-is-the-financial-crisis-all-over-again-2020-04-16"
"1590503645-2917","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=7","Texas Admitted It Can't Enforce Its COVID-19 Lockdown. More States Should Do The Same.","https://www.allsides.com/news/2020-05-19-0645/texas-admitted-it-cant-enforce-its-covid-19-lockdown-more-states-should-do-same","Read full story","https://reason.com/2020/05/18/texas-admitted-it-cant-enforce-its-covid-19-lockdown-more-states-should-do-the-same/"
"1590496907-1495","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=94","Coronavirus Pandemic Inspires Private Generosity","https://www.allsides.com/news/2020-03-19-0620/coronavirus-pandemic-inspires-private-generosity","Read full story","https://reason.com/2020/03/19/coronavirus-pandemic-inspires-private-generosity/"
"1590502152-2568","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=26","Coronavirus crisis proves 'net neutrality' was a mistake, repeal was right move","https://www.allsides.com/news/2020-05-03-1942/coronavirus-crisis-proves-net-neutrality-was-mistake-repeal-was-right-move","Read full story","https://www.foxbusiness.com/technology/coronavirus-net-neutrality-grover-norquist"
"1590502525-2646","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=21","CBS Reportedly Caught Creating Fake News at Michigan Coronavirus Testing Site","https://www.allsides.com/news/2020-05-07-0651/cbs-reportedly-caught-creating-fake-news-michigan-coronavirus-testing-site","Read full story","https://townhall.com/tipsheet/leahbarkoukis/2020/05/07/cbs-caught-creating-fake-news-at-michigan-coronavirus-testing-site-n2568366"
"1590502083-2555","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=27","Trump rips George W. Bush's call to end partisanship amid coronavirus","https://www.allsides.com/news/2020-05-03-0825/trump-rips-george-w-bushs-call-end-partisanship-amid-coronavirus","Read full story","https://www.washingtontimes.com/news/2020/may/3/donald-trump-rips-george-w-bush-call-end-partisans/"
"1590496441-1394","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=101","Inside China’s campaign to blame the U.S. for the coronavirus pandemic","https://www.allsides.com/news/2020-03-15-1612/inside-china-s-campaign-blame-us-coronavirus-pandemic","Read full story","https://www.marketwatch.com/story/inside-chinas-campaign-to-blame-the-us-for-the-coronavirus-pandemic-2020-03-15"
"1590501228-2382","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=38","U.S. Weekly Jobless Claims: 4.4 Million","https://www.allsides.com/news/2020-04-23-0700/us-weekly-jobless-claims-44-million","Read full story","https://www.breitbart.com/economy/2020/04/23/u-s-weekly-jobless-claims-4-4-million/"
"1590498428-1834","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=73","Will coronavirus survive airborne? Are young people safe? Do face masks protect me? Are men more likely to die? Burning questions on COVID-19","https://www.allsides.com/news/2020-03-31-1620/will-coronavirus-survive-airborne-are-young-people-safe-do-face-masks-protect","Read full story","https://www.marketwatch.com/story/is-coronavirus-airborne-will-it-live-in-my-bathroom-is-it-ok-to-fly-or-eat-out-are-men-more-susceptible-busting-myths-and-confirming-facts-of-covid-19-2020-03-12?mod=home-page"
"1590499910-2115","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=54","An Easter People, Now More Than Ever","https://www.allsides.com/news/2020-04-12-0810/easter-people-now-more-ever","Read full story","https://www.nationalreview.com/2020/04/an-easter-people-now-more-than-ever/"
"1590498459-1840","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=72","IHME Model Estimates 93,765 U.S. Coronavirus Deaths","https://www.allsides.com/news/2020-04-02-0656/ihme-model-estimates-93765-us-coronavirus-deaths","Read full story","https://www.breitbart.com/politics/2020/04/01/ihme-model-estimates-93765-coronavirus-deaths/"
"1590496482-1409","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=100","Why the Government Should Not Impose Price Controls","https://www.allsides.com/news/2020-03-16-0619/why-government-should-not-impose-price-controls","Read full story","https://www.nationalreview.com/2020/03/coronavirus-outbreak-government-should-not-set-price-controls/"
"1590503361-2835","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=10","This is how fast Americans are spending their stimulus checks — and here’s a breakdown of what they’re buying","https://www.allsides.com/news/2020-05-15-1336/how-fast-americans-are-spending-their-stimulus-checks-and-here-s-breakdown-what","Read full story","https://www.marketwatch.com/story/this-is-how-fast-americans-are-spending-their-stimulus-checks-and-heres-a-breakdown-of-what-theyre-buying-2020-05-15?mod=home-page"
"1590495694-1217","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=112","Mortgage rates fall to all-time low amid coronavirus concerns — here’s why you should think twice about waiting to refinance","https://www.allsides.com/news/2020-03-05-1712/mortgage-rates-fall-all-time-low-amid-coronavirus-concerns-here-s-why-you","Read full story","https://www.marketwatch.com/story/mortgage-rates-fall-to-all-time-low-amid-coronavirus-concerns-heres-why-americans-may-not-take-advantage-of-them-2020-03-05?mod=home-page"
"1590496148-1319","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=105","Coronavirus prevention tips: How to stop touching your face","https://www.allsides.com/news/2020-03-12-1012/coronavirus-prevention-tips-how-stop-touching-your-face","Read full story","https://www.foxnews.com/health/coronavirus-prevention-tips-how-to-stop-touching-your-face"
"1590496521-1418","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=99","Mitt Romney calls for U.S. to give $1,000 to every American adult to bolster economy amid COVID-19 emergency","https://www.allsides.com/news/2020-03-16-1311/mitt-romney-calls-us-give-1000-every-american-adult-bolster-economy-amid-covid","Read full story","https://www.theblaze.com/news/mitt-romney-calls-for-u-s-to-give-1-000-to-every-american-adult-to-bolster-economy-amid-covid-19-emergency"
"1590503395-2847","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=10","House Democrats pass doomed $3T coronavirus relief bill","https://www.allsides.com/news/2020-05-16-0859/house-democrats-pass-doomed-3t-coronavirus-relief-bill","Read full story","https://nypost.com/2020/05/15/house-democrats-pass-doomed-3t-coronavirus-relief-bill/"
"1590500967-2330","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=41","WaPo Butchers Democrats' Hold-Up of Paycheck Protection Funding","https://www.allsides.com/news/2020-04-21-0813/wapo-butchers-democrats-hold-paycheck-protection-funding","Read full story","https://townhall.com/tipsheet/reaganmccarthy/2020/04/21/wapo-butchers-dems-punt-on-ppp-n2567303"
"1590501915-2524","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=29","Don’t Blame Bleachgate","https://www.allsides.com/news/2020-05-01-0714/don-t-blame-bleachgate","Read full story","https://www.nationalreview.com/2020/05/donald-trump-weak-poll-numbers-dont-blame-bleachgate/?itm_campaign=headline-testing-donald-trump-weak-poll-numbers-dont-blame-bleachgate&itm_medium=headline&itm_source=nationalreview&itm_content=It%20Wasn%E2%80%99t%20Bleachgate%3A%20Why%20Trump%20Is%20Falling%20in%20the%20Polls&itm_term=It%20Wasn%E2%80%99t%20Bleachgate%3A%20Why%20Trump%20Is%20Falling%20in%20the%20Polls"
"1590503166-2769","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=14","NY Gov. Cuomo Bizarrely Calls COVID-19 a ‘European Virus’","https://www.allsides.com/news/2020-05-13-1444/ny-gov-cuomo-bizarrely-calls-covid-19-european-virus","Read full story","https://thenationalpulse.com/coronavirus/cuomo-calls-it-european-virus/"
"1590495606-1191","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=114","Pence: Democrats, Republicans Must Come Together To Battle Coronavirus, Set Politics Aside","https://www.allsides.com/news/2020-03-01-1351/pence-democrats-republicans-must-come-together-battle-coronavirus-set-politics","Read full story","https://www.oann.com/pence-democrats-republicans-must-come-together-to-battle-coronavirus-set-politics-aside/"
"1590503965-2973","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=2","Americans use their $1,200 stimulus checks to splurge at Walmart, Target and Best Buy — here’s what they’re buying","https://www.allsides.com/news/2020-05-22-0606/americans-use-their-1200-stimulus-checks-splurge-walmart-target-and-best-buy","Read full story","https://www.marketwatch.com/story/americans-spent-their-stimulus-checks-on-discretionary-goods-such-as-bikes-video-games-and-clothes-target-and-walmart-ceos-say-2020-05-20"
"1590503796-2944","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=5","California Begins Distributing COVID-19 Aid to Illegal Immigrants","https://www.allsides.com/news/2020-05-20-1142/california-begins-distributing-covid-19-aid-illegal-immigrants","Read full story","https://www.theepochtimes.com/money-for-illegal-immigrants-in-california-starts-being-distributed_3354975.html"
"1590497577-1668","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=83","Pelosi Coronavirus Plan: Nationwide Ballot Harvesting for 2020 Election","https://www.allsides.com/news/2020-03-25-1031/pelosi-coronavirus-plan-nationwide-ballot-harvesting-2020-election","Read full story","https://www.breitbart.com/politics/2020/03/23/pelosi-coronavirus-plan-nationwide-ballot-harvesting-for-2020-election/"
"1590503840-2953","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=4","'Chris Cuomo took a less safe version': McEnany pushes back on criticisms of Trump's use of hydroxychloroquine","https://www.allsides.com/news/2020-05-20-1906/chris-cuomo-took-less-safe-version-mcenany-pushes-back-criticisms-trumps-use","Read full story","https://www.washingtonexaminer.com/news/chris-cuomo-took-a-less-safe-version-mcenany-pushes-back-on-criticisms-of-trumps-use-of-hydroxychloroquine"
"1590498336-1816","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=74","Difficult Days Ahead: My Pillow CEO Joins Trump at White House, Calling Americans to Turn to God and the Bible","https://www.allsides.com/news/2020-03-31-0718/difficult-days-ahead-my-pillow-ceo-joins-trump-white-house-calling-americans","Read full story","https://www1.cbn.com/cbnnews/us/2020/march/difficult-days-ahead-my-pillow-ceo-joins-trump-at-white-house-calling-americans-to-turn-to-god-and-the-bible"
