web-scraper-order,web-scraper-start-url,link,href
1589871358-533,https://www.newstatesman.com/international/democracy,The crisis trap: why the EU must not sideline democracy as it tackles coronavirus,https://www.newstatesman.com/world/europe/2020/03/crisis-trap-why-eu-must-not-sideline-democracy-it-tackles-coronavirus
1589871358-536,https://www.newstatesman.com/international/democracy,How coronavirus exposed the US’s divisions as deeper than ever,https://www.newstatesman.com/world/north-america/2020/03/coronavirus-america-US-response-president-trump-states
1589871358-544,https://www.newstatesman.com/international/democracy,"The future of German politics rests on a defining question: after Angela Merkel, what next?",https://www.newstatesman.com/world/europe/2020/02/future-german-politics-rests-defining-question-after-angela-merkel-what-next
1589871358-542,https://www.newstatesman.com/international/democracy,Norbert Röttgen’s bid to lead the CDU offers a taste of what Germany has been missing,https://www.newstatesman.com/world/europe/2020/02/norbert-r-ttgen-s-bid-lead-cdu-offers-taste-what-germany-has-been-missing
1589871358-554,https://www.newstatesman.com/international/democracy,Chile’s unrest has reawakened its egalitarian spirit,https://www.newstatesman.com/world/2019/11/chile-s-unrest-has-reawakened-its-egalitarian-spirit
1589871358-535,https://www.newstatesman.com/international/democracy,The state transformed: The coronavirus crisis has buttressed Italy’s democratic state – for now,https://www.newstatesman.com/world/europe/2020/03/state-transformed-coronavirus-crisis-has-buttressed-italy-s-democratic-state
1589871358-547,https://www.newstatesman.com/international/democracy,The surge of Sinn Féin,https://www.newstatesman.com/international/2020/02/surge-sinn-f
1589871358-553,https://www.newstatesman.com/international/democracy,Colombia is the latest country to join Latin America's wave of protests,https://www.newstatesman.com/politics/devolution/2019/12/colombia-latest-country-join-latin-americas-wave-protests
1589871358-530,https://www.newstatesman.com/international/democracy,Will the fight leave the Democratic campaign with Bernie Sanders?,https://www.newstatesman.com/world/2020/04/will-fight-leave-democratic-campaign-bernie-sanders
1589871358-551,https://www.newstatesman.com/international/democracy,Electoral triumph for Taiwan’s China-sceptic Tsai Ing-wen poses big questions for Beijing,https://www.newstatesman.com/world/asia/2020/01/electoral-triumph-taiwan-s-china-sceptic-tsai-ing-wen-poses-big-questions-beijing
1589871358-543,https://www.newstatesman.com/international/democracy,"The young Iraqis fighting for a modern, independent nation",https://www.newstatesman.com/world/middle-east/2020/02/young-iraqis-fighting-modern-independent-nation
1589871358-524,https://www.newstatesman.com/international/democracy,Letter from Myanmar: what comes after militant Buddhism?,https://www.newstatesman.com/world/asia/2020/05/myanmar-militant-buddhism-monks-genocide-rohingya-solutions
1589871358-550,https://www.newstatesman.com/international/democracy,Why did the entire Russian government just resign?,https://www.newstatesman.com/world/europe/2020/01/why-did-entire-russian-government-just-resign
1589871358-546,https://www.newstatesman.com/international/democracy,What the UK left can learn from Italy’s new Sardines movement,https://www.newstatesman.com/world/europe/2020/02/what-uk-left-can-learn-italy-s-new-sardines-movement
1589871358-526,https://www.newstatesman.com/international/democracy,How Donald Trump has transformed US political debate over Israel,https://www.newstatesman.com/world/north-america/2020/04/democrat-party-israel-jewish-biden-donald-trump
1589871358-527,https://www.newstatesman.com/international/democracy,Almost all national governments are surging in the polls – but that information is not useless,https://www.newstatesman.com/politics/staggers/2020/04/coronavirus-government-response-polls-voters-election
1589871358-537,https://www.newstatesman.com/international/democracy,How populist leaders exploit pandemics,https://www.newstatesman.com/world/2020/03/how-populist-leaders-exploit-pandemics
1589871358-532,https://www.newstatesman.com/international/democracy,How Viktor Orbán used the coronavirus crisis to hand himself unlimited power,https://www.newstatesman.com/world/europe/2020/03/how-viktor-orb-n-used-coronavirus-crisis-hand-himself-unlimited-power
1589871358-545,https://www.newstatesman.com/international/democracy,Who should be most alarmed by Sinn Féin’s surge in the Irish election?,https://www.newstatesman.com/politics/staggers/2020/02/who-should-be-most-alarmed-sinn-f-s-surge-irish-election
1589871358-538,https://www.newstatesman.com/international/democracy,The comeback king: how Joe Biden triumphed over Bernie Sanders on Super Tuesday,https://www.newstatesman.com/world/2020/03/comeback-king-how-joe-biden-triumphed-over-bernie-sanders-super-tuesday
1589871358-549,https://www.newstatesman.com/international/democracy,How the Italian left defied the far right in Emilia-Romagna,https://www.newstatesman.com/world/europe/2020/01/how-italian-left-defied-far-right-emilia-romagna
1589871358-552,https://www.newstatesman.com/international/democracy,Is India still a democracy?,https://www.newstatesman.com/world/asia/2020/01/india-still-democracy
1589871358-539,https://www.newstatesman.com/international/democracy,Israeli voters have rewarded Netanyahu's divisive tactics,https://www.newstatesman.com/world/middle-east/2020/03/israeli-voters-have-rewarded-netanyahus-divisive-tactics
1589871358-523,https://www.newstatesman.com/international/democracy,How coronavirus is exposing authoritarianism’s failings in the former Soviet Union,https://www.newstatesman.com/world/europe/2020/05/coronavirus-russia-former-soviet-union-dictatorships-eastern-europe
1589871358-534,https://www.newstatesman.com/international/democracy,The regimes using coronavirus as an excuse to attack press freedom,https://www.newstatesman.com/world/africa/2020/03/regimes-using-coronavirus-excuse-attack-press-freedom
1589871358-531,https://www.newstatesman.com/international/democracy,Why we need “informational distancing” during the coronavirus crisis,https://www.newstatesman.com/science-tech/social-media/2020/04/why-we-need-informational-distancing-during-coronavirus-crisis
1589871358-556,https://www.newstatesman.com/international/democracy,The day Hong Kong’s true “silent majority” spoke,https://www.newstatesman.com/world/asia/2019/11/day-hong-kong-s-true-silent-majority-spoke
1589871358-528,https://www.newstatesman.com/international/democracy,"Andrew Cuomo, the charismatic, controlling, combative anti-Trump",https://www.newstatesman.com/world/north-america/2020/04/andrew-cuomo-charismatic-controlling-combative-anti-trump
1589871358-529,https://www.newstatesman.com/international/democracy,Xi Jinping’s leadership of China looks secure – but his enemies are circling,https://www.newstatesman.com/world/asia/2020/04/china-beijing-coronavirus-response-xi-jinping-president
1589871358-557,https://www.newstatesman.com/international/democracy,Lebanon's people are finally rejecting their country's entrenched political elite,https://www.newstatesman.com/world/middle-east/2019/10/lebanons-people-are-finally-rejecting-their-countrys-entrenched-political
1589871358-555,https://www.newstatesman.com/international/democracy,"Across the Middle East, they are done with false prophets ​",https://www.newstatesman.com/world/middle-east/2019/11/across-middle-east-they-are-done-false-prophets
1589871358-548,https://www.newstatesman.com/international/democracy,Pro-Europeans around the continent must learn the lessons of the UK’s story,https://www.newstatesman.com/world/europe/2020/01/pro-europeans-around-continent-must-learn-lessons-uk-s-story
1589871358-540,https://www.newstatesman.com/international/democracy,Can the Israeli left reinvent itself?,https://www.newstatesman.com/world/middle-east/2020/03/can-israeli-left-reinvent-itself
1589871358-541,https://www.newstatesman.com/international/democracy,Joe Biden’s landslide victory in South Carolina leaves him the main challenger to Bernie Sanders,https://www.newstatesman.com/world/2020/03/joe-biden-s-landslide-victory-south-carolina-leaves-him-main-challenger-bernie-sanders
1589871358-558,https://www.newstatesman.com/international/democracy,This was one of the strangest and most ambiguous results in Canadian electoral history,https://www.newstatesman.com/politics/staggers/2019/10/was-one-strangest-and-most-ambiguous-results-canadian-electoral-history-0
1589871358-525,https://www.newstatesman.com/international/democracy,How coronavirus could unseat Jair Bolsonaro,https://www.newstatesman.com/world/south-america/2020/05/how-coronavirus-could-unseat-jair-bolsonaro
