web-scraper-order,web-scraper-start-url,link,href
1589871538-569,https://www.newstatesman.com/international/economy,Governments have shut down supply and destroyed demand: the past is no guide to this crisis,https://www.newstatesman.com/world/2020/03/governments-have-shut-down-supply-and-destroyed-demand-past-no-guide-crisis
1589871538-567,https://www.newstatesman.com/international/economy,"To avoid economic disaster, Europe must demonstrate financial solidarity",https://www.newstatesman.com/world/europe/2020/03/avoid-economic-disaster-europe-must-demonstrate-financial-solidarity
1589871538-566,https://www.newstatesman.com/international/economy,Seven leading German economists call for €1 trillion of European crisis bonds,https://www.newstatesman.com/world/europe/2020/03/seven-leading-german-economists-call-1-trillion-european-crisis-bonds
1589871538-565,https://www.newstatesman.com/international/economy,"After the coronavirus crisis, a new struggle against austerity will begin",https://www.newstatesman.com/politics/economy/2020/04/after-coronavirus-crisis-new-struggle-against-austerity-will-begin
1589871538-560,https://www.newstatesman.com/international/economy,The coronavirus pandemic shows why the West must transform its economic logic,https://www.newstatesman.com/politics/economy/2020/04/coronavirus-economics-stockpiling-global-supply-chain
1589871538-563,https://www.newstatesman.com/international/economy,The US’s week of strikes,https://www.newstatesman.com/politics/economy/2020/04/uss-week-strikes
1589871538-561,https://www.newstatesman.com/international/economy,The scale of the economic disaster ahead is only just becoming apparent,https://www.newstatesman.com/politics/economy/2020/04/scale-economic-disaster-ahead-only-just-becoming-apparent
1589871538-571,https://www.newstatesman.com/international/economy,Why the UK is badly prepared for a coronavirus recession,https://www.newstatesman.com/politics/economy/2020/03/why-uk-badly-prepared-coronavirus-recession
1589871538-562,https://www.newstatesman.com/international/economy,Europe needs a coronabonds coalition of the willing to prevent economic disaster,https://www.newstatesman.com/world/europe/2020/04/europe-needs-coronabonds-coalition-willing-prevent-economic-disaster
1589871538-570,https://www.newstatesman.com/international/economy,Where has Christine Lagarde’s loose talk left coronavirus and monetary policy?,https://www.newstatesman.com/politics/economy/2020/03/where-has-christine-lagarde-s-loose-talk-left-coronavirus-and-monetary
1589871538-559,https://www.newstatesman.com/international/economy,Coronavirus hits the Global South,https://www.newstatesman.com/world/south-america/2020/04/coronavirus-hits-global-south
1589871538-564,https://www.newstatesman.com/international/economy,US unemployment claims rise by a record 6.65 million – and worse is set to come,https://www.newstatesman.com/world/north-america/2020/04/us-unemployment-claims-rise-record-665-million-and-worse-set-come
1589871538-572,https://www.newstatesman.com/international/economy,"As the global economy fights coronavirus, “helicopter money” could take off",https://www.newstatesman.com/politics/economy/2020/03/global-economy-fights-coronavirus-helicopter-money-could-take
1589871538-573,https://www.newstatesman.com/international/economy,Solving global inequality through vacuous buzzwords: welcome to the new “Woke Davos”,https://www.newstatesman.com/world/europe/2020/01/solving-global-inequality-through-vacuous-buzzwords-welcome-new-woke-davos
1589871538-568,https://www.newstatesman.com/international/economy,How Zoom became the defining app of the coronavirus era,https://www.newstatesman.com/science-tech/coronavirus/2020/03/how-zoom-became-defining-app-coronavirus-era
