web-scraper-order,web-scraper-start-url,title,title-href,link,link-href
"1590530892-8964","https://www.allsides.com/topics/elections?search=elections&page=265","Are the Presidential Debates ‘Rigged’ Against Trump?","https://www.allsides.com/news/2016-08-01-0810/are-presidential-debates-%E2%80%98rigged%E2%80%99-against-trump","Read full story","http://townhall.com/tipsheet/leahbarkoukis/2016/08/01/are-the-presidential-debates-rigged-against-trump-n2200573"
"1590524805-7521","https://www.allsides.com/topics/elections?search=elections&page=350","Sanders wins Michigan in stunning upset","https://www.allsides.com/news/2016-03-08-2149/sanders-wins-michigan-stunning-upset","Read full story","http://www.washingtontimes.com/news/2016/mar/8/bernie-sanders-wins-michigan-primary-major-upset/"
"1590512541-4736","https://www.allsides.com/topics/elections?search=elections&page=529","Obama says Latino vote is key to victory, vows immigration reform in 2013","https://www.allsides.com/news/2012-10-25-0749/obama-says-latino-vote-key-victory-vows-immigration-reform-2013","Read full story","http://www.washingtontimes.com/news/2012/oct/24/obama-confident-immigration-reform-if-reelected/"
"1590508225-3697","https://www.allsides.com/topics/elections?search=elections&page=608","Romney keeps focus on the economy as heartland bus tour hits Pennsylvania","https://www.allsides.com/news/06162012-2145/romney-keeps-focus-economy-heartland-bus-tour-hits-pennsylvania","Read full story","http://www.foxnews.com/politics/2012/06/16/romney-keeps-focus-on-economy-as-heartland-bus-tour-hits-pennsylvania/"
"1590550442-11486","https://www.allsides.com/topics/elections?search=elections&page=9","Biden Stumbles Through Televised Interview on Coronavirus Response: ‘You know, There’s — During World War II, You Know, Where Roosevelt Came Up With A Thing’","https://www.allsides.com/news/2020-04-17-1552/biden-stumbles-through-televised-interview-coronavirus-response-you-know-there","Read full story","https://www.nationalreview.com/news/biden-stumbles-through-televised-interview-on-coronavirus-response-you-know-theres-during-world-war-ii-you-know-where-roosevelt-came-up-with-a-thing/"
"1590548779-11303","https://www.allsides.com/topics/elections?search=elections&page=25","Go Ahead, Let Trump Make Your Day","https://www.allsides.com/news/2020-03-03-1757/go-ahead-let-trump-make-your-day","Read full story","https://www.nationalreview.com/2020/03/go-ahead-let-trump-make-your-day/"
"1590540604-10380","https://www.allsides.com/topics/elections?search=elections&page=123","Florida's secretary of state orders recounts in Senate, gubernatorial races; Trump 'watching closely'","https://www.allsides.com/news/2018-11-11-0819/floridas-secretary-state-orders-recounts-senate-gubernatorial-races-trump","Read full story","https://www.foxnews.com/politics/floridas-secretary-of-state-orders-recounts-in-senate-gubernatorial-races"
"1590541430-10495","https://www.allsides.com/topics/elections?search=elections&page=111","House passes Democrats' historic election bill","https://www.allsides.com/news/2019-03-09-0914/house-passes-democrats-historic-election-bill","Read full story","https://www.washingtontimes.com/news/2019/mar/8/house-passes-democrats-historic-election-bill/"
"1590535866-9772","https://www.allsides.com/topics/elections?search=elections&page=186","Bernie Sanders downplays Wisconsin recount: ‘Nobody cares’","https://www.allsides.com/news/2016-11-27-0830/bernie-sanders-downplays-wisconsin-recount-%E2%80%98nobody-cares%E2%80%99","Read full story","http://www.washingtontimes.com/news/2016/nov/27/bernie-sanders-downplays-wisconsin-recount-nobody-/"
"1590508802-3778","https://www.allsides.com/topics/elections?search=elections&page=601","Obama too toxic for West Virginia Democrats","https://www.allsides.com/news/06252012-1218/obama-too-toxic-west-virginia-democrats","Read full story","http://www.washingtontimes.com/news/2012/jun/24/obama-too-toxic-for-west-virginia-democrats/"
"1590531089-9021","https://www.allsides.com/topics/elections?search=elections&page=262","Paul Ryan Is Going To Be Fine","https://www.allsides.com/news/2016-08-06-1111/paul-ryan-going-be-fine","Read full story","http://townhall.com/tipsheet/mattvespa/2016/08/05/paul-ryan-is-going-to-be-fine-n2201959"
"1590509247-3882","https://www.allsides.com/topics/elections?search=elections&page=594","Romney to court black voters with education, economic pitches","https://www.allsides.com/news/07112012-0729/romney-court-black-voters-education-economic-pitches","Read full story","http://www.washingtontimes.com/news/2012/jul/11/romney-courts-black-voters-education-economic-pitc/"
"1590532982-9339","https://www.allsides.com/topics/elections?search=elections&page=232","Soros-Linked ‘October Surprise That Will End Trump’: The Campaign To Register 8 Million ‘Global Citizens’ To Vote","https://www.allsides.com/news/2016-09-22-0627/soros-linked-%E2%80%98october-surprise-will-end-trump%E2%80%99-campaign-register-8-million-","Read full story","http://www.breitbart.com/london/2016/09/21/surprise-that-will-end-trump-globalists-registering-8-million/"
"1590540216-10335","https://www.allsides.com/topics/elections?search=elections&page=128","Trump Says Democrats Would Ruin Florida, His Second Home","https://www.allsides.com/news/2018-11-04-0851/trump-says-democrats-would-ruin-florida-his-second-home","Read full story","https://www.newsmax.com/politics/trump-florida-democrats-andrew-gillum/2018/11/04/id/889234/"
"1590545593-11017","https://www.allsides.com/topics/elections?search=elections&page=56","Jerry Nadler Just Said We Can't 'Trust an Election' to Get Rid of President Trump","https://www.allsides.com/news/2019-12-12-0713/jerry-nadler-just-said-we-cant-trust-election-get-rid-president-trump","Read full story","https://townhall.com/tipsheet/katiepavlich/2019/12/12/jerry-nadler-just-said-we-cant-trust-an-election-to-get-rid-of-president-trump-n2557874"
"1590541243-10471","https://www.allsides.com/topics/elections?search=elections&page=114","Scandal-Plagued Sen. Amy Klobuchar Announces 2020 Presidential Run","https://www.allsides.com/news/2019-02-11-0739/scandal-plagued-sen-amy-klobuchar-announces-2020-presidential-run","Read full story","https://reason.com/blog/2019/02/10/sen-amy-klobuchar-announces-2020-run"
