web-scraper-order,web-scraper-start-url,link,href
1589872507-927,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Lt. Gen. H.R. McMaster on foreign policy; Sen. Schumer on President Trump's first 100 days,https://www.foxnews.com/transcript/lt-gen-h-r-mcmaster-on-foreign-policy-sen-schumer-on-president-trumps-first-100-days
1589872507-898,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Carly Fiorina on sexual harassment claims rocking Washington,https://www.foxnews.com/transcript/carly-fiorina-on-sexual-harassment-claims-rocking-washington
1589872507-926,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Reince Priebus on what lies ahead for House health care bill,https://www.foxnews.com/transcript/reince-priebus-on-what-lies-ahead-for-house-health-care-bill
1589872507-786,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,"Tom Steyer on performance in Nevada, expectations for South Carolina",https://www.foxnews.com/transcript/tom-steyer-on-performance-in-nevada-expectations-for-south-carolina
1589872507-830,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Working to save children in countries where hope is running out,https://www.foxnews.com/transcript/working-to-save-children-in-countries-where-hope-is-running-out
1589872507-836,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Tara Westover's journey from a survivalist family to the heights of academia makes for a bestseller,https://www.foxnews.com/transcript/tara-westovers-journey-from-a-survivalist-family-to-the-heights-of-academia-makes-for-a-bestseller
1589872507-807,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,"Secretary Pompeo on peace talks with the Taliban, containing Iran threat; Mark Sanford on primary challenge to President Trump",https://www.foxnews.com/transcript/secretary-pompeo-on-peace-talks-with-the-taliban-containing-iran-threat-mark-sanford-on-primary-challenge-to-president-trump
1589872507-923,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,"Sec. John Kelly on Manchester investigation, keeping America safe",https://www.foxnews.com/transcript/sec-john-kelly-on-manchester-investigation-keeping-america-safe
1589872507-835,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Rush Limbaugh on whether Trump is justified in taking executive action to secure funding for his border wall,https://www.foxnews.com/transcript/rush-limbaugh-on-whether-trump-is-justified-in-taking-executive-action-to-secure-funding-for-his-border-wall
1589872507-897,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,"H.R. McMaster talks North Korea threat, Michael Flynn deal",https://www.foxnews.com/transcript/h-r-mcmaster-talks-north-korea-threat-michael-flynn-deal
1589872507-889,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Reps. Stewart and Swalwell debate significance of Nunes memo,https://www.foxnews.com/transcript/reps-stewart-and-swalwell-debate-significance-of-nunes-memo
1589872507-863,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Rudy Giuliani takes aim at Michael Cohen's credibility,https://www.foxnews.com/transcript/rudy-giuliani-takes-aim-at-michael-cohens-credibility
1589872507-824,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Rep. David Cicilline on the growing battle between House Democrats and the Trump administration,https://www.foxnews.com/transcript/rep-david-cicilline-on-the-growing-battle-between-house-democrats-and-the-trump-administration
1589872507-779,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Mayor Muriel Bowser on the impact of the COVID-19 crisis on the nation's capital,https://www.foxnews.com/transcript/mayor-muriel-bowser-on-the-impact-of-the-covid-19-crisis-on-the-nations-capital
1589872507-829,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Rep. Jim Himes on where the Democratic Party stands in a post-Mueller Report world,https://www.foxnews.com/transcript/rep-jim-himes-on-where-the-democratic-party-stands-in-a-post-mueller-report-world
1589872507-787,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,"Mayor Pete Buttigieg on Iowa caucuses result, attacks from 2020 rivals, expectations for New Hampshire Short",https://www.foxnews.com/transcript/mayor-pete-buttigieg-on-iowa-caucuses-result-attacks-from-2020-rivals-expectations-for-new-hampshire-short
1589872507-893,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Pompeo pushes back against questions of Trump's fitness,https://www.foxnews.com/transcript/pompeo-pushes-back-against-questions-of-trumps-fitness
1589872507-776,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,"Dr. Deborah Birx on efforts to find COVID-19 treatments, vaccines and push to reopen America",https://www.foxnews.com/transcript/dr-deborah-birx-on-efforts-to-find-covid-19-treatments-vaccines-and-push-to-reopen-america
1589872507-822,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Biographer Robert Caro offers window into his process,https://www.foxnews.com/transcript/biographer-robert-caro-offers-window-into-his-process
1589872507-880,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Darrell Issa: Sessions giving credibility to probe of DOJ,https://www.foxnews.com/transcript/darrell-issa-sessions-giving-credibility-to-probe-of-doj
1589872507-840,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Sen. Lindsey Graham on whether Congress can end the stalemate over the partial government shutdown,https://www.foxnews.com/transcript/sen-lindsey-graham-on-whether-congress-can-end-the-stalemate-over-the-partial-government-shutdown
1589872507-881,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Sen. Graham on escalating tensions between Russia and the US,https://www.foxnews.com/transcript/sen-graham-on-escalating-tensions-between-russia-and-the-us
1589872507-795,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Rep. Adam Schiff defends Democrats' impeachment case against President Trump,https://www.foxnews.com/transcript/rep-adam-schiff-defends-democrats-impeachment-case-against-president-trump
1589872507-860,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Adm. Mike Mullen on ex-intel officials keeping clearances; Mulvaney on potential storm clouds ahead for Trump economy,https://www.foxnews.com/transcript/adm-mike-mullen-on-ex-intel-officials-keeping-clearances-mulvaney-on-potential-storm-clouds-ahead-for-trump-economy
1589872507-892,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,"Secretary Nielsen talks border security, immigration reform",https://www.foxnews.com/transcript/secretary-nielsen-talks-border-security-immigration-reform
1589872507-932,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Priebus on future of Trump's agenda; Rep. Jordan details conservative opposition to GOP leadership; Iraqi PM Haider al-Abadi talks terror,https://www.foxnews.com/transcript/priebus-on-future-of-trumps-agenda-rep-jordan-details-conservative-opposition-to-gop-leadership-iraqi-pm-haider-al-abadi-talks-terror
1589872507-921,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,RNC chair on how Comey's testimony impacts GOP agenda,https://www.foxnews.com/transcript/rnc-chair-on-how-comeys-testimony-impacts-gop-agenda
1589872507-920,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Jay Sekulow on reports Bob Mueller has widened investigation,https://www.foxnews.com/transcript/jay-sekulow-on-reports-bob-mueller-has-widened-investigation
1589872507-924,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Rex Tillerson on what Trump trip means for US foreign policy,https://www.foxnews.com/transcript/rex-tillerson-on-what-trump-trip-means-for-us-foreign-policy
1589872507-861,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Kellyanne Conway talks race relations in America; Sens. Graham and Reed on Space Force and sanctions,https://www.foxnews.com/transcript/kellyanne-conway-talks-race-relations-in-america-sens-graham-and-reed-on-space-force-and-sanctions
1589872507-833,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Rep. Debbie Dingell on what Michael Cohen's testimony means for future investigations of President Trump,https://www.foxnews.com/transcript/rep-debbie-dingell-on-what-michael-cohens-testimony-means-for-future-investigations-of-president-trump
1589872507-910,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Sec. Mnuchin talks cutting off North Korea economically,https://www.foxnews.com/transcript/sec-mnuchin-talks-cutting-off-north-korea-economically
1589872507-796,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,"James Comey, Pam Bondi and Rep. Adam Schiff talk FISA report, impeachment on 'Fox News Sunday'",https://www.foxnews.com/transcript/james-comey-pam-bondi-and-rep-adam-schiff-talk-fisa-report-impeachment-on-fox-news-sunday
1589872507-847,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,"Sen. Sasse on impact of political tribalism; Lewandowski, Bossie talk 'Trump's Enemies'",https://www.foxnews.com/transcript/sen-sasse-on-impact-of-political-tribalism-lewandowski-bossie-talk-trumps-enemies
