web-scraper-order,web-scraper-start-url,link,link-href
"1589941988-90903","https://www.foxnews.com/category/world/world-regions/china","Rep. Waltz: Americans need 'real wake-up call' about China's goal of economic dominance","https://www.foxnews.com/media/michael-waltz-americans-wake-up-call-china-military-investments"
"1589941988-90846","https://www.foxnews.com/category/world/world-regions/china","China refuses to allow international coronavirus investigators until 'final victory' over outbreak","https://www.foxnews.com/world/china-refuses-allow-international-coronavirus-investigators-until-final-victory-over-outbreak"
"1589941988-90812","https://www.foxnews.com/category/world/world-regions/china","American health care workers receive counterfeit N95 masks from China, AP investigation finds","https://www.foxnews.com/us/american-health-care-workers-counterfeit-n95-masks-china"
"1589941988-90875","https://www.foxnews.com/category/world/world-regions/china","China's Xian H-20 stealth bomber completes nuclear triad, could make debut this year","https://www.foxnews.com/world/chinas-xian-h-20-stealth-bomber-completes-nuclear-triad-could-make-debut-this-year"
"1589941988-90915","https://www.foxnews.com/category/world/world-regions/china","Tucker Carlson: Big Tech is using coronavirus to increase its power - and the US is becoming more like China","https://www.foxnews.com/opinion/tucker-carlson-big-tech-is-using-coronavirus-to-increase-its-power-and-the-us-is-becoming-more-like-china"
"1589941988-90920","https://www.foxnews.com/category/world/world-regions/china","Joseph D’Souza: Coronavirus shows how China's disregard for human rights threatens the world","https://www.foxnews.com/opinion/coronavirus-china-human-rights-hurts-world-joseph-dsouza"
"1589941988-90901","https://www.foxnews.com/category/world/world-regions/china","WHO: 102 potential coronavirus vaccines in the works","https://www.foxnews.com/health/who-coronavirus-potential-vaccines-world-health-organization"
"1589941988-90898","https://www.foxnews.com/category/world/world-regions/china","What is China's Belt and Road Initiative?","https://www.foxnews.com/world/what-is-chinas-belt-road-initiative"
"1589941988-90826","https://www.foxnews.com/category/world/world-regions/china","Wuhan reports new coronavirus cluster since reopening: report","https://www.foxnews.com/health/wuhan-reports-new-coronavirus-cluster-since-reopening-report"
"1589941988-90950","https://www.foxnews.com/category/world/world-regions/china","Spain wants refund for faulty coronavirus tests Chinese company sent as replacement for first defective batch","https://www.foxnews.com/world/spain-china-faulty-coronavirus-tests-refund"
"1589941988-90784","https://www.foxnews.com/category/world/world-regions/china","Wolf calls out China for trying to steal US coronavirus vaccine research: 'We need to stay on it'","https://www.foxnews.com/media/chad-wolf-dhs-china-steal-coronavirus-research"
"1589941988-90886","https://www.foxnews.com/category/world/world-regions/china","Pompeo blasts China for suppressing coronavirus information, call it a 'classic Communist disinformation effort'","https://www.foxnews.com/politics/pompeo-blasts-china-for-suppressing-coronavirus-information-call-it-a-classic-communist-disinformation-effort"
"1589941988-90972","https://www.foxnews.com/category/world/world-regions/china","China ups its spy game on US soil as it bids to control coronavirus narrative","https://www.foxnews.com/us/china-spying-us-soil-coronavirus-narrative"
"1589941988-90830","https://www.foxnews.com/category/world/world-regions/china","Newt Gingrich: Coronavirus was a surprise – Amazing technology can give us early warning of future outbreaks","https://www.foxnews.com/opinion/newt-gingrich-coronavirus-was-a-surprise-amazing-technology-can-give-us-early-warning-of-new-outbreaks"
"1589941988-90839","https://www.foxnews.com/category/world/world-regions/china","CNBC mocked for report on approval rating for China's COVID-19 response","https://www.foxnews.com/media/cnbc-china-government-approval-rating-coronavirus-response"
"1589941988-90840","https://www.foxnews.com/category/world/world-regions/china","Violence erupts as Chinese officials raid Christian church, drag out members","https://www.foxnews.com/world/china-church-christian-video-violence"
"1589941988-90771","https://www.foxnews.com/category/world/world-regions/china","Lanhee Chen: WHO reform – investigate coronavirus response and demand these changes at annual meeting","https://www.foxnews.com/opinion/who-reform-investigate-coronavirus-response-annual-meeting-lanhee-chen"
"1589941988-90925","https://www.foxnews.com/category/world/world-regions/china","China threatens economic punishments if Australia investigates Beijing's coronavirus response","https://www.foxnews.com/world/china-threatens-economic-punishments-if-australia-investigates-beijings-coronavirus-response"
"1589941988-90892","https://www.foxnews.com/category/world/world-regions/china","How China uses its massive surveillance apparatus to track its citizens, keep them in line","https://www.foxnews.com/world/china-massive-surveillance-apparatus-track-citizens"
"1589941988-90965","https://www.foxnews.com/category/world/world-regions/china","Peter Navarro accuses China of committing 'four kills' with response to coronavirus pandemic","https://www.foxnews.com/media/peter-navarro-china-four-kills-coronavirus-pandemic"
"1589941988-90893","https://www.foxnews.com/category/world/world-regions/china","WHO says it is 'assured' that coronavirus is 'natural in origin' as US probes Wuhan lab","https://www.foxnews.com/politics/who-assured-coronavirus-natural-in-origin"
"1589941988-90800","https://www.foxnews.com/category/world/world-regions/china","China has arrested hundreds for speaking out about coronavirus, reports show","https://www.foxnews.com/world/china-arrested-hundreds-speaking-out-coronavirus"
