web-scraper-order,web-scraper-start-url,link,href
1589875652-341,https://www.foxnews.com/category/politics/elections,Biden edges Trump 46-43 percent in battleground Wisconsin: poll,https://www.foxnews.com/politics/biden-edges-trump-battleground-wisconsin-poll
1589875652-318,https://www.foxnews.com/category/politics/elections,"Progressives score victory in Nebraska congressional primary, setting up rematch with Republicans",https://www.foxnews.com/politics/progressives-score-victory-in-nebraska-congressional-primary-sets-up-rematch-with-republicans
1589875652-235,https://www.foxnews.com/category/politics/elections,Democrats hoping to regain majority in the Senate,https://video.foxnews.com/v/6157298403001/
1589875652-369,https://www.foxnews.com/category/politics/elections,"Biden accuses Trump of ‘childish’ tactics on coronavirus response, rejects president’s testing claims",https://www.foxnews.com/politics/biden-trump-for-childish-tactics-says-presidents-coronavirus-testing-claims
1589875652-354,https://www.foxnews.com/category/politics/elections,Dan Bongino hits out at 'ridiculously stupid' LA County inmates who tried to contract coronavirus,https://www.foxnews.com/media/bongino-stupid-inmates-try-to-contract-coronavirus
1589875652-380,https://www.foxnews.com/category/politics/elections,Maher grills Amash on presidential bid: 'Third-party candidates can never win in this country',https://www.foxnews.com/entertainment/maher-grills-amash-on-presidential-bid-third-party-candidates-can-never-win-in-this-country
1589875652-267,https://www.foxnews.com/category/politics/elections,Chris Wallace: President Trump does not ‘come in with clean hands’ on sexual assault allegations,https://video.foxnews.com/v/6156927495001/
1589875652-368,https://www.foxnews.com/category/politics/elections,"Greg Gutfeld: Escaping the kid's table – Why everyone got the pandemic wrong, especially the experts",https://www.foxnews.com/opinion/greg-gutfeld-kids-table-coronavirus-pandemic-experts
1589875652-274,https://www.foxnews.com/category/politics/elections,"Biden says he doesn't remember Tara Reade, tells women they 'probably shouldn't vote for me' if they believe her claims",https://www.foxnews.com/politics/biden-tara-reade-i-wouldnt-vote-for-me
1589875652-366,https://www.foxnews.com/category/politics/elections,Concerns about contracting coronavirus stabilize: poll,https://www.foxnews.com/politics/concerns-about-catching-coronavirus-stabilize-poll
1589875652-297,https://www.foxnews.com/category/politics/elections,Mike Garcia takes victory lap after flipping California House seat,https://video.foxnews.com/v/6156589734001/
1589875652-277,https://www.foxnews.com/category/politics/elections,"Chinese state media ominously threatens GOP lawmakers, hints at Election Day impact",https://www.foxnews.com/world/chinese-state-media-ominously-threatens-gop-lawmakers
1589875652-237,https://www.foxnews.com/category/politics/elections,Biden says accuser changed story,https://video.foxnews.com/v/6157251750001/
1589875652-334,https://www.foxnews.com/category/politics/elections,Democrats take first steps toward possible virtual convention,https://www.foxnews.com/politics/democrats-take-first-step-towards-possibly-holding-a-virtual-convention
1589875652-348,https://www.foxnews.com/category/politics/elections,"Biden says he’s not ‘hidin,’ defends virtual campaign strategy",https://www.foxnews.com/politics/biden-says-hes-not-hidin-defends-virtual-campaign-strategy
1589875652-225,https://www.foxnews.com/category/politics/elections,Huckabee 'stunned' by Abrams push to be Biden running mate: 'What is her qualification to be president?',https://www.foxnews.com/media/mike-huckabee-what-qualifies-stacey-abrams-to-be-president
1589875652-236,https://www.foxnews.com/category/politics/elections,Democrats looking to flip Senate in November,https://video.foxnews.com/v/6157299851001/
1589875652-234,https://www.foxnews.com/category/politics/elections,California Rep.-elect Mike Garcia says win is a condemnation of Democrat policies,https://video.foxnews.com/v/6157305113001/
