web-scraper-order,web-scraper-start-url,link,href
1589876024-682,https://www.foxnews.com/category/politics/foreign-policy,Coronavirus crisis: Dozens of Americans stranded in Tonga appeal for help to get out as cyclone hits,https://www.foxnews.com/world/coronavirus-crisis-dozens-of-americans-stranded-in-tonga-appeal-for-help-to-get-out-as-cyclone-decimates
1589876024-630,https://www.foxnews.com/category/politics/foreign-policy,Ortagus: Our countries have to solve this pandemic together,https://video.foxnews.com/v/6152981954001/
1589876024-625,https://www.foxnews.com/category/politics/foreign-policy,US gets dragged into fight as Australia-China war of words escalates,https://www.foxnews.com/world/australia-china-war-of-words-escalates-as-us-gets-dragged-into-fight
1589876024-740,https://www.foxnews.com/category/politics/foreign-policy,Secretary Pompeo on China's coronavirus 'disinformation campaign': They put countless lives at risk,https://video.foxnews.com/v/6142723690001/
1589876024-652,https://www.foxnews.com/category/politics/foreign-policy,"Secretary Pompeo calls for a structural fix for the WHO, transparency from China on COVID-19 origins",https://video.foxnews.com/v/6151473828001/
1589876024-757,https://www.foxnews.com/category/politics/foreign-policy,"Conservative lawmakers, commentators labeled 'racist' for calling COVID-19 'Chinese' or 'Wuhan' virus",https://www.foxnews.com/world/conservative-lawmakers-commentators-labeled-racist-for-calling-covid-19-chinese-or-wuhan-virus
1589876024-763,https://www.foxnews.com/category/politics/foreign-policy,"State Department: Amid coronavirus risk, Americans 'should not travel by cruise ship'",https://www.foxnews.com/health/coronavirus-state-department-cruise-ships-no-travel
1589876024-653,https://www.foxnews.com/category/politics/foreign-policy,"China's ambassador to US takes swipe at Trump, officials over politicizing coronavirus",https://www.foxnews.com/world/chinas-ambassador-to-us-takes-swipe-at-trump-officials-over-politicizing-coronavirus
1589876024-663,https://www.foxnews.com/category/politics/foreign-policy,Sen. Cotton on origins of COVID-19: All circumstantial evidence points to Wuhan labs,https://video.foxnews.com/v/6150802567001/
1589876024-591,https://www.foxnews.com/category/politics/foreign-policy,Daniel Mariaschin: Europeans continue unjustified criticism of Israel but ignore real Middle East threats,https://www.foxnews.com/opinion/daniel-mariaschin-europeans-continue-unjustified-criticism-of-israel-but-ignore-real-middle-east-threats
1589876024-708,https://www.foxnews.com/category/politics/foreign-policy,"Secretary Mike Pompeo says Iran refused US help during coronavirus pandemic, urges transparency from China",https://video.foxnews.com/v/6145900098001/
1589876024-590,https://www.foxnews.com/category/politics/foreign-policy,Pompeo recommended firing of now-ousted State Department IG: official,https://www.foxnews.com/politics/pompeo-recommended-firing-state-department-inspector-general-official
1589876024-620,https://www.foxnews.com/category/politics/foreign-policy,What is OPLAN 5029? The 'Mission Impossible'-style plan in place to secure North Korea's nukes,https://www.foxnews.com/world/oplan-5029-north-korea-nuclear-weapons-kim-jong-un
1589876024-754,https://www.foxnews.com/category/politics/foreign-policy,US has restricted travel to and from these countries amid coronavirus pandemic,https://www.foxnews.com/world/coronavirus-us-travel-restrictions-countries
