web-scraper-order,web-scraper-start-url,link,link-href
"1589942192-91132","https://www.foxnews.com/category/person/donald-trump","Trump accuses Biden of being a ‘big unmasker’ after Flynn revelations","https://www.foxnews.com/politics/trump-accuses-biden-of-being-a-big-unmasker-after-flynn-revelations"
"1589942192-91069","https://www.foxnews.com/category/person/donald-trump","US accuses China of trying to steal coronavirus research","https://video.foxnews.com/v/6157028028001/"
"1589942192-91045","https://www.foxnews.com/category/person/donald-trump","Bill Pullman jabs Trump over 'Independence Day' tweet: 'My voice belongs to no one but me'","https://www.foxnews.com/entertainment/bill-pullman-trump-independence-day-tweet"
"1589942192-91062","https://www.foxnews.com/category/person/donald-trump","Pompeo recommended firing of now-ousted State Department IG: official","https://www.foxnews.com/politics/pompeo-recommended-firing-state-department-inspector-general-official"
"1589942192-91116","https://www.foxnews.com/category/person/donald-trump","Watergate prosecutors who want to weigh in on Flynn case include Dem donors, outspoken Trump critics","https://www.foxnews.com/politics/the-former-watergate-prosecutors-who-are-they"
"1589942192-91093","https://www.foxnews.com/category/person/donald-trump","Space Force flag to be unveiled to the world, presented to President Trump on Friday","https://www.foxnews.com/politics/space-force-flag-to-be-unveiled-president-trump-friday"
"1589942192-91019","https://www.foxnews.com/category/person/donald-trump","Trump reveals he's taking hydroxychloroquine in effort to prevent coronavirus symptoms","https://www.foxnews.com/politics/trump-reveals-taking-hydroxychloroquine-coronavirus"
"1589942192-91146","https://www.foxnews.com/category/person/donald-trump","GOP poised to retake Katie Hill's California seat, as Trump-backed candidate wins big in Wisconsin","https://www.foxnews.com/politics/trump-backed-candidates-win-big-easily-retaking-katie-hills-california-seat-and-dominating-in-wisconsin"
"1589942192-91081","https://www.foxnews.com/category/person/donald-trump","Geraldo Rivera: How mainstream media 'sycophants' are revealing their motivations with Flynn coverage","https://www.foxnews.com/media/geraldo-rivera-media-sycophants-going-along-with-preposterous-answers-from-biden-clapper"
"1589942192-91187","https://www.foxnews.com/category/person/donald-trump","Jesse Watters slams Obama's 'corrupt presidency' over Russia investigation: 'This guy's got some nerve'","https://www.foxnews.com/media/jesse-watters-obama-corrupt-presidency-michael-flynn"
"1589942192-91207","https://www.foxnews.com/category/person/donald-trump","Trump claims Dems trying to ‘steal’ California House seat","https://www.foxnews.com/politics/trump-claims-dems-trying-to-steal-california-house-seat"
"1589942192-91133","https://www.foxnews.com/category/person/donald-trump","Who are the Obama-era officials who sought to 'unmask' Michael Flynn?","https://www.foxnews.com/politics/who-are-the-obama-era-officials-who-sought-to-unmask-michael-flynn"
"1589942192-91160","https://www.foxnews.com/category/person/donald-trump","House Dems unveil coronavirus bill estimated to cost $3T, in largest stimulus package yet","https://www.foxnews.com/politics/house-coronavirus-relief-bill-to-reach-3t"
"1589942192-91099","https://www.foxnews.com/category/person/donald-trump","Washington Post's Jennifer Rubin mocked for repeatedly claiming 'the walls are closing in' on Trump","https://www.foxnews.com/media/washington-post-jennifer-rubin-walls-are-closing-in-trump"
"1589942192-91176","https://www.foxnews.com/category/person/donald-trump","Media weren't fooled by Schiff's Russia 'hoax,' they were an 'essential part of it,' says author Lee Smith","https://www.foxnews.com/media/adam-schiff-media-russia-hoax-lee-smith"
"1589942192-91142","https://www.foxnews.com/category/person/donald-trump","Rep. Devin Nunes vows criminal referrals for Robert Mueller's team in latest Russia probe reckoning","https://www.foxnews.com/media/russia-robert-mueller-devin-nunes-criminal-referral"
"1589942192-91109","https://www.foxnews.com/category/person/donald-trump","Trump campaign staffers: The top aides guiding president’s reelection","https://www.foxnews.com/politics/trump-campaign-staffers-the-top-aides-guiding-presidents-re-elect"
"1589942192-90997","https://www.foxnews.com/category/person/donald-trump","Senate Democrats raise concerns over safety of meat plants after Trump DPA order","https://www.foxnews.com/politics/senate-dems-raise-concerns-over-safety-of-meat-plants-after-trump-dpa-order"
"1589942192-91123","https://www.foxnews.com/category/person/donald-trump","Judge Jeanine Pirro says Flynn case judge should be 'embarrassed to put a robe on' after unusual order","https://www.foxnews.com/media/jeanine-pirro-emmet-sullivan-should-be-embarrassed"
"1589942192-91037","https://www.foxnews.com/category/person/donald-trump","Steve Hilton: Technocrat establishment is all for democracy as long as it gives them more power","https://www.foxnews.com/opinion/steve-hilton-technocrat-establishment-is-all-for-democracy-as-long-as-it-gives-them-more-power"
"1589942192-90989","https://www.foxnews.com/category/person/donald-trump","Trump threatens to keep World Health Organization funds frozen","https://video.foxnews.com/v/6157823518001/"
"1589942192-91009","https://www.foxnews.com/category/person/donald-trump","Gutfeld on the media’s lack of self-reflection","https://www.foxnews.com/opinion/gutfeld-on-the-medias-lack-of-self-reflection"
"1589942192-91138","https://www.foxnews.com/category/person/donald-trump","Trump leads in key battlegrounds but Biden has the edge nationally: poll","https://www.foxnews.com/politics/trump-leads-in-key-battlegrounds-but-biden-has-the-edge-nationally-poll"
"1589942192-91004","https://www.foxnews.com/category/person/donald-trump","Trump announces aid for public transit systems in DC, San Francisco, Portland and Seattle","https://www.foxnews.com/politics/trump-announces-aid-for-public-transit-systems-in-dc-san-francisco-and-portland"
"1589942192-90995","https://www.foxnews.com/category/person/donald-trump","Biden campaign official questions whether Trump’s ‘playing with a full deck’","https://www.foxnews.com/politics/biden-campaign-official-questions-whether-trumps-playing-with-a-full-deck"
"1589942192-91072","https://www.foxnews.com/category/person/donald-trump","Golf star Rory McIlroy hits Trump over lack of 'diplomacy' during coronavirus pandemic","https://www.foxnews.com/sports/golf-star-rory-mcilroy-hits-trump-over-lack-of-diplomacy-during-coronavirus-pandem"
"1589942192-91071","https://www.foxnews.com/category/person/donald-trump","McEnany, pressed on Trump's accusations of Obama administration crimes, points to Flynn leaks","https://www.foxnews.com/politics/mcenany-pressed-trumps-accusations-obama-administration-crimes-points-flynn-leaks"
"1589942192-90987","https://www.foxnews.com/category/person/donald-trump","As Trump attacks WHO in a letter, member states remain loyal amid coronavirus pandemic","https://www.foxnews.com/world/trump-attacks-who-letter-member-states-remain-loyal-coronavirus-response"
"1589942192-91070","https://www.foxnews.com/category/person/donald-trump","Biden campaign ramps up, predicts ‘expanded map’ in 2020 showdown","https://www.foxnews.com/politics/biden-campaign-ramps-up-predicts-expanded-map-in-2020-showdown"
"1589942192-91171","https://www.foxnews.com/category/person/donald-trump","Andrew McCarthy: Making Trump a 'one-term' president was Obama's goal","https://www.foxnews.com/media/russia-obama-trump-one-term-president"
"1589942192-91030","https://www.foxnews.com/category/person/donald-trump","RNC expanding Trump reelection field staff to 1,100 in key states","https://www.foxnews.com/politics/rnc-hiring-wave-expanding-trump-re-election-field-staff-to-1100-in-key-states"
"1589942192-90994","https://www.foxnews.com/category/person/donald-trump","Dr. Siegel reacts to Trump taking hydroxychloroquine","https://video.foxnews.com/v/6157812320001/"
"1589942192-91027","https://www.foxnews.com/category/person/donald-trump","Trump defends Pompeo after firing State Department watchdog: 'They're bothered he was having somebody walk his dog?'","https://www.foxnews.com/politics/trump-defends-pompeo-after-firing-state-department-watchdog-theyre-bothered-he-was-having-somebody-walk-his-dog"
"1589942192-91131","https://www.foxnews.com/category/person/donald-trump","Fred Fleitz: List of Flynn 'unmaskers' – here's what happened and what it means","https://www.foxnews.com/opinion/flynn-unmaskers-what-happened-what-means-fred-fleitz"
"1589942192-91122","https://www.foxnews.com/category/person/donald-trump","President Trump to visit Pennsylvania amid battle over state’s coronavirus shutdown policies","https://www.foxnews.com/politics/president-trump-to-visit-pennsylvania-amid-battle-over-states-coronavirus-shutdown-policies"
"1589942192-91136","https://www.foxnews.com/category/person/donald-trump","Rosie O'Donnell explains her support for Joe Biden despite Tara Reade's assault allegations","https://www.foxnews.com/entertainment/rosie-odonnell-explains-support-joe-biden-tara-reades-assault-allegations"
"1589942192-91214","https://www.foxnews.com/category/person/donald-trump","Top Trump donor named postmaster general as President steps up attacks on USPS","https://video.foxnews.com/v/6155632335001/"
"1589942192-91059","https://www.foxnews.com/category/person/donald-trump","Republican who flipped California congressional district: People are 'underestimating' Trump's 'popularity'","https://www.foxnews.com/media/garcia-california-25-trump-popularity"
"1589942192-91073","https://www.foxnews.com/category/person/donald-trump","Adriana Cohen: Apparent seditious anti-Trump conspiracy by Obama officials must be investigated","https://www.foxnews.com/opinion/adriana-cohen-apparent-seditious-anti-trump-conspiracy-by-obama-officials-must-be-investigated"
"1589942192-91204","https://www.foxnews.com/category/person/donald-trump","Chaffetz says new Flynn documents are 'smoking gun': Obama, Biden are 'scared' the truth will come out","https://www.foxnews.com/media/jason-chaffetz-flynn-smoking-gun-obama-biden"
"1589942192-91049","https://www.foxnews.com/category/person/donald-trump","Hemingway: Flynn would have known Russia probe was 'fishy and problematic,' became 'high-priority target'","https://www.foxnews.com/media/hemingway-michael-flynn-susan-rice-russia-investigation"
"1589942192-91164","https://www.foxnews.com/category/person/donald-trump","'View' co-host accuses McConnell of 'egregious lie' about Obama's pandemic preparedness","https://www.foxnews.com/media/sunny-hostin-mcconnell-obama-playbook-pandemic"
"1589942192-91094","https://www.foxnews.com/category/person/donald-trump","Trump's Mar-a-Lago club announces partial reopening after coronavirus closures","https://www.foxnews.com/politics/mar-a-lago-partial-reopening-florida-president-trump-coronavirus"
"1589942192-91079","https://www.foxnews.com/category/person/donald-trump","Chris Wallace: Joe Biden's new response to Tara Reade allegation was 'skillful'","https://www.foxnews.com/media/chris-wallace-biden-new-response-tara-reade-allegation-is-skillful"
"1589942192-91008","https://www.foxnews.com/category/person/donald-trump","Michigan says all voters will be sent absentee ballot applications","https://www.foxnews.com/politics/michigan-says-that-all-voters-will-be-sent-absentee-ballot-applications"
"1589942192-91129","https://www.foxnews.com/category/person/donald-trump","Von Spakovsky & Malcolm: Flynn judge disagrees with own rulings by letting outsiders fight dropping charges","https://www.foxnews.com/opinion/von-spakovsky-malcolm-flynn-judge-disagrees-with-past-rulings-by-letting-outsiders-fight-dropping-charges"
"1589942192-91096","https://www.foxnews.com/category/person/donald-trump","Staff Sgt. Ron Shurer, Medal of Honor recipient who saved lives in Afghanistan, dead at 41 after cancer battle","https://www.foxnews.com/us/medal-of-honor-recipient-afghanistan-has-died-41-cancer"
"1589942192-91135","https://www.foxnews.com/category/person/donald-trump","House Democrats' coronavirus bill earmarks $1 million to study 'disinformation'","https://www.foxnews.com/politics/house-democrats-coronavirus-bill-1-million-study-disinformation"
