web-scraper-order,web-scraper-start-url,link,href
1589875873-485,https://www.foxnews.com/politics,Miami-Dade County mayor weighs in as phase one of their reopening begins,https://video.foxnews.com/v/6157383367001/
1589875873-423,https://www.foxnews.com/politics,Business owners push Congress for coronavirus liability protections,https://video.foxnews.com/v/6157546261001/
1589875873-406,https://www.foxnews.com/politics,Matt Whitaker on whether the CIA spied on Michael Flynn,https://video.foxnews.com/v/6157571087001/
1589875873-430,https://www.foxnews.com/politics,"Geese honking, iPhone ringing: Biden event beset by bloopers",https://www.foxnews.com/politics/biden-event-beset-by-bloopers
1589875873-550,https://www.foxnews.com/politics,Labor Secretary Eugene Scalia on the push to reopen America,https://video.foxnews.com/v/6157137518001/
1589875873-570,https://www.foxnews.com/politics,Lawyer appointed by judge in Flynn case once argued government has 'near absolute power' to drop a case,https://video.foxnews.com/v/6157065902001/
1589875873-520,https://www.foxnews.com/politics,"Former CDC director wants more coronavirus information from public health experts, not politicians",https://www.foxnews.com/politics/former-cdc-director-wants-more-coronavirus-information-from-public-health-experts-not-politicians
1589875873-502,https://www.foxnews.com/politics,Reporter's Notebook: Battle over House Dems' coronavirus aid bill sends these messages,https://www.foxnews.com/politics/democrats-coronavirus-bill-house-messages-pergram
1589875873-536,https://www.foxnews.com/politics,"Sen. Rand Paul pushes to reopen schools, reform 'unmasking' process in wake of Flynn case",https://video.foxnews.com/v/6157172689001/
1589875873-405,https://www.foxnews.com/politics,"Democratic Socialists of America's membership surges amid coronavirus, report says",https://www.foxnews.com/politics/democratic-socialists-of-america-coronavirus-memberships
1589875873-559,https://www.foxnews.com/politics,"Deroy Murdock compares 'sad difference' between Cuomo, DeSantis' efforts to protect seniors from COVID-19",https://video.foxnews.com/v/6157120034001/
1589875873-555,https://www.foxnews.com/politics,Sen. Bill Cassidy on House Democrats' latest coronavirus relief bill,https://video.foxnews.com/v/6157125774001/
1589875873-477,https://www.foxnews.com/politics,Trump says COVID-19 cases are strongly trending downward as he renews push to reopen America,https://video.foxnews.com/v/6157420863001/
1589875873-505,https://www.foxnews.com/politics,President Trump discusses bombshell revelations in Flynn case in exclusive interview with Maria Bartiromo,https://www.foxnews.com/politics/president-trump-discusses-bombshell-revelations-in-flynn-case-in-exclusive-interview-with-maria-bartiromo
1589875873-547,https://www.foxnews.com/politics,Local lawmakers work ensure their communities stay safe as states reopen amid coronavirus crisis,https://video.foxnews.com/v/6157138040001/
1589875873-515,https://www.foxnews.com/politics,HHS Secretary Azar says people going to bars despite coronavirus pandemic is 'part of the freedom we have',https://www.foxnews.com/politics/hhs-sec-azar-says-people-going-to-bars-despite-coronavirus-pandemic-is-part-of-the-freedom-we-have
1589875873-481,https://www.foxnews.com/politics,"Brennan says he’s willing to be interviewed by Durham, has ‘nothing to hide’",https://www.foxnews.com/politics/brennan-says-hes-willing-to-be-interviewed-by-durham-has-nothing-to-hide
1589875873-556,https://www.foxnews.com/politics,Rep. Adam Kinzinger calls Nancy Pelosi's $3 trillion coronavirus relief bill 'disappointing',https://video.foxnews.com/v/6157125280001/
1589875873-531,https://www.foxnews.com/politics,Peter Navarro reacts to Obama ripping 'folks in charge' of COVID-19 response,https://video.foxnews.com/v/6157181911001/
1589875873-432,https://www.foxnews.com/politics,Dr. Nesheiwat says it is 'smart' for Trump to preventatively take hydroxychloroquine,https://video.foxnews.com/v/6157533867001/
1589875873-569,https://www.foxnews.com/politics,House passes $3 trillion coronavirus relief bill,https://video.foxnews.com/v/6157067507001/
1589875873-441,https://www.foxnews.com/politics,Restaurant executives plead with Trump for more flexibility with PPP loans amid coronavirus pandemic,https://www.foxnews.com/politics/restaurant-executives-plead-with-trump-for-more-flexibility-with-ppp-loans-amid-coronavirus-pandemic
1589875873-458,https://www.foxnews.com/politics,Biden considering up to 12 vice president candidates,https://video.foxnews.com/v/6157480774001/
1589875873-437,https://www.foxnews.com/politics,Trump: I'm taking hydroxychloroquine,https://video.foxnews.com/v/6157531953001/
1589875873-442,https://www.foxnews.com/politics,Texas AG Paxton: I'm encouraging as much opening as we can do,https://video.foxnews.com/v/6157519406001/
1589875873-557,https://www.foxnews.com/politics,Rep. Louie Gohmert slams House Democrats' 'ridiculous' $3 trillion 'wish list',https://video.foxnews.com/v/6157124618001/
1589875873-528,https://www.foxnews.com/politics,"Three years since the appointment of Robert Mueller, what have we learned?",https://video.foxnews.com/v/6157220408001/
1589875873-503,https://www.foxnews.com/politics,Pompeo warns China after revealing it 'threatened to interfere' with work of US journalists in Hong Kong,https://www.foxnews.com/politics/pompeo-china-warning-hong-kong-american-journalists
1589875873-545,https://www.foxnews.com/politics,Rep. Matt Cartwright defends House Democrats' $3 trillion coronavirus relief bill,https://video.foxnews.com/v/6157143694001/
1589875873-439,https://www.foxnews.com/politics,Presenting your Senate Power Rankings,https://www.foxnews.com/politics/presenting-your-senate-power-rankings
1589875873-415,https://www.foxnews.com/politics,Former Bernie Sanders adviser issues warning to Biden as Obama-Trump feud reignites,https://video.foxnews.com/v/6157551441001/
1589875873-493,https://www.foxnews.com/politics,"China used air travel to ‘seed’ virus in early stage, top WH official says",https://www.foxnews.com/politics/china-used-air-travel-to-seed-virus-in-early-stage-top-wh-official-says
1589875873-567,https://www.foxnews.com/politics,House passes $3T coronavirus relief -- the most expensive bill in history,https://www.foxnews.com/politics/house-passes-3t-coronavirus-relief-the-most-expensive-bill-in-history
1589875873-511,https://www.foxnews.com/politics,Obama takes thinly veiled swipe at Trump during online commencement address,https://video.foxnews.com/v/6157255590001/
1589875873-552,https://www.foxnews.com/politics,Rep.-elect Mike Garcia on flipping House seat in California special election,https://video.foxnews.com/v/6157133158001/
1589875873-464,https://www.foxnews.com/politics,Azar: There are significant health consequences from being locked down,https://video.foxnews.com/v/6157458816001/
1589875873-554,https://www.foxnews.com/politics,Rep. Kendra Horn on why she voted against her party's $3 trillion coronavirus stimulus bill,https://video.foxnews.com/v/6157130203001/
1589875873-514,https://www.foxnews.com/politics,Trump to press: 'Ask China',https://video.foxnews.com/v/6157249476001/
1589875873-535,https://www.foxnews.com/politics,"Pompeo says China poses real 'risk' to US, in new interview",https://www.foxnews.com/politics/pompeo-warns-china-real-risk
1589875873-408,https://www.foxnews.com/politics,Senate Republicans take major steps toward full-scale probe of FBI misconduct in Trump-Russia investigation,https://www.foxnews.com/politics/senate-crossfire-hurricane-flynn-fbi-misconduct
1589875873-443,https://www.foxnews.com/politics,"Florida’s Demings blasts AG Barr: 'If you are in his circle, then you're above the law and that's just plain wrong'",https://video.foxnews.com/v/6157515035001/
1589875873-497,https://www.foxnews.com/politics,KT McFarland: Pelosi's $3T coronavirus aid bill is 'enslaving us' to China,https://video.foxnews.com/v/6157306117001/
1589875873-487,https://www.foxnews.com/politics,"NYT reporter rips Trump, Pence",https://video.foxnews.com/v/6157379325001/
1589875873-492,https://www.foxnews.com/politics,New York admits knowingly undercounting COVID-19 nursing home deaths after quietly changing reporting rules,https://video.foxnews.com/v/6157360633001/
