web-scraper-order,web-scraper-start-url,link,href
1589871147-506,https://www.newstatesman.com/international/ideas,The rise of the bio-surveillance state,https://www.newstatesman.com/science-tech/2020/03/rise-bio-surveillance-state
1589871147-514,https://www.newstatesman.com/international/ideas,The seven early lessons of the global coronavirus crisis,https://www.newstatesman.com/world/europe/2020/03/coronavirus-early-lessons-global-crisis
1589871147-505,https://www.newstatesman.com/international/ideas,The Great Coming Apart – and the chance to build something better,https://www.newstatesman.com/world/2020/03/great-coming-apart-and-chance-build-something-better
1589871147-512,https://www.newstatesman.com/international/ideas,Governments have shut down supply and destroyed demand: the past is no guide to this crisis,https://www.newstatesman.com/world/2020/03/governments-have-shut-down-supply-and-destroyed-demand-past-no-guide-crisis
1589871147-496,https://www.newstatesman.com/international/ideas,How the coronavirus crisis has renewed the case for the welfare state,https://www.newstatesman.com/politics/welfare/2020/04/how-coronavirus-crisis-has-renewed-case-welfare-state
1589871147-509,https://www.newstatesman.com/international/ideas,The state transformed: The coronavirus crisis has buttressed Italy’s democratic state – for now,https://www.newstatesman.com/world/europe/2020/03/state-transformed-coronavirus-crisis-has-buttressed-italy-s-democratic-state
1589871147-515,https://www.newstatesman.com/international/ideas,How populist leaders exploit pandemics,https://www.newstatesman.com/world/2020/03/how-populist-leaders-exploit-pandemics
1589871147-500,https://www.newstatesman.com/international/ideas,How the coronavirus crisis echoes Europe’s 19th-century cholera pandemic,https://www.newstatesman.com/science-tech/coronavirus/2020/04/how-coronavirus-crisis-echoes-europe-s-19th-century-cholera
1589871147-508,https://www.newstatesman.com/international/ideas,"The state transformed: For all the talk of solidarity, the US government is falling short",https://www.newstatesman.com/world/north-america/2020/03/state-transformed-all-talk-solidarity-us-government-falling-short
1589871147-513,https://www.newstatesman.com/international/ideas,How coronavirus could destroy the Western multilateral order,https://www.newstatesman.com/world/north-america/2020/03/how-coronavirus-could-destroy-western-multilateral-order
1589871147-520,https://www.newstatesman.com/international/ideas,"To defeat far-right terrorism, we must counter the ideas behind it",https://www.newstatesman.com/world/europe/2020/02/defeat-far-right-terrorism-we-must-counter-ideas-behind-it
1589871147-507,https://www.newstatesman.com/international/ideas,The state transformed,https://www.newstatesman.com/science-tech/2020/03/state-transformed
1589871147-499,https://www.newstatesman.com/international/ideas,Europe needs a coronabonds coalition of the willing to prevent economic disaster,https://www.newstatesman.com/world/europe/2020/04/europe-needs-coronabonds-coalition-willing-prevent-economic-disaster
1589871147-497,https://www.newstatesman.com/international/ideas,The new intellectuals of the American right,https://www.newstatesman.com/world/north-america/2020/04/new-intellectuals-american-right
1589871147-501,https://www.newstatesman.com/international/ideas,Why this crisis is a turning point in history,https://www.newstatesman.com/international/2020/04/why-crisis-turning-point-history
1589871147-494,https://www.newstatesman.com/international/ideas,Why pandemics create conspiracy theories,https://www.newstatesman.com/science-tech/coronavirus/2020/04/why-pandemics-create-conspiracy-theories
