web-scraper-order,web-scraper-start-url,link,href
1589870820-454,https://www.newstatesman.com/international/geopolitics,Iran and Saudi Arabia are locked in a Cold War-style stand-off – but the situation is even more volatile,https://www.newstatesman.com/world/2020/01/iran-and-saudi-arabia-are-locked-cold-war-style-stand-situation-even-more-volatile
1589870820-413,https://www.newstatesman.com/international/geopolitics,The global race for a coronavirus vaccine exposes a new reality: this is now a G-Minus Two world,https://www.newstatesman.com/world/north-america/2020/05/global-race-coronavirus-vaccine-exposes-new-reality-now-g-minus-two
1589870820-424,https://www.newstatesman.com/international/geopolitics,Why this crisis is a turning point in history,https://www.newstatesman.com/international/2020/04/why-crisis-turning-point-history
1589870820-423,https://www.newstatesman.com/international/geopolitics,Letter from Afghanistan: “We have just defeated a superpower”,https://www.newstatesman.com/world/middle-east/2020/04/letter-afghanistan-we-have-just-defeated-superpower
1589870820-460,https://www.newstatesman.com/international/geopolitics,Robert Mugabe: How Zimbabwe’s liberator became its oppressor,https://www.newstatesman.com/world/africa/2019/09/robert-mugabe-how-zimbabwe-s-liberator-became-its-oppressor
1589870820-448,https://www.newstatesman.com/international/geopolitics,Trump is just another American president dealing with an old geopolitical nightmare in the Gulf,https://www.newstatesman.com/world/middle-east/2020/01/trump-just-another-american-president-dealing-old-geopolitical-nightmare
1589870820-411,https://www.newstatesman.com/international/geopolitics,Why the Taiwanese are thinking more about their identity,https://www.newstatesman.com/international/places/2020/05/taiwanese-independence-taiwan-china-beijing-identity-hong-kong
1589870820-443,https://www.newstatesman.com/international/geopolitics,Between toughness and talking: 75 years since Yalta,https://www.newstatesman.com/world/2020/01/between-toughness-and-talking-75-years-yalta
1589870820-425,https://www.newstatesman.com/international/geopolitics,China’s new Silk Road,https://www.newstatesman.com/culture/observations/2020/04/china-s-new-silk-road
1589870820-447,https://www.newstatesman.com/international/geopolitics,Canada’s quest for justice over the Iran air crash is a geopolitical mire,https://www.newstatesman.com/world/north-america/2020/01/canada-s-quest-justice-over-iran-air-crash-geopolitical-mire
1589870820-458,https://www.newstatesman.com/international/geopolitics,What the Chinese are doing to the Uighurs in Xinjiang could become a model for elsewhere,https://www.newstatesman.com/world/2019/11/what-chinese-are-doing-uighurs-xinjiang-could-become-model-elsewhere
1589870820-452,https://www.newstatesman.com/international/geopolitics,Death of a warlord,https://www.newstatesman.com/world/middle-east/2020/01/death-warlord
1589870820-450,https://www.newstatesman.com/international/geopolitics,Electoral triumph for Taiwan’s China-sceptic Tsai Ing-wen poses big questions for Beijing,https://www.newstatesman.com/world/asia/2020/01/electoral-triumph-taiwan-s-china-sceptic-tsai-ing-wen-poses-big-questions-beijing
1589870820-433,https://www.newstatesman.com/international/geopolitics,Trump is not a president doing his best with a bad system. He is making a bad system worse,https://www.newstatesman.com/world/north-america/2020/03/trump-not-president-doing-his-best-bad-system-he-making-bad-system-worse
1589870820-432,https://www.newstatesman.com/international/geopolitics,Trump's travel ban is indicative of a dangerous lack of ideas,https://www.newstatesman.com/coronavirus-trump-us-travel-ban-dangerous-lack-ideas
1589870820-446,https://www.newstatesman.com/international/geopolitics,China is the elephant in the room of Boris Johnson's Africa strategy,https://www.newstatesman.com/politics/economy/2020/01/china-elephant-room-boris-johnsons-africa-strategy
1589870820-442,https://www.newstatesman.com/international/geopolitics,How the EU can survive Brexit,https://www.newstatesman.com/world/europe/2020/02/how-eu-can-survive-brexit
1589870820-451,https://www.newstatesman.com/international/geopolitics,Spain’s new government could play an outsized European role,https://www.newstatesman.com/world/europe/2020/01/spain-s-new-government-could-play-outsized-european-role
1589870820-417,https://www.newstatesman.com/international/geopolitics,The unanswered questions surrounding Kim Jong-un,https://www.newstatesman.com/world/asia/2020/04/unanswered-questions-surrounding-kim-jong-un
1589870820-441,https://www.newstatesman.com/international/geopolitics,The Palestinian cause is perilously close to becoming a lost one,https://www.newstatesman.com/world/middle-east/2020/02/palestinian-cause-perilously-close-becoming-lost-one
1589870820-427,https://www.newstatesman.com/international/geopolitics,The Great Coming Apart – and the chance to build something better,https://www.newstatesman.com/world/2020/03/great-coming-apart-and-chance-build-something-better
1589870820-434,https://www.newstatesman.com/international/geopolitics,Why did the World Health Organisation wait so long to declare coronavirus a pandemic?,https://www.newstatesman.com/science-tech/2020/03/why-did-world-health-organisation-wait-so-long-declare-coronavirus-pandemic
1589870820-428,https://www.newstatesman.com/international/geopolitics,How coronavirus could destroy the Western multilateral order,https://www.newstatesman.com/world/north-america/2020/03/how-coronavirus-could-destroy-western-multilateral-order
1589870820-431,https://www.newstatesman.com/international/geopolitics,The crisis of the liberal zombie order,https://www.newstatesman.com/science-tech/coronavirus/2020/03/crisis-liberal-zombie-order
1589870820-419,https://www.newstatesman.com/international/geopolitics,Across the Great Divide: Is Covid-19 driving China and the US further apart?,https://www.newstatesman.com/world/north-america/2020/04/across-great-divide-covid-19-driving-china-and-us-further-apart
1589870820-418,https://www.newstatesman.com/international/geopolitics,Coronavirus hits the Global South,https://www.newstatesman.com/world/south-america/2020/04/coronavirus-hits-global-south
1589870820-459,https://www.newstatesman.com/international/geopolitics,"In the age of Trump and Putin, Xi and Macron, spheres of influence are making a comeback",https://www.newstatesman.com/world/2019/11/age-trump-and-putin-xi-and-macron-spheres-influence-are-making-comeback
1589870820-412,https://www.newstatesman.com/international/geopolitics,How coronavirus is exposing authoritarianism’s failings in the former Soviet Union,https://www.newstatesman.com/world/europe/2020/05/coronavirus-russia-former-soviet-union-dictatorships-eastern-europe
1589870820-430,https://www.newstatesman.com/international/geopolitics,The seven early lessons of the global coronavirus crisis,https://www.newstatesman.com/world/europe/2020/03/coronavirus-early-lessons-global-crisis
1589870820-444,https://www.newstatesman.com/international/geopolitics,China’s slow response to coronavirus has shown the weakness of its centralised model,https://www.newstatesman.com/world/asia/2020/01/china-s-slow-response-coronavirus-has-shown-weakness-its-centralised-model
1589870820-439,https://www.newstatesman.com/international/geopolitics,Assad’s slaughter in Syria has made a mockery of the West,https://www.newstatesman.com/world/middle-east/2020/02/assad-s-slaughter-syria-has-made-mockery-west
1589870820-414,https://www.newstatesman.com/international/geopolitics,The rise of the Indo-Pacific,https://www.newstatesman.com/world/asia/2020/05/rise-indo-pacific
1589870820-453,https://www.newstatesman.com/international/geopolitics,An atrocity remembered,https://www.newstatesman.com/international/2020/01/atrocity-remembered
1589870820-426,https://www.newstatesman.com/international/geopolitics,The world had the tools to prevent the coronavirus pandemic – why weren’t they used?,https://www.newstatesman.com/world/north-america/2020/03/world-had-tools-prevent-coronavirus-pandemic-why-weren-t-they-used
1589870820-436,https://www.newstatesman.com/international/geopolitics,"As the Syrian refugee crisis returns, the EU appears heartless",https://www.newstatesman.com/world/middle-east/2020/03/syrian-refugee-crisis-returns-eu-appears-heartless
1589870820-437,https://www.newstatesman.com/international/geopolitics,"Far from making nations more insular, the coronavirus outbreak will transform globalisation",https://www.newstatesman.com/science-tech/coronavirus/2020/03/far-making-nations-more-insular-coronavirus-outbreak-will-transform
1589870820-422,https://www.newstatesman.com/international/geopolitics,How the World Health Organisation’s failure to challenge China over coronavirus cost us dearly,https://www.newstatesman.com/world/asia/2020/04/how-world-health-organisation-s-failure-challenge-china-over-coronavirus-cost-us
1589870820-415,https://www.newstatesman.com/international/geopolitics,The euro-gloomsters are wrong to use every crisis to predict the imminent collapse of the EU,https://www.newstatesman.com/international/2020/04/euro-gloomsters-are-wrong-use-every-crisis-predict-imminent-collapse-eu
1589870820-438,https://www.newstatesman.com/international/geopolitics,Hosni Mubarak’s death changes little for Egypt,https://www.newstatesman.com/world/africa/2020/02/hosni-mubarak-s-death-changes-little-egypt
1589870820-456,https://www.newstatesman.com/international/geopolitics,"After 20 years of power, are the tides turning against Vladimir Putin?",https://www.newstatesman.com/world/2019/12/after-20-years-power-are-tides-turning-against-vladimir-putin
1589870820-457,https://www.newstatesman.com/international/geopolitics,"In the heart of Baghdad, a new vision for Iraq is emerging",https://www.newstatesman.com/world/2019/11/heart-baghdad-new-vision-iraq-emerging
1589870820-429,https://www.newstatesman.com/international/geopolitics,How America built the best pandemic response system in history – and threw it away,https://www.newstatesman.com/world/north-america/2020/03/america-pandemic-response-swine-flu-avian
1589870820-416,https://www.newstatesman.com/international/geopolitics,How $20 oil will change geopolitics,https://www.newstatesman.com/world/middle-east/2020/04/how-20-oil-will-change-geopolitics
1589870820-435,https://www.newstatesman.com/international/geopolitics,The rise of disaster nationalism: why the authoritarian right is resurgent,https://www.newstatesman.com/culture/observations/2020/03/rise-disaster-nationalism-why-authoritarian-right-resurgent
1589870820-455,https://www.newstatesman.com/international/geopolitics,"Qasem Soleimani brutalised the Middle East, but the bloodshed is far from over",https://www.newstatesman.com/world/middle-east/2020/01/qasem-soleimani-brutalised-middle-east-bloodshed-far-over
1589870820-440,https://www.newstatesman.com/international/geopolitics,Leader: The forgotten Syrian tragedy,https://www.newstatesman.com/world/2020/02/leader-forgotten-syrian-tragedy
1589870820-445,https://www.newstatesman.com/international/geopolitics,The issue ministers are avoiding when it comes to Huawei,https://www.newstatesman.com/science-tech/2020/01/issue-ministers-are-avoiding-when-it-comes-huawei
1589870820-421,https://www.newstatesman.com/international/geopolitics,"On China and the World Health Organisation, Donald Trump wants to have it both ways",https://www.newstatesman.com/world/north-america/2020/04/china-and-world-health-organisation-donald-trump-wants-have-it-both-ways
1589870820-449,https://www.newstatesman.com/international/geopolitics,"Jeremy Bowen’s Diary: Hope and fear in Baghdad, the aftermath of the Soleimani killing, and history’s lessons",https://www.newstatesman.com/world/middle-east/2020/01/jeremy-bowen-s-diary-hope-and-fear-baghdad-aftermath-soleimani-killing-and
