web-scraper-order,web-scraper-start-url,link,link-href
"1589898082-8209","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=89","ACLU leads charge against ‘unprecedented restrictions’ proposed for covering Trump impeachment trial","https://www.washingtontimes.com/news/2020/jan/18/aclu-leads-charge-against-unprecedented-restrictio/"
"1589898252-9101","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=44","US ban on European visitors escalates travel industry pain","https://www.washingtontimes.com/news/2020/mar/12/trump-ban-on-travel-from-europe-escalates-pain-for/"
"1589898174-8701","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=64","Ex-FBI official McCabe in a ‘really perilous condition’ says CNN legal analyst","https://www.washingtontimes.com/news/2020/feb/14/andrew-mccabe-really-perilous-condition-says-cnn-l/"
"1589898342-9603","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=19","Editorial Roundup:","https://www.washingtontimes.com/news/2020/apr/20/editorial-roundup/"
"1589898124-8467","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=76","U.S., North Korea loom large as South Koreans face midterm vote","https://www.washingtontimes.com/news/2020/feb/2/us-north-korea-loom-large-as-south-koreans-face-mi/"
"1589898321-9473","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=25","Trump cuts off U.S. funding to WHO, pending review","https://www.washingtontimes.com/news/2020/apr/14/donald-trump-cuts-who-funding-pending-review/"
"1589898244-9062","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=46","Trump spurns Sessions, backs Tuberville for Alabama Senate","https://www.washingtontimes.com/news/2020/mar/10/trump-spurns-sessions-backs-tuberville-for-alabama/"
"1589898308-9427","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=28","Editorial Roundup: US","https://www.washingtontimes.com/news/2020/apr/8/editorial-roundup-us/"
"1589898358-9693","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=14","Trump to deploy ‘full power’ of federal government to help states with testing","https://www.washingtontimes.com/news/2020/apr/27/donald-trump-federal-government-help-states-corona/"
"1589898055-8014","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=98","Trump address a cliffhanger for a TV-centric presidency","https://www.washingtontimes.com/news/2020/jan/8/trump-address-a-cliffhanger-for-a-tv-centric-presi/"
"1589898134-8508","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=73","Arizona’s Sinema to vote to convict Trump","https://www.washingtontimes.com/news/2020/feb/5/sinema-vote-convict-president-trump/"
"1589898141-8562","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=71","Venezuela rounds up US oil executives as Guaidó visits DC","https://www.washingtontimes.com/news/2020/feb/6/venezuela-rounds-up-us-oil-executives-as-guaido-vi/"
"1589898127-8472","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=75","AP FACT CHECK: Trump’s exaggerated ‘great American comeback’","https://www.washingtontimes.com/news/2020/feb/4/ap-fact-check-trumps-claims-in-his-state-of-union-/"
"1589898237-9012","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=48","Trump surveys tornado damage, marvels at ‘tremendous heart’","https://www.washingtontimes.com/news/2020/mar/6/trump-surveys-tornado-damage-marvels-at-tremendous/"
"1589898219-8919","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=53","Trump formally taps Kenneth Braithwaite to be next Navy secretary","https://www.washingtontimes.com/news/2020/feb/28/trump-formally-taps-kenneth-braithwaite-be-next-na/"
"1589898348-9639","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=17","Trump to hold July 4th celebration on National Mall again","https://www.washingtontimes.com/news/2020/apr/22/trump-hold-july-4th-celebration-national-mall-agai/"
"1589898124-8458","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=76","Opera singer in Mar-a-Lago crash mentally ill, off meds, attorney says","https://www.washingtontimes.com/news/2020/feb/3/hannah-roemhild-opera-singer-mar-lago-crash-mental/"
"1589898259-9142","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=42","Gov’t virus testing will prioritize medical staff, elderly","https://www.washingtontimes.com/news/2020/mar/15/govt-virus-testing-will-prioritize-medical-staff-e/"
"1589898339-9581","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=20","Ralph Northam defends gun control push: ‘Virginians stood up … They said enough is enough’","https://www.washingtontimes.com/news/2020/apr/19/ralph-northam-virginia-governor-defends-gun-contro/"
"1589898157-8622","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=68","Trump to Utah governor: We don’t want Romney","https://www.washingtontimes.com/news/2020/feb/10/donald-trump-gary-herbert-utah-governor-we-dont-wa/"
"1589898230-8986","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=50","Trump allies in Americas block Africans’ path to US asylum","https://www.washingtontimes.com/news/2020/mar/3/trump-allies-in-americas-block-africans-path-to-us/"
"1589898342-9607","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=19","Pinning the quack tail on The Donald","https://www.washingtontimes.com/news/2020/apr/20/editorial-democrats-recriminations-wont-cure-natio/"
"1589898304-9400","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=29","West Virginia shuts down Trump-Biden election bets after one hour","https://www.washingtontimes.com/news/2020/apr/8/west-virginia-sports-books-shut-down-trump-biden-e/"
"1589898101-8348","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=82","Alan Dershowitz: House managers’ case falls short of impeachment standard even if true","https://www.washingtontimes.com/news/2020/jan/26/alan-dershowitz-house-managers-impeachment-case-fa/"
"1589898051-7990","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=99","Senate Republicans have votes to start impeachment trial without calling witnesses immediately","https://www.washingtontimes.com/news/2020/jan/7/mitch-mcconnell-holds-gop-unity-has-votes-set-impe/"
"1589898153-8597","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=69","Never Trumpers push for centrist alternative in Democratic presidential primary","https://www.washingtontimes.com/news/2020/feb/10/never-trumpers-push-for-centrist-alternative-in-de/"
"1589898049-7988","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=100","Advancing the U.S.-Greece relationship","https://www.washingtontimes.com/news/2020/jan/6/advancing-the-us-greece-relationship/"
"1589898207-8856","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=56","US official: Disaster recovery pace in Puerto Rico sped up","https://www.washingtontimes.com/news/2020/feb/25/us-official-disaster-recovery-pace-in-puerto-rico-/"
"1589898085-8213","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=88","Team Trump mocks Democrats’ impeachment case: ‘Difficult to sit there and listen’","https://www.washingtontimes.com/news/2020/jan/21/pat-cipollone-mocks-adam-schiff-democrats-impeachm/"
"1589898234-8997","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=49","Hillary Clinton: Trump ‘an authoritarian in training,’ has done ‘nothing’ right","https://www.washingtontimes.com/news/2020/mar/4/hillary-clinton-trump-an-authoritarian-in-training/"
"1589898076-8166","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=91","Senate impeachment trial casts cloud over State of the Union","https://www.washingtontimes.com/news/2020/jan/15/senate-impeachment-trial-casts-cloud-over-state-un/"
"1589898049-7989","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=100","Broadcast news suggests Trump triggers more ‘outrage’ than criminal activity: Report","https://www.washingtontimes.com/news/2020/jan/6/broadcast-news-suggests-trump-triggers-more-outrag/"
"1589898234-9000","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=49","Mike Bloomberg drops out of Democratic presidential race, endorses Joe Biden","https://www.washingtontimes.com/news/2020/mar/4/mike-bloomberg-ends-presidential-campaign/"
"1589898375-9797","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=9","Intel nominee faces skeptics, vows to resist Trump pressure","https://www.washingtontimes.com/news/2020/may/5/senate-to-vet-new-intelligence-chief-amid-shakeup-/"
"1589898401-9966","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=1","House Chairman Eliot Engel says firing of State Dept. IG may be linked to Saudi arms sale","https://www.washingtontimes.com/news/2020/may/18/eliot-engel-says-firing-state-department-ig-may-be/"
"1589898184-8753","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=61","Trump praises Martha McSally, Doug Ducey as GOP ‘warriors’ to help keep Arizona red at rally","https://www.washingtontimes.com/news/2020/feb/19/trump-elevates-martha-mcsally-doug-ducey-gop-warri/"
"1589898308-9421","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=28","Feds loosen virus rules to let essential workers return","https://www.washingtontimes.com/news/2020/apr/9/feds-loosen-virus-rules-to-let-essential-workers-r/"
"1589898207-8863","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=56","Howard Stern: Trump is a ‘huge’ fan of Bloomberg","https://www.washingtontimes.com/news/2020/feb/25/howard-stern-donald-trump-is-a-huge-fan-of-michael/"
"1589898385-9867","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=6","White House: US planning to ship 8,000 ventilators abroad","https://www.washingtontimes.com/news/2020/may/8/white-house-us-planning-to-ship-8000-ventilators-a/"
"1589898304-9407","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=29","John Lewis, once a Trump target, lines up behind Joe Biden","https://www.washingtontimes.com/news/2020/apr/7/john-lewis-once-a-trump-target-lines-up-behind-joe/"
"1589898249-9078","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=45","From handshakes to kissing babies, virus upends campaigning","https://www.washingtontimes.com/news/2020/mar/11/from-handshakes-to-kissing-babies-virus-upends-cam/"
"1589898342-9597","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=19","U.S. preparing ‘substantial’ aid package to help Yemen in coronavirus fight","https://www.washingtontimes.com/news/2020/apr/21/us-preparing-substantial-aid-package-help-yemen-co/"
"1589898085-8212","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=88","Bloomberg calls for Trump’s removal in new impeachment ad","https://www.washingtontimes.com/news/2020/jan/21/bloomberg-calls-for-trumps-removal-in-new-impeachm/"
"1589898327-9526","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=23","Trade guru Navarro throws elbows for Trump on virus supplies","https://www.washingtontimes.com/news/2020/apr/15/trade-guru-navarro-throws-elbows-for-trump-on-viru/"
"1589898131-8503","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=74","AOC to skip State of the Union in protest of Trump’s ‘lawless conduct’","https://www.washingtontimes.com/news/2020/feb/4/alexandria-ocasio-cortez-skip-state-union-protest-/"
"1589898127-8485","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=75","Trump wins Iowa GOP caucuses","https://www.washingtontimes.com/news/2020/feb/3/donald-trump-wins-iowa-gop-caucuses/"
"1589898362-9718","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=13","White House still eyeing second round of direct payments in new legislation, Trump aide says","https://www.washingtontimes.com/news/2020/apr/28/white-house-still-eyeing-second-round-direct-payme/"
"1589898198-8822","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=58","Trump tries new approach for $1 trillion infrastructure plan","https://www.washingtontimes.com/news/2020/feb/21/trump-tries-new-approach-for-1-trillion-infrastruc/"
"1589898082-8205","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=89","House Democrats: Trump must be removed to protect 2020 election","https://www.washingtontimes.com/news/2020/jan/18/house-democrats-say-trump-must-be-removed-protect-/"
"1589898241-9037","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=47","‘Moderate’ Joe Biden a myth, no different from Bernie Sanders, Trump campaign says","https://www.washingtontimes.com/news/2020/mar/8/moderate-joe-biden-myth-no-different-bernie-sander/"
"1589898312-9437","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=27","Mnuchin properly followed rules when he refused to release Trump’s tax returns to Congress: IG","https://www.washingtontimes.com/news/2020/apr/10/mnuchin-properly-followed-rules-when-he-refused-re/"
"1589898065-8089","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=95","Trump hits Iran with new sanctions","https://www.washingtontimes.com/news/2020/jan/10/donald-trump-hits-iran-new-sanctions/"
"1589898065-8072","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=95","Trump goes out of his way to take a bow, again","https://www.washingtontimes.com/news/2020/jan/11/trump-goes-out-of-his-way-to-take-a-bow-again/"
"1589898181-8742","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=62","Woman who got pardon push from Kardashian West helps friend","https://www.washingtontimes.com/news/2020/feb/18/woman-granted-clemency-got-support-from-another-ex/"
"1589898134-8512","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=73","Defense industry ‘report card’ finds that U.S. lags on cybersecurity","https://www.washingtontimes.com/news/2020/feb/5/defense-industry-report-card-finds-that-us-lags-on/"
"1589898348-9636","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=17","Biden presses Congress to fund voting by mail in time for November election","https://www.washingtontimes.com/news/2020/apr/23/joe-biden-presses-voting-mail-funding-congress/"
"1589898119-8429","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=77","‘They paid money to walk out’: Southern rock band takes on Trump, guns","https://www.washingtontimes.com/news/2020/feb/2/drive-truckers-take-trump-guns-new-album-unravelin/"
"1589898076-8169","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=91","Judge halts Trump’s order allowing states to block refugees","https://www.washingtontimes.com/news/2020/jan/15/judge-agrees-to-block-trump-order-on-refugee-reset/"
"1589898291-9321","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=33","Trump, 3M clash over order to produce more face masks for US","https://www.washingtontimes.com/news/2020/apr/3/3m-fires-back-at-trump-over-order-to-produce-more-/"
"1589898262-9154","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=41","Trump eyes shutting border to illegal immigration amid outbreak","https://www.washingtontimes.com/news/2020/mar/17/donald-trump-eyes-shutting-border-illegal-immigrat/"
"1589898399-9931","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=2","Senators want details on Trump’s secret powers","https://www.washingtontimes.com/news/2020/may/17/donald-trump-emergency-powers-details-sought-senat/"
"1589898119-8445","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=77","CNN analyst ripped for saying Trump’s coronavirus task force is too white","https://www.washingtontimes.com/news/2020/jan/31/brandon-tensley-cnn-analyst-ripped-for-saying-trum/"
"1589898365-9743","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=12","America First meets global pandemic, testing Trump worldview","https://www.washingtontimes.com/news/2020/apr/29/america-first-meets-global-pandemic-testing-trump-/"
"1589898301-9381","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=30","Kentucky rep seeks to shore up support from Trump backers","https://www.washingtontimes.com/news/2020/apr/6/kentucky-rep-seeks-to-shore-up-support-from-trump-/"
"1589898395-9909","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=3","FDA questions accuracy of coronavirus test used by White House, others","https://www.washingtontimes.com/news/2020/may/14/white-house-coronavirus-test-accuracy-questioned-f/"
"1589898134-8514","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=73","When the state is a union divided","https://www.washingtontimes.com/news/2020/feb/5/editorial-trumps-adversaries-are-obliged-to-put-am/"
"1589898336-9553","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=21","Trump adviser compares coronavirus protesters to civil rights icon Rosa Parks","https://www.washingtontimes.com/news/2020/apr/18/stephen-moore-trump-adviser-compares-coronavirus-p/"
"1589898301-9378","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=30","Trump shakes up press team as White House deals with virus","https://www.washingtontimes.com/news/2020/apr/7/grisham-out-as-press-secretary-will-head-first-lad/"
"1589898268-9202","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=39","Trump campaign issues cease-and-desist to TV stations over ad quoting president on coronavirus","https://www.washingtontimes.com/news/2020/mar/26/trump-campaign-threatens-legal-action-over-tv-ad-h/"
"1589898085-8227","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=88","Trump’s legal team says in legal brief he did ‘nothing wrong’","https://www.washingtontimes.com/news/2020/jan/20/trumps-legal-team-says-legal-brief-he-did-nothing-/"
"1589898088-8245","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=87","Tucker Carlson predicts ‘many thousands’ of past Trump voters could support Bernie Sanders in 2020","https://www.washingtontimes.com/news/2020/jan/21/tucker-carlson-predicts-many-thousands-of-past-tru/"
"1589898055-8020","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=98","Trump says Iran ‘standing down’ from further strikes, will impose ‘punishing’ sanctions","https://www.washingtontimes.com/news/2020/jan/8/trump-says-iran-standing-down-from-further-strikes/"
"1589898234-9004","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=49","President Trump’s re-election: Strong and getting stronger as Democrats stumble","https://www.washingtontimes.com/news/2020/mar/4/president-trumps-re-election-chances-strong-and-ge/"
"1589898119-8437","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=77","Indictment, a plan and a pardon: Israeli PM has a wild week","https://www.washingtontimes.com/news/2020/jan/31/indictment-a-plan-and-a-pardon-israeli-pm-has-a-wi/"
"1589898259-9144","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=42","White House says Trump won’t get tested for coronavirus","https://www.washingtontimes.com/news/2020/mar/14/white-house-says-trump-wont-get-tested-coronavirus/"
"1589898184-8760","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=61","Democrats diverge on outreach to anti-abortion swing voters","https://www.washingtontimes.com/news/2020/feb/18/democrats-diverge-on-outreach-to-anti-abortion-swi/"
"1589898375-9800","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=9","D.C.’s supply of resources to deal with coronavirus pandemic ‘unprecedented’","https://www.washingtontimes.com/news/2020/may/5/dcs-supply-of-resources-to-deal-with-coronavirus-p/"
"1589898153-8605","https://www.washingtontimes.com/topics/donald-trump/23281/t/stories/?page=69","Deep divide: Democratic primary gets nastier after Iowa chaos ups ante for New Hampshire win","https://www.washingtontimes.com/news/2020/feb/10/democratic-new-hampshire-primary-gets-nastier-afte/"
