web-scraper-order,web-scraper-start-url,link,link-href
"1589950912-7895","https://www.cbsnews.com/search/?q=china&p=90","","https://www.cbsnews.com/news/impeachment-trump-he-warns-republicans-will-remember-this-impeachment-process-when-a-democrat-is-president/"
"1589950880-7801","https://www.cbsnews.com/search/?q=china&p=99","","https://www.cbsnews.com/news/trump-impeachment-inquiry-republicans-release-strategy-memo-outlining-response-to-the-impeachment-inquiry/"
"1589950781-7541","https://www.cbsnews.com/search/?q=china&p=125","","https://www.cbsnews.com/news/jurassic-world-cast-laura-dern-sam-neill-jeff-goldblum-reprise-original-roles-in-jurassic-world-3-jurassic-park-movie/"
"1589950730-7388","https://www.cbsnews.com/search/?q=china&p=141","","https://www.cbsnews.com/video/facebook-and-twitter-suspend-accounts-linked-to-chinese-propaganda-campaign/"
"1589950945-7977","https://www.cbsnews.com/search/?q=china&p=82","","https://www.cbsnews.com/news/jet-fuel-dump-california-schools-delta-air-lines-flight-89-emergency-landing-lax-today-2020-01-14-live-updates/"
"1589950707-7319","https://www.cbsnews.com/search/?q=china&p=148","","https://www.cbsnews.com/news/trumps-u-s-china-tariffs-weak-retailers-may-cut-more-jobs-and-close-more-stores-experts-say/"
"1589951124-8566","https://www.cbsnews.com/search/?q=china&p=23","","https://www.cbsnews.com/news/coronavirus-containment-dr-jon-lapook-60-minutes-2020-03-08/"
"1589950720-7351","https://www.cbsnews.com/search/?q=china&p=144","","https://www.cbsnews.com/video/white-house-trade-official-peter-navarro-downplays-consumer-impact-of-chinese-tariffs/"
"1589950807-7618","https://www.cbsnews.com/search/?q=china&p=118","","https://www.cbsnews.com/news/iowa-voters-say-they-want-to-hear-more-from-democrats-on-foreign-policy/"
"1589950803-7610","https://www.cbsnews.com/search/?q=china&p=119","","https://www.cbsnews.com/news/earth-just-experienced-its-hottest-september-ever-recorded-2019-10-04/"
"1589950627-7081","https://www.cbsnews.com/search/?q=china&p=171","","https://www.cbsnews.com/news/china-earthquake-sichuan-quake-today-2019-06-17-live-updates/"
"1589950528-6850","https://www.cbsnews.com/search/?q=china&p=195","","https://www.cbsnews.com/news/uber-stock-price-down-on-first-day-as-public-company/"
"1589951098-8486","https://www.cbsnews.com/search/?q=china&p=31","","https://www.cbsnews.com/news/trump-targets-immigrants-visas-hes-long-sought-to-limit-in-new-coronavirus-proclamation/"
"1589950717-7350","https://www.cbsnews.com/search/?q=china&p=145","","https://www.cbsnews.com/news/inverted-yield-curve-recession-worries-the-yield-curve-inverted-in-a-classic-recession-signal/"
"1589950867-7772","https://www.cbsnews.com/search/?q=china&p=102","","https://www.cbsnews.com/news/2020-presidential-election-homeland-security-official-says-russian-foreign-interference-threat-remains/"
"1589950925-7925","https://www.cbsnews.com/search/?q=china&p=87","","https://www.cbsnews.com/news/youngstown-ohio-manufacturing-hub-for-electric-vehicles-and-autonomous-cars/"
"1589951015-8210","https://www.cbsnews.com/search/?q=china&p=59","","https://www.cbsnews.com/news/coronavirus-largest-outbreaks-outside-china-south-korea-diamond-princess-italy-japan-iran-singapore-today-2020-02-26/"
"1589951021-8225","https://www.cbsnews.com/search/?q=china&p=57","","https://www.cbsnews.com/news/super-tuesday-stock-market-up-joe-biden/"
"1589950785-7557","https://www.cbsnews.com/search/?q=china&p=124","","https://www.cbsnews.com/news/hong-kong-protest-today-rally-to-commemorate-2014-umbrella-movement/"
"1589951131-8589","https://www.cbsnews.com/search/?q=china&p=21","","https://www.cbsnews.com/news/trump-administration-coronavirus-vaccine-researcher-covid-19-cure-60-minutes/"
"1589951107-8515","https://www.cbsnews.com/search/?q=china&p=28","","https://www.cbsnews.com/video/what-happened-to-the-trade-war-bailout-money-for-farmers/"
"1589951054-8338","https://www.cbsnews.com/search/?q=china&p=46","","https://www.cbsnews.com/news/coronavirus-lawyer-larry-klayman-sues-chinese-government-over-outbreak/"
"1589950523-6833","https://www.cbsnews.com/search/?q=china&p=196","","https://www.cbsnews.com/news/tiktoks-most-downloaded-app-beating-facebook-and-instagram-but-its-popularity-comes-with-data-privacy-concerns/"
"1589950765-7495","https://www.cbsnews.com/search/?q=china&p=130","","https://www.cbsnews.com/news/trump-rally-fayettville-maga-2020-campaign-crown-expo-center-live-stream-updates-2019-09-09/"
"1589951081-8422","https://www.cbsnews.com/search/?q=china&p=37","","https://www.cbsnews.com/news/n95-mask-shortage-melt-blown-filters/"
"1589951146-8621","https://www.cbsnews.com/search/?q=china&p=17","","https://www.cbsnews.com/video/surgeon-general-jerome-adams-coronavirus-projections-based-on-worst-case-scenario/"
"1589950741-7418","https://www.cbsnews.com/search/?q=china&p=138","","https://www.cbsnews.com/video/global-economy-concerns-loom-over-g-7-summit/"
"1589950617-7060","https://www.cbsnews.com/search/?q=china&p=174","","https://www.cbsnews.com/news/donald-trump-federal-reserve-policies-are-very-destructive-to-us-economy/"
"1589950975-8077","https://www.cbsnews.com/search/?q=china&p=72","","https://www.cbsnews.com/news/china-tariff-us-imports-china-cuts-tariffs-on-75-billion-of-us-imports-in-trade-truce/"
"1589950665-7198","https://www.cbsnews.com/search/?q=china&p=160","","https://www.cbsnews.com/news/60-minutes-women-soccer-team-usa-gender-discrimination-equal-pay-2019-07-10/"
"1589950796-7584","https://www.cbsnews.com/search/?q=china&p=121","","https://www.cbsnews.com/video/ukraine-to-revisit-probe-of-company-where-hunter-biden-worked-despite-no-evidence-of-wrongdoing/"
"1589951152-8647","https://www.cbsnews.com/search/?q=china&p=15","","https://www.cbsnews.com/video/us-students-urged-to-leave-italy-amid-coronavirus/"
"1589951026-8245","https://www.cbsnews.com/search/?q=china&p=55","","https://www.cbsnews.com/news/stock-prices-plunging-anew-coronavirus-fears-oil-price-tumble-today-2020-03-09/"
"1589951170-8693","https://www.cbsnews.com/search/?q=china&p=10","","https://www.cbsnews.com/video/us-planning-more-flights-to-evacuate-citizens-from-china/"
"1589950516-6814","https://www.cbsnews.com/search/?q=china&p=198","","https://www.cbsnews.com/video/china-tests-electronic-brain-implants-to-treat-drug-addiction/"
"1589950519-6830","https://www.cbsnews.com/search/?q=china&p=197","","https://www.cbsnews.com/news/venezuela-edgar-zambrano-juan-guaido-deputy-arrest-by-nicolas-maduro-agents-tow-car/"
"1589950734-7393","https://www.cbsnews.com/search/?q=china&p=140","","https://www.cbsnews.com/news/sunday-graham-klobuchar-bolten/"
"1589950884-7820","https://www.cbsnews.com/search/?q=china&p=98","","https://www.cbsnews.com/news/trump-economic-club-speech-live-stream-president-trump-at-the-new-york-economic-club-today-2019-11-12/"
"1589950772-7514","https://www.cbsnews.com/search/?q=china&p=128","","https://www.cbsnews.com/news/most-cfos-think-the-u-s-will-tumble-into-recession-within-a-year/"
"1589951040-8290","https://www.cbsnews.com/search/?q=china&p=51","","https://www.cbsnews.com/news/transcript-scott-gottlieb-on-face-the-nation-march-8-2020/"
"1589950948-7987","https://www.cbsnews.com/search/?q=china&p=81","","https://www.cbsnews.com/news/virus-in-china-cdc-screening-passengers-at-three-u-s-airports-for-mysterious-new-virus-today-2020-01-17/"
"1589950754-7452","https://www.cbsnews.com/search/?q=china&p=134","","https://www.cbsnews.com/news/hong-kong-protest-today-airport-blockade-strike-action-china-warns-end-is-coming-2019-09-01/"
"1589950969-8058","https://www.cbsnews.com/search/?q=china&p=74","","https://www.cbsnews.com/news/trump-hannity-super-bowl-interview-2020-02-02/"
"1589950547-6886","https://www.cbsnews.com/search/?q=china&p=191","","https://www.cbsnews.com/news/china-tariffs-trump-targets-300-billion-of-chinese-goods-for-new-tariffs/"
