web-scraper-order,web-scraper-start-url,link,link-href
"1589952662-11939","https://www.cbsnews.com/search/?q=coronavirus&p=84","","https://www.cbsnews.com/video/doctor-names-two-drugs-that-could-help-treat-coronavirus/"
"1589952375-11193","https://www.cbsnews.com/search/?q=coronavirus&p=158","","https://www.cbsnews.com/video/coronavirus-president-trump-spars-with-governors-reopening-economy/"
"1589952409-11286","https://www.cbsnews.com/search/?q=coronavirus&p=149","","https://www.cbsnews.com/video/experts-warn-more-coronavirus-testing-needed-as-deaths-top-32000/"
"1589952662-11931","https://www.cbsnews.com/search/?q=coronavirus&p=84","","https://www.cbsnews.com/video/329-scott-gottlieb-steven-mnuchin-gov-john-bel-edwards/"
"1589952278-10942","https://www.cbsnews.com/search/?q=coronavirus&p=183","","https://www.cbsnews.com/news/americans-differ-coronavirus-impact-cbs-news-poll/"
"1589952714-12065","https://www.cbsnews.com/search/?q=coronavirus&p=71","","https://www.cbsnews.com/video/coronavirus-families-businesses-governments-prepare-for-weeks-of-closure/"
"1589952867-12493","https://www.cbsnews.com/search/?q=coronavirus&p=28","","https://www.cbsnews.com/video/216-face-the-nation/"
"1589952307-11013","https://www.cbsnews.com/search/?q=coronavirus&p=176","","https://www.cbsnews.com/video/dr-lapook-on-the-potential-impact-of-returning-to-normal-too-soon/"
"1589952916-12622","https://www.cbsnews.com/search/?q=coronavirus&p=15","","https://www.cbsnews.com/video/wuhan-retesting-all-its-citizens-for-covid-19-to-prevent-2nd-wave-of-outbreak/"
"1589952245-10837","https://www.cbsnews.com/search/?q=coronavirus&p=194","","https://www.cbsnews.com/video/coronavirus-vaccine-trials-underway-as-drug-makers-accelerate-timeline/"
"1589952496-11516","https://www.cbsnews.com/search/?q=coronavirus&p=126","","https://www.cbsnews.com/video/wisconsin-holds-primary-election-despite-virus-concerns/"
"1589952336-11081","https://www.cbsnews.com/search/?q=coronavirus&p=169","","https://www.cbsnews.com/video/americans-look-inward-to-navigate-troubled-times/"
"1589952351-11130","https://www.cbsnews.com/search/?q=coronavirus&p=165","","https://www.cbsnews.com/video/white-house-trump-fauci-coronavirus-comeback-in-fall/"
"1589952593-11767","https://www.cbsnews.com/search/?q=coronavirus&p=101","","https://www.cbsnews.com/video/04112020-cbs-evening-news/"
"1589952336-11090","https://www.cbsnews.com/search/?q=coronavirus&p=169","","https://www.cbsnews.com/video/what-the-future-of-business-could-look-like-after-pandemic/"
"1589952747-12168","https://www.cbsnews.com/search/?q=coronavirus&p=61","","https://www.cbsnews.com/video/cdc-recommends-social-distancing-amid-coronavirus-outbreak/"
"1589952525-11591","https://www.cbsnews.com/search/?q=coronavirus&p=118","","https://www.cbsnews.com/video/coping-strategies-for-coronavirus-isolation/"
"1589952369-11171","https://www.cbsnews.com/search/?q=coronavirus&p=160","","https://www.cbsnews.com/video/ibram-x-kendi-on-data-research-about-black-americans-and-covid-19/"
"1589952771-12231","https://www.cbsnews.com/search/?q=coronavirus&p=54","","https://www.cbsnews.com/video/3520-red-and-blue/"
"1589952441-11369","https://www.cbsnews.com/search/?q=coronavirus&p=141","","https://www.cbsnews.com/video/us-coronavirus-death-toll-tops-23000/"
"1589952415-11298","https://www.cbsnews.com/search/?q=coronavirus&p=148","","https://www.cbsnews.com/video/coronavirus-apple-google-contact-tracing-technology/"
"1589952464-11421","https://www.cbsnews.com/search/?q=coronavirus&p=135","","https://www.cbsnews.com/video/judge-denies-request-to-release-cook-county-jail-inmates/"
"1589952657-11928","https://www.cbsnews.com/search/?q=coronavirus&p=85","","https://www.cbsnews.com/video/four-senators-reportedly-sold-stock-before-markets-coronavirus-spiral/"
"1589952281-10954","https://www.cbsnews.com/search/?q=coronavirus&p=182","","https://www.cbsnews.com/news/unicef-6000-children-could-die-day-preventable-causes-covid-19-overwhelms-health-care/"
"1589952714-12066","https://www.cbsnews.com/search/?q=coronavirus&p=71","","https://www.cbsnews.com/video/federal-government-estimates-about-38-million-americans-will-need-medicare-care-amid-coronavirus-concern/"
"1589952420-11303","https://www.cbsnews.com/search/?q=coronavirus&p=147","","https://www.cbsnews.com/video/emotional-video-captures-pilot-thanking-medical-workers-before-flight/"
"1589952730-12120","https://www.cbsnews.com/search/?q=coronavirus&p=66","","https://www.cbsnews.com/video/lawmakers-scramble-to-create-economic-plan-for-coronavirus/"
"1589952690-12007","https://www.cbsnews.com/search/?q=coronavirus&p=77","","https://www.cbsnews.com/video/surgeon-general-warns-us-to-take-coronavirus-crisis-seriously/"
"1589952278-10949","https://www.cbsnews.com/search/?q=coronavirus&p=183","","https://www.cbsnews.com/news/trump-international-hotel-lawsuit-emoluments-washington-dc/"
"1589952820-12389","https://www.cbsnews.com/search/?q=coronavirus&p=39","","https://www.cbsnews.com/video/houses-3-trillion-coronavirus-heroes-act-bill-opposition/"
"1589952291-10975","https://www.cbsnews.com/search/?q=coronavirus&p=180","","https://www.cbsnews.com/video/how-contact-tracing-is-being-used-in-americas-fight-against-coronavirus/"
"1589952842-12440","https://www.cbsnews.com/search/?q=coronavirus&p=34","","https://www.cbsnews.com/video/americans-quarantined-on-cruise-ship-in-japan-begin-returning-home/"
"1589952654-11916","https://www.cbsnews.com/search/?q=coronavirus&p=86","","https://www.cbsnews.com/video/students-sing-together-from-home-after-coronavirus-cancels-concert/"
"1589952684-11988","https://www.cbsnews.com/search/?q=coronavirus&p=79","","https://www.cbsnews.com/video/trump-administration-proposes-trillion-dollar-stimulus-package-to-rescue-american-economy/"
"1589952241-10826","https://www.cbsnews.com/search/?q=coronavirus&p=195","","https://www.cbsnews.com/news/twitter-employees-work-from-home-forever-ceo-jack-dorsey-says/"
"1589952796-12312","https://www.cbsnews.com/search/?q=coronavirus&p=46","","https://www.cbsnews.com/video/the-facts-about-coronavirus-what-you-need-to-know/"
"1589952427-11328","https://www.cbsnews.com/search/?q=coronavirus&p=145","","https://www.cbsnews.com/video/trump-suggests-reopening-us-economy-despite-social-distancing-guidelines/"
"1589952623-11833","https://www.cbsnews.com/search/?q=coronavirus&p=94","","https://www.cbsnews.com/video/trump-says-coronavirus-closures-may-last-weeks-not-months/"
"1589952441-11364","https://www.cbsnews.com/search/?q=coronavirus&p=141","","https://www.cbsnews.com/video/hospital-employees-choir-creates-uplifting-virtual-performance/"
"1589952768-12222","https://www.cbsnews.com/search/?q=coronavirus&p=55","","https://www.cbsnews.com/video/asian-americans-see-racism-discrimination-amid-coronavirus-panic/"
"1589952680-11974","https://www.cbsnews.com/search/?q=coronavirus&p=80","","https://www.cbsnews.com/video/states-begin-rolling-out-extreme-measures-to-contain-coronavirus/"
"1589952847-12441","https://www.cbsnews.com/search/?q=coronavirus&p=33","","https://www.cbsnews.com/video/030120-cbs-evening-news/"
"1589952796-12313","https://www.cbsnews.com/search/?q=coronavirus&p=46","","https://www.cbsnews.com/video/azar-says-hes-personally-overseeing-investigation-into-hhs-whistleblower-allegations-on-coronavirus/"
"1589952611-11812","https://www.cbsnews.com/search/?q=coronavirus&p=96","","https://www.cbsnews.com/video/04032020-cbs-evening-news/"
"1589952241-10825","https://www.cbsnews.com/search/?q=coronavirus&p=195","","https://www.cbsnews.com/news/covid-19-relief-coming-soon-to-a-drive-in-theater-near-you/"
"1589952626-11843","https://www.cbsnews.com/search/?q=coronavirus&p=93","","https://www.cbsnews.com/video/robert-de-niro-issues-warning-to-new-yorkers-about-social-distancing/"
"1589952566-11710","https://www.cbsnews.com/search/?q=coronavirus&p=107","","https://www.cbsnews.com/video/remembering-maria-mercader-cbs-news-journalist-for-three-decades/"
"1589952383-11212","https://www.cbsnews.com/search/?q=coronavirus&p=156","","https://www.cbsnews.com/video/jose-andres-wants-empathy-to-bolster-the-world/"
"1589952475-11457","https://www.cbsnews.com/search/?q=coronavirus&p=132","","https://www.cbsnews.com/video/trump-discusses-potential-timeline-to-reopen-economy/"
"1589952638-11874","https://www.cbsnews.com/search/?q=coronavirus&p=90","","https://www.cbsnews.com/video/head-of-hospital-group-warns-of-closures-over-coronavirus-without-government-help/"
"1589952395-11248","https://www.cbsnews.com/search/?q=coronavirus&p=153","","https://www.cbsnews.com/video/group-of-parents-in-vermont-raise-money-for-custodians-who-disinfected-schools/"
"1589952935-12675","https://www.cbsnews.com/search/?q=coronavirus&p=10","","https://www.cbsnews.com/news/detroit-priest-holy-water-squirt-gun-social-distancing/"
"1589952805-12345","https://www.cbsnews.com/search/?q=coronavirus&p=43","","https://www.cbsnews.com/video/finance-expert-explains-markets-coronavirus-dip/"
"1589952854-12464","https://www.cbsnews.com/search/?q=coronavirus&p=31","","https://www.cbsnews.com/video/coronavirus-infections-surge-on-cruise-ship-in-japan/"
"1589952231-10797","https://www.cbsnews.com/search/?q=coronavirus&p=198","","https://www.cbsnews.com/news/rise-up-new-york-tina-fey-virtual-telethon-raises-115million/"
"1589952340-11098","https://www.cbsnews.com/search/?q=coronavirus&p=168","","https://www.cbsnews.com/video/several-states-lifting-stay-at-home-orders-despite-concerns-of-coronavirus-resurgence/"
"1589952740-12141","https://www.cbsnews.com/search/?q=coronavirus&p=63","","https://www.cbsnews.com/video/stock-market-sees-historic-losses-over-coronavirus/"
"1589952939-12684","https://www.cbsnews.com/search/?q=coronavirus&p=9","","https://www.cbsnews.com/video/trump-says-hes-taking-hydroxychloroquine-despite-fda-warning/"
"1589952331-11071","https://www.cbsnews.com/search/?q=coronavirus&p=170","","https://www.cbsnews.com/video/couple-recovering-from-virus-separated-from-newborns-for-weeks/"
"1589952482-11480","https://www.cbsnews.com/search/?q=coronavirus&p=130","","https://www.cbsnews.com/video/wisconsin-voters-go-to-the-polls-despite-coronavirus-pandemic/"
"1589952928-12657","https://www.cbsnews.com/search/?q=coronavirus&p=12","","https://www.cbsnews.com/news/coronavirus-california-church-service-mothers-day-covid-19-exposure/"
"1589952705-12045","https://www.cbsnews.com/search/?q=coronavirus&p=73","","https://www.cbsnews.com/video/secret-service-warns-americans-of-coronavirus-related-scams/"
