web-scraper-order,web-scraper-start-url,link,link-href
"1589951515-9166","https://www.cbsnews.com/search/?q=trump&p=162","","https://www.cbsnews.com/video/trump-says-disinfectant-comments-were-sarcastic/"
"1589951509-9142","https://www.cbsnews.com/search/?q=trump&p=164","","https://www.cbsnews.com/news/coronavirus-fda-warning-hydroxychloroquine-treating-covid-19/"
"1589951713-9782","https://www.cbsnews.com/search/?q=trump&p=100","","https://www.cbsnews.com/video/cbsn-live-streaming-video-red-and-blue-coronavirus-outbreak-president-trump-race-to-2020-2020-candidates-nation-fears/"
"1589951720-9806","https://www.cbsnews.com/search/?q=trump&p=98","","https://www.cbsnews.com/video/controversial-public-charge-rule-takes-effect-reshaping-legal-immigration-in-us/"
"1589951703-9758","https://www.cbsnews.com/search/?q=trump&p=103","","https://www.cbsnews.com/video/facebook-removes-ads-from-company-tied-to-trump-campaign-manager/"
"1589951987-10532","https://www.cbsnews.com/search/?q=trump&p=25","","https://www.cbsnews.com/news/biden-campaign-keystone-xl-pipeline-permit-revoke/"
"1589951993-10553","https://www.cbsnews.com/search/?q=trump&p=23","","https://www.cbsnews.com/video/jerry-nadler-invites-trump-to-testify-in-the-impeachment-inquiry/"
"1589951590-9389","https://www.cbsnews.com/search/?q=trump&p=140","","https://www.cbsnews.com/news/ve-day-world-war-ii-vets-trump-ceremony/"
"1589951891-10253","https://www.cbsnews.com/search/?q=trump&p=53","","https://www.cbsnews.com/video/newly-release-email-holdup-of-ukraine-aid/"
"1589951370-8894","https://www.cbsnews.com/search/?q=trump&p=189","","https://www.cbsnews.com/news/trump-has-some-but-limited-leverage-over-states-with-federal-resources-experts-say/"
"1589951852-10148","https://www.cbsnews.com/search/?q=trump&p=64","","https://www.cbsnews.com/video/senate-impeachment-trial-against-trump-likely-to-begin-january-21/"
"1589951920-10348","https://www.cbsnews.com/search/?q=trump&p=44","","https://www.cbsnews.com/video/supreme-court-will-hear-arguments-over-trumps-financial-records/"
"1589951522-9188","https://www.cbsnews.com/search/?q=trump&p=160","","https://www.cbsnews.com/news/coronavirus-economy-barry-diller-top-takeaways-from-this-weeks-face-the-nation-businesses-crave-practical-solutions/"
"1589951519-9174","https://www.cbsnews.com/search/?q=trump&p=161","","https://www.cbsnews.com/news/coronavirus-billionaire-barry-diller-says-no-chance-economic-rebound-by-summer-calls-trump-witch-doctor/"
"1589951528-9206","https://www.cbsnews.com/search/?q=trump&p=158","","https://www.cbsnews.com/news/coronavirus-test-trace-states-burden/"
"1589951590-9385","https://www.cbsnews.com/search/?q=trump&p=140","","https://www.cbsnews.com/news/jose-andres-chef-feeding-coronavirus-impact-60-minutes-2020-04-19/"
"1589951760-9906","https://www.cbsnews.com/search/?q=trump&p=88","","https://www.cbsnews.com/video/buttigieg-defends-big-money-donors-as-necessary-to-beat-trump/"
"1589951993-10559","https://www.cbsnews.com/search/?q=trump&p=23","","https://www.cbsnews.com/video/white-house-weighing-whether-to-participate-in-impeachment-inquiry-hearings/"
"1589951779-9958","https://www.cbsnews.com/search/?q=trump&p=83","","https://www.cbsnews.com/video/trump-takes-unprecedented-steps-to-roll-back-environmental-regulations/"
"1589951354-8862","https://www.cbsnews.com/search/?q=trump&p=192","","https://www.cbsnews.com/news/nonprofits-coronavirus-response-funding-united-way-ymca-meals-on-wheels/"
"1589951608-9452","https://www.cbsnews.com/search/?q=trump&p=133","","https://www.cbsnews.com/video/former-trump-campaign-chairman-paul-manafort-transferred-to-home-confinement/"
"1589951574-9334","https://www.cbsnews.com/search/?q=trump&p=145","","https://www.cbsnews.com/news/louisiana-lawmakers-to-consider-strike-at-governors-stay-at-home-order/"
"1589951787-9971","https://www.cbsnews.com/search/?q=trump&p=81","","https://www.cbsnews.com/video/trump-campaign-director-of-strategic-communications-marc-lotter-talks-iowa-focus-and-democrats/"
"1589951347-8845","https://www.cbsnews.com/search/?q=trump&p=194","","https://www.cbsnews.com/news/icymi-top-takeaways-from-this-weeks-face-the-nation-experts-warn-against-re-opening-economy/"
"1589951382-8929","https://www.cbsnews.com/search/?q=trump&p=186","","https://www.cbsnews.com/video/101718-red-and-blue/"
"1589951845-10129","https://www.cbsnews.com/search/?q=trump&p=66","","https://www.cbsnews.com/video/aclu-lawsuit-to-halt-trump-policy-of-sending-asylum-seekers-to-guatemala/"
"1589951955-10431","https://www.cbsnews.com/search/?q=trump&p=35","","https://www.cbsnews.com/video/feldman-says-trumps-actions-are-precisely-what-the-framers-anticipated/"
"1589951686-9707","https://www.cbsnews.com/search/?q=trump&p=108","","https://www.cbsnews.com/video/finance-expert-urges-hourly-employees-to-conserve-cash-amid-coronavirus-panic/"
"1589951665-9648","https://www.cbsnews.com/search/?q=trump&p=114","","https://www.cbsnews.com/video/trump-at-odds-with-us-governors-on-end-to-pandemic-precautions/"
"1589951842-10120","https://www.cbsnews.com/search/?q=trump&p=67","","https://www.cbsnews.com/video/articles-of-impeachment-formally-delivered-to-senate/"
"1589951644-9574","https://www.cbsnews.com/search/?q=trump&p=121","","https://www.cbsnews.com/video/trump-battles-with-governors-over-reopening-the-economy/"
"1589951727-9823","https://www.cbsnews.com/search/?q=trump&p=96","","https://www.cbsnews.com/video/trump-says-roger-stone-has-a-good-chance-of-exoneration/"
"1589951583-9365","https://www.cbsnews.com/search/?q=trump&p=142","","https://www.cbsnews.com/video/trump-reverses-course-on-phasing-out-coronavirus-task-force/"
"1589951653-9608","https://www.cbsnews.com/search/?q=trump&p=118","","https://www.cbsnews.com/video/uk-prime-minister-boris-johnson-in-icu-for-coronavirus/"
"1589951878-10215","https://www.cbsnews.com/search/?q=trump&p=57","","https://www.cbsnews.com/video/white-house-weighs-next-steps-in-nuclear-treaty-with-russia/"
"1589952004-10589","https://www.cbsnews.com/search/?q=trump&p=20","","https://www.cbsnews.com/video/giuliani-defends-trump-as-judiciary-committee-takes-next-steps-in-impeachment-inquiry/"
"1589951939-10400","https://www.cbsnews.com/search/?q=trump&p=39","","https://www.cbsnews.com/video/day-7-part-13-closing-statements-in-judiciary-impeachment-hearing/"
"1589951881-10225","https://www.cbsnews.com/search/?q=trump&p=56","","https://www.cbsnews.com/video/trump-blames-iran-for-us-embassy-attack-in-iraq/"
"1589951559-9295","https://www.cbsnews.com/search/?q=trump&p=149","","https://www.cbsnews.com/news/yemen-war-coronavirus-little-left-to-stop-spread-of-covid-19-2020-05-04/"
"1589951569-9330","https://www.cbsnews.com/search/?q=trump&p=146","","https://www.cbsnews.com/news/supreme-court-oral-arguments-remote-hiv-aids-funding/"
"1589952031-10661","https://www.cbsnews.com/search/?q=trump&p=12","","https://www.cbsnews.com/video/trump-intervenes-in-military-justice-cases-and-grants-pardons/"
"1589951545-9255","https://www.cbsnews.com/search/?q=trump&p=153","","https://www.cbsnews.com/news/pelosi-biden-sexual-assault-allegations-response/"
"1589951556-9290","https://www.cbsnews.com/search/?q=trump&p=150","","https://www.cbsnews.com/news/immigrants-in-ice-custody-clash-with-massachusetts-jail-officials-in-latest-disturbance-over-coronavirus/"
"1589951939-10391","https://www.cbsnews.com/search/?q=trump&p=39","","https://www.cbsnews.com/video/day-7-part-1-jerry-nadlers-opening-statement/"
"1589951857-10151","https://www.cbsnews.com/search/?q=trump&p=63","","https://www.cbsnews.com/video/iran-denies-shooting-down-ukrainian-airliner-with-176-on-board/"
"1589951814-10041","https://www.cbsnews.com/search/?q=trump&p=74","","https://www.cbsnews.com/video/bernie-sanders-on-the-cost-of-his-health-plan-and-joe-biden/"
"1589951574-9339","https://www.cbsnews.com/search/?q=trump&p=145","","https://www.cbsnews.com/news/2020-daily-trail-markers-campaigns-learn-to-adjust-to-digital-organizing-2020-05-05/"
"1589951334-8800","https://www.cbsnews.com/search/?q=trump&p=199","","https://www.cbsnews.com/news/covid-19-transcript-dr-david-agus-on-intelligence-matters/"
"1589951605-9449","https://www.cbsnews.com/search/?q=trump&p=134","","https://www.cbsnews.com/news/coronavirus-nyc-deaths-higher-offical-count-cdc-study/"
"1589951934-10388","https://www.cbsnews.com/search/?q=trump&p=40","","https://www.cbsnews.com/video/justice-dept-watchdog-finds-fbi-mistakes-but-no-political-bias-in-trump-probe/"
"1589951553-9277","https://www.cbsnews.com/search/?q=trump&p=151","","https://www.cbsnews.com/news/trump-china-lab-coronavirus-evidence-intelligence/"
"1589952039-10687","https://www.cbsnews.com/search/?q=trump&p=10","","https://www.cbsnews.com/video/marie-yovanovitch-i-cant-speak-to-what-the-president-is-trying-to-do-but-i-think-the-effect-is-to-be-intimidating/"
"1589951622-9501","https://www.cbsnews.com/search/?q=trump&p=128","","https://www.cbsnews.com/video/new-white-house-strategy-puts-testing-responsibility-on-states/"
"1589951842-10117","https://www.cbsnews.com/search/?q=trump&p=67","","https://www.cbsnews.com/video/lev-parnas-implicates-top-trump-officials-in-ukraine-pressure-campaign/"
"1589951837-10108","https://www.cbsnews.com/search/?q=trump&p=68","","https://www.cbsnews.com/video/trump-meets-with-lsu-tigers-at-white-house/"
"1589951772-9934","https://www.cbsnews.com/search/?q=trump&p=85","","https://www.cbsnews.com/video/trump-pelosi-tensions-on-full-display-at-state-of-the-union/"
"1589951867-10188","https://www.cbsnews.com/search/?q=trump&p=60","","https://www.cbsnews.com/video/iran-missile-launches-attack-crosses-red-line-david-martin-analysis/"
"1589951605-9447","https://www.cbsnews.com/search/?q=trump&p=134","","https://www.cbsnews.com/video/supreme-court-debates-release-of-trumps-financial-records/"
"1589951920-10350","https://www.cbsnews.com/search/?q=trump&p=44","","https://www.cbsnews.com/video/articles-of-impeachment-head-to-a-full-house-vote/"
"1589951959-10450","https://www.cbsnews.com/search/?q=trump&p=34","","https://www.cbsnews.com/video/gerhardt-says-if-this-isnt-impeachable-nothing-is/"
"1589951727-9822","https://www.cbsnews.com/search/?q=trump&p=96","","https://www.cbsnews.com/video/six-more-countries-subject-to-trumps-expanded-travel-ban-starting-saturday/"
"1589951398-8946","https://www.cbsnews.com/search/?q=trump&p=184","","https://www.cbsnews.com/news/coronavirus-white-house-task-force-congress-reopening-economy/"
"1589951577-9350","https://www.cbsnews.com/search/?q=trump&p=144","","https://www.cbsnews.com/news/senator-chris-murphy-calls-trump-comments-about-democrats-and-covid-19-disgusting/"
"1589951875-10201","https://www.cbsnews.com/search/?q=trump&p=58","","https://www.cbsnews.com/video/chuck-schumer-calls-for-witnesses-and-documents-in-senate-impeachment-trial/"
"1589951656-9618","https://www.cbsnews.com/search/?q=trump&p=117","","https://www.cbsnews.com/video/trump-says-he-wont-wear-face-mask/"
"1589951509-9143","https://www.cbsnews.com/search/?q=trump&p=164","","https://www.cbsnews.com/news/abortion-bans-states-coronavirus-pandemic/"
"1589951632-9531","https://www.cbsnews.com/search/?q=trump&p=125","","https://www.cbsnews.com/video/cbs-news-presses-trump-on-february-response-on-coronavirus/"
"1589951354-8870","https://www.cbsnews.com/search/?q=trump&p=192","","https://www.cbsnews.com/news/coronavirus-met-gala-2020-canceled-postponed-indefinitely-vogue-says-kim-kardashian-other-stars-wont-attend/"
"1589951482-9073","https://www.cbsnews.com/search/?q=trump&p=171","","https://www.cbsnews.com/video/92017-red-and-blue/"
"1589951943-10402","https://www.cbsnews.com/search/?q=trump&p=38","","https://www.cbsnews.com/video/bidens-fiery-town-hall-a-moment-of-honesty-for-the-candidate/"
"1589951924-10360","https://www.cbsnews.com/search/?q=trump&p=43","","https://www.cbsnews.com/video/house-judiciary-committee-debates-impeachment-articles-1/"
"1589951799-10008","https://www.cbsnews.com/search/?q=trump&p=78","","https://www.cbsnews.com/video/2020-democrats-fight-for-spotlight-in-iowa/"
"1589951528-9208","https://www.cbsnews.com/search/?q=trump&p=158","","https://www.cbsnews.com/news/trump-coronavirus-briefings-health-experts-mcconnell/"
"1589951802-10015","https://www.cbsnews.com/search/?q=trump&p=77","","https://www.cbsnews.com/video/trump-participates-in-usmca-signing-ceremony/"
"1589951590-9383","https://www.cbsnews.com/search/?q=trump&p=140","","https://www.cbsnews.com/news/michael-flynn-case-dismissal-william-barr-attorney-general/"
"1589951598-9417","https://www.cbsnews.com/search/?q=trump&p=137","","https://www.cbsnews.com/news/trump-administration-ventilators-glut-analysis-coronavirus-response/"
"1589951471-9054","https://www.cbsnews.com/search/?q=trump&p=173","","https://www.cbsnews.com/news/coronavirus-health-insurance-cover-covid-19-testing-treatment/"
"1589951679-9687","https://www.cbsnews.com/search/?q=trump&p=110","","https://www.cbsnews.com/video/coronavirus-task-force-updates-trump-praises-fed/"
"1589951756-9893","https://www.cbsnews.com/search/?q=trump&p=89","","https://www.cbsnews.com/video/bill-weld-explains-why-he-thinks-he-can-beat-trump-in-the-republican-primary/"
"1589951775-9943","https://www.cbsnews.com/search/?q=trump&p=84","","https://www.cbsnews.com/video/trump-pelosi-feud-erupts-at-state-of-the-union/"
"1589951632-9537","https://www.cbsnews.com/search/?q=trump&p=125","","https://www.cbsnews.com/video/governors-plead-with-trump-over-supplying-more-coronavirus-test-kits/"
"1589951598-9419","https://www.cbsnews.com/search/?q=trump&p=137","","https://www.cbsnews.com/news/full-transcript-of-face-the-nation-on-may-10-2020/"
"1589951768-9927","https://www.cbsnews.com/search/?q=trump&p=86","","https://www.cbsnews.com/video/mitt-romney-faces-fallout-over-impeachment-vote-in-home-state/"
"1589951478-9068","https://www.cbsnews.com/search/?q=trump&p=172","","https://www.cbsnews.com/video/102417-red-and-blue/"
