web-scraper-order,web-scraper-start-url,title,title-href,link,link-href
"1590548287-11226","https://www.allsides.com/topics/china?search=china&page=41","The risk of a Tiananmen-style massacre in Hong Kong is remote. But it's not zero.","https://www.allsides.com/news/2014-09-30-1107/risk-tiananmen-style-massacre-hong-kong-remote-its-not-zero","Read full story","http://www.vox.com/2014/9/30/6865759/the-question-terrifying-hong-kong-would-china-try-another-tiananmen"
"1590552127-11634","https://www.allsides.com/topics/china?search=china&page=2","China economy shrinks for first time as Wuhan Covid-19 death toll is increased by 1,300","https://www.allsides.com/news/2020-04-17-0540/china-economy-shrinks-first-time-wuhan-covid-19-death-toll-increased-1300","Read full story","https://www.theguardian.com/world/2020/apr/17/china-economy-shrinks-record-wuhan-covid-19-death-toll-rises-50-percent"
"1590550398-11479","https://www.allsides.com/topics/china?search=china&page=21","U.S. consumers and businesses -- not China -- bear the brunt of Trump's tariffs","https://www.allsides.com/news/2019-05-10-0706/us-consumers-and-businesses-not-china-bear-brunt-trumps-tariffs","Read full story","https://www.cbsnews.com/news/trump-tariffs-on-china-us-consumers-and-businesses-feel-impact-of-trade-war/"
"1590548719-11295","https://www.allsides.com/topics/china?search=china&page=36","Dow Drops 1,000 Points In Early Trading","https://www.allsides.com/news/2015-11-20-0544/dow-drops-1000-points-early-trading","Read full story","http://www.huffingtonpost.com/entry/stocks-are-dropping-everywhere_55db1d1ce4b04ae4970399f8?pqmvaemi"
"1590550179-11463","https://www.allsides.com/topics/china?search=china&page=22","Huawei C.F.O. Is Arrested in Canada for Extradition to the U.S.","https://www.allsides.com/news/2018-12-06-0719/huawei-cfo-arrested-canada-extradition-us","Read full story","https://www.nytimes.com/2018/12/05/business/huawei-cfo-arrest-canada-extradition.html?action=click&module=Top%20Stories&pgtype=Homepage"
"1590550462-11490","https://www.allsides.com/topics/china?search=china&page=20","Trump’s trade approach under attack as China retaliates on tariffs; markets open with big sell-off","https://www.allsides.com/news/2019-05-13-0844/trump%E2%80%99s-trade-approach-under-attack-china-retaliates-tariffs-markets-open-big","Read full story","https://www.washingtonpost.com/business/2019/05/13/trump-warns-china-not-retaliate-tariffs-insists-they-wont-hurt-us-consumers/?utm_term=.7ed5c592b689"
"1590549006-11330","https://www.allsides.com/topics/china?search=china&page=33","U.S., China Formally Join Paris Climate Pact","https://www.allsides.com/news/2016-09-04-0928/us-china-formally-join-paris-climate-pact","Read full story","http://www.huffingtonpost.com/entry/us-china-paris-climate-deal_us_57c9cf8de4b0a22de095fb52?section=&"
"1590551023-11538","https://www.allsides.com/topics/china?search=china&page=14","Almost nobody in Hong Kong under 30 identifies as “Chinese”","https://www.allsides.com/news/2019-08-27-1425/almost-nobody-hong-kong-under-30-identifies-chinese","null",""
"1590549783-11433","https://www.allsides.com/topics/china?search=china&page=26","As U.S.-China tit-for-tat tariffs kick in, here's what could happen","https://www.allsides.com/news/2018-07-06-0635/us-china-tit-tat-tariffs-kick-heres-what-could-happen","Read full story","http://www.latimes.com/business/la-fi-us-china-tariffs-explainer-20180705-story.html"
"1590550152-11460","https://www.allsides.com/topics/china?search=china&page=23","Trump Calls Truce in China Trade War a Big Success, but Little Is Known About the Deal","https://www.allsides.com/news/2018-12-03-0807/trump-calls-truce-china-trade-war-big-success-little-known-about-deal","Read full story","https://www.nytimes.com/2018/12/03/us/politics/trump-china-trade-war.html?action=click&module=Top%20Stories&pgtype=Homepage"
"1590551522-11567","https://www.allsides.com/topics/china?search=china&page=8","Congress Wants to Force Trump’s Hand on Human Rights in China and Beyond","https://www.allsides.com/news/2019-12-29-1600/congress-wants-force-trump-s-hand-human-rights-china-and-beyond","Read full story","https://www.nytimes.com/2019/12/27/us/politics/trumps-human-rights-congress.html?action=click&module=Top%20Stories&pgtype=Homepage"
"1590548562-11273","https://www.allsides.com/topics/china?search=china&page=38","Chinese breach data of 4 million federal workers","https://www.allsides.com/news/2015-11-20-0544/chinese-breach-data-4-million-federal-workers","Read full story","http://www.washingtonpost.com/world/national-security/chinese-hackers-breach-federal-governments-personnel-office/2015/06/04/889c0e52-0af7-11e5-95fd-d580f1c5d44e_story.html"
"1590550520-11496","https://www.allsides.com/topics/china?search=china&page=19","GOP senators raise alarms, criticize Trump as U.S.-China trade war heats up","https://www.allsides.com/news/2019-05-15-0914/gop-senators-raise-alarms-criticize-trump-us-china-trade-war-heats","Read full story","https://www.washingtonpost.com/business/economy/white-house-explores-new-farmer-bailout-plan-as-us-china-trade-war-heats-up/2019/05/14/a7ee018e-7641-11e9-bd25-c989555e7766_story.html?utm_term=.4df5c6632367"
"1590548644-11285","https://www.allsides.com/topics/china?search=china&page=37","China's credibility on the line as yuan slides again, global markets slump","https://www.allsides.com/news/2015-11-20-0544/chinas-credibility-line-yuan-slides-again-global-markets-slump","Read full story","https://www.washingtonpost.com/world/asia_pacific/chinas-credibility-on-the-line-as-yuan-slides-again-global-markets-slump/2015/08/12/63f1cb98-4065-11e5-b2c4-af4c6183b8b4_story.html?hpid=z1"
"1590549519-11393","https://www.allsides.com/topics/china?search=china&page=28","Trump's ZTE reversal flouts warnings from top national security officials","https://www.allsides.com/news/2018-05-14-0836/trumps-zte-reversal-flouts-warnings-top-national-security-officials","Read full story","https://www.washingtonpost.com/news/powerpost/paloma/the-cybersecurity-202/2018/05/14/the-cybersecurity-202-trump-s-zte-reversal-flouts-warnings-from-top-national-security-officials/5af87ab030fb0425887994ca/?utm_term=.4cf103189c96"
"1590549455-11381","https://www.allsides.com/topics/china?search=china&page=29","More Jobs, Faster Growth and Now, the Threat of a Trade War","https://www.allsides.com/news/2018-04-07-0833/more-jobs-faster-growth-and-now-threat-trade-war","Read full story","https://www.nytimes.com/2018/04/06/business/economy/economy-trade-war-china-trump-tariffs-fed.html"
"1590548682-11289","https://www.allsides.com/topics/china?search=china&page=36","China Seeks to Calm Markets as It Devalues Currency for 3rd Consecutive Day","https://www.allsides.com/news/2015-08-13-0757/china-seeks-calm-markets-it-devalues-currency-3rd-consecutive-day","Read full story","http://www.nytimes.com/2015/08/14/business/international/china-devalues-its-currency-renminbi-for-a-third-consecutive-day.html?hp&action=click&pgtype=Homepage&module=first-column-region&region=top-news&WT.nav=top-news&_r=0"
"1590551776-11586","https://www.allsides.com/topics/china?search=china&page=6","U.S. workers without protective gear assisted coronavirus evacuees, HHS whistleblower says","https://www.allsides.com/news/2020-02-28-0621/us-workers-without-protective-gear-assisted-coronavirus-evacuees-hhs","Read full story","https://www.washingtonpost.com/health/2020/02/27/us-workers-without-protective-gear-assisted-coronavirus-evacuees-hhs-whistleblower-says/"
"1590552191-11645","https://www.allsides.com/topics/china?search=china&page=1","Was the new coronavirus accidentally released from a Wuhan lab? It’s doubtful.","https://www.allsides.com/news/2020-05-03-1008/was-new-coronavirus-accidentally-released-wuhan-lab-it-s-doubtful","Read full story","https://www.washingtonpost.com/politics/2020/05/01/was-new-coronavirus-accidentally-released-wuhan-lab-its-doubtful/"
"1590549394-11365","https://www.allsides.com/topics/china?search=china&page=30","Kim-Xi meeting presents a new challenge for Trump on North Korea","https://www.allsides.com/news/2018-03-28-0748/kim-xi-meeting-presents-new-challenge-trump-north-korea","Read full story","https://www.washingtonpost.com/world/asia_pacific/kim-xi-meeting-presents-a-new-challenge-for-trump-on-north-korea/2018/03/28/55e7e8a6-31f9-11e8-b6bd-0084a1666987_story.html?utm_term=.e4f9f5d2a572"
