web-scraper-order,web-scraper-start-url,title,title-href,link,link-href
"1590499122-1965","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=72","The mystery of why the coronavirus kills some young people","https://www.allsides.com/news/2020-04-05-1837/mystery-why-coronavirus-kills-some-young-people","null",""
"1590496927-1501","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=101","‘We’re all going to get sick eventually’: Amazon workers are struggling to provide for a nation in quarantine","https://www.allsides.com/news/2020-03-20-1710/we-re-all-going-get-sick-eventually-amazon-workers-are-struggling-provide","Read full story","https://www.theverge.com/2020/3/20/21188292/amazon-workers-coronavirus-essential-service-risk"
"1590500598-2254","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=53","The Age of Coddling Is Over","https://www.allsides.com/news/2020-04-17-0656/age-coddling-over","Read full story","https://www.nytimes.com/2020/04/16/opinion/coronavirus-medical-training.html"
"1590502841-2701","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=24","Trump touted reopening. Privately, his team sounded alarms.","https://www.allsides.com/news/2020-05-06-0826/trump-touted-reopening-privately-his-team-sounded-alarms","Read full story","https://www.politico.com/news/2020/05/06/trump-fema-hhs-coronavirus-response-239652"
"1590495217-1112","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=126","Tyranny is fueling the coronavirus pandemic","https://www.allsides.com/news/2020-02-24-1829/tyranny-fueling-coronavirus-pandemic","Read full story","https://theweek.com/articles/897193/tyranny-fueling-coronavirus-pandemic"
"1590497839-1729","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=87","Trump makes another round of misstatements during coronavirus briefing","https://www.allsides.com/news/2020-03-27-1831/trump-makes-another-round-misstatements-during-coronavirus-briefing","Read full story","https://www.cnn.com/2020/03/27/politics/fact-check-coronavirus-briefing/index.html"
"1590503484-2874","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=7","What we learned from Trump’s hydroxychloroquine claim","https://www.allsides.com/news/2020-05-19-1926/what-we-learned-trump-s-hydroxychloroquine-claim","Read full story","https://www.washingtonpost.com/opinions/2020/05/19/what-we-learned-trumps-hydroxychloroquine-claim/"
"1590496575-1427","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=106","Coronavirus poses dreadful choice for global leaders: Wreck your economy or lose millions of lives","https://www.allsides.com/news/2020-03-18-0605/coronavirus-poses-dreadful-choice-global-leaders-wreck-your-economy-or-lose","Read full story","https://www.latimes.com/politics/story/2020-03-18/coronavirus-poses-dreadful-choice-for-global-leaders-wreck-your-economy-or-lose-millions-of-lives"
"1590499815-2097","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=63","Adam Schiff and Kamala Harris Announce Bipartisan Coronavirus Response Commission Bill","https://www.allsides.com/news/2020-04-10-1308/adam-schiff-and-kamala-harris-announce-bipartisan-coronavirus-response","Read full story","https://www.politicususa.com/2020/04/10/adam-schiff-and-kamala-harris-announce-bipartisan-coronavirus-response-commission-bill.html"
"1590500035-2137","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=60","What went wrong with the media’s coronavirus coverage?","https://www.allsides.com/news/2020-04-13-0735/what-went-wrong-media-s-coronavirus-coverage","Read full story","https://www.vox.com/recode/2020/4/13/21214114/media-coronavirus-pandemic-coverage-cdc-should-you-wear-masks"
