web-scraper-order,web-scraper-start-url,title,title-href,link,link-href
"1590536760-9884","https://www.allsides.com/topics/elections?search=elections&page=222","Why the Electoral College Will Rubber-Stamp Donald Trump","https://www.allsides.com/news/2016-12-19-0716/why-electoral-college-will-rubber-stamp-donald-trump","Read full story","http://www.thedailybeast.com/articles/2016/12/19/why-the-electoral-college-will-rubber-stamp-donald-trump.html"
"1590527351-8131","https://www.allsides.com/topics/elections?search=elections&page=359","Insiders: Hillary should pick Tim Kaine for VP","https://www.allsides.com/news/2016-07-16-1042/insiders-hillary-should-pick-tim-kaine-vp","Read full story","http://www.politico.com/story/2016/07/tim-kaine-hillary-clinton-vp-insiders-225634"
"1590535363-9707","https://www.allsides.com/topics/elections?search=elections&page=240","Hillary Clinton Wants You To Imagine The Headlines After A Trump Win","https://www.allsides.com/news/2016-11-04-0723/hillary-clinton-wants-you-imagine-headlines-after-trump-win","Read full story","http://www.huffingtonpost.com/entry/donald-trump-wins_us_581c7236e4b0d9ce6fbb2b9b"
"1590533268-9383","https://www.allsides.com/topics/elections?search=elections&page=275","Trump's campaign manager cashes in","https://www.allsides.com/news/2016-10-03-1023/trumps-campaign-manager-cashes","Read full story","http://www.politico.com/story/2016/10/trumps-campaign-manager-kellyanne-conway-229027"
"1590513652-5010","https://www.allsides.com/topics/elections?search=elections&page=547","Insiders: Trump and Clinton will carry Iowa","https://www.allsides.com/news/2016-02-01-0719/insiders-trump-and-clinton-will-carry-iowa","Read full story","http://www.politico.com/story/2016/02/insiders-trump-and-clinton-will-carry-iowa-218492"
"1590519598-6293","https://www.allsides.com/topics/elections?search=elections&page=469","They can't stand Cruz, but they're voting for him anyway","https://www.allsides.com/news/2016-03-31-0749/they-cant-stand-cruz-theyre-voting-him-anyway","Read full story","http://www.politico.com/story/2016/03/wisconsin-paul-ryan-ted-cruz-221337"
"1590545038-10950","https://www.allsides.com/topics/elections?search=elections&page=108","2 winners and 4 losers from Trump’s 2020 reelection campaign launch speech","https://www.allsides.com/news/2019-06-19-0643/2-winners-and-4-losers-trump%E2%80%99s-2020-reelection-campaign-launch-speech","Read full story","https://www.vox.com/policy-and-politics/2019/6/18/18684463/trump-2020-reelection-speech-rally-keep-america-great"
"1590524074-7339","https://www.allsides.com/topics/elections?search=elections&page=409","Inside the GOP effort to draft an independent candidate to derail Trump","https://www.allsides.com/news/2016-05-15-0919/inside-gop-effort-draft-independent-candidate-derail-trump","Read full story","https://www.washingtonpost.com/politics/inside-the-gop-effort-to-draft-an-independent-candidate-to-derail-trump/2016/05/14/1b04682e-1877-11e6-924d-838753295f9a_story.html"
"1590535639-9746","https://www.allsides.com/topics/elections?search=elections&page=236","9 ways to make voting better","https://www.allsides.com/news/2016-11-07-0732/9-ways-make-voting-better","Read full story","http://www.vox.com/policy-and-politics/2016/11/7/13533990/voting-improvements-election-2016"
"1590522545-7001","https://www.allsides.com/topics/elections?search=elections&page=427","Jeb Bush breaks his silence, calls for a contested convention","https://www.allsides.com/news/2016-05-02-1120/jeb-bush-breaks-his-silence-calls-contested-convention","Read full story","http://www.cnn.com/2016/04/28/politics/jeb-bush-jamie-gangel-interview-reflective/?iid=ob_article_footer_expansion"
