web-scraper-order,web-scraper-start-url,link,link-href
"1589955557-13917","https://www.nytimes.com/section/politics","On Politics: Hopeful Virus News (This Is Not a Drill)Vaccine testing progresses, and Trump makes an admission: This is your morning tip sheet.By Giovanni Russonello","https://www.nytimes.com/2020/05/19/us/politics/coronavirus-vaccine.html"
"1589955557-13994","https://www.nytimes.com/section/politics","Republican Wins House Seat in California Special ElectionMike Garcia, who won the endorsement of President Trump, flipped California’s 25th Congressional District after Representative Katie Hill, a Democrat, resigned last year.By Jennifer Medina","https://www.nytimes.com/2020/05/13/us/politics/christy-smith-mike-garcia.html"
"1589955557-13993","https://www.nytimes.com/section/politics","Aircraft Carrier Fought the Virus For Weeks. Now It’s Back Aboard.A sailor infected with the coronavirus was quickly whisked off the ship, which is docked in Guam as Navy officials prepare for the vessel to deploy.By Thomas Gibbons-Neff, Eric Schmitt and Helene Cooper","https://www.nytimes.com/2020/05/13/us/politics/coronavirus-navy-theodore-roosevelt.html"
"1589955557-13926","https://www.nytimes.com/section/politics","On Politics With Lisa LererCan Biden Expand the Map?There are signs that Joe Biden’s campaign is exploring more paths to victory in the Electoral College than recent Democratic nominees.By Lisa Lerer","https://www.nytimes.com/2020/05/18/us/politics/joe-biden-electoral-map.html"
"1589955557-13928","https://www.nytimes.com/section/politics","How Immigrant Twin Brothers Are Beating Trump’s Team on FacebookOccupy Democrats, a Facebook page that Rafael and Omar Rivero started eight years ago, has emerged as a counterweight to right-wing meme machines.By Nick Corasaniti","https://www.nytimes.com/2020/05/18/us/politics/occupy-democrats-facebook.html"
"1589955557-13905","https://www.nytimes.com/section/politics","Amid Hydroxychloroquine Uproar, Real Studies of Drug Are SufferingThe political fights around a malaria drug that President Trump says he takes daily have impeded studies into whether it works to prevent coronavirus infection or treat Covid-19 early.By Sheryl Gay Stolberg","https://www.nytimes.com/2020/05/19/us/politics/hydroxychloroquine-trump-coronavirus.html"
"1589955557-13934","https://www.nytimes.com/section/politics","TimesVideoMany in Charge ‘Aren’t Even Pretending to Be,’ Obama Says to GraduatesIn two virtual commencement speeches, former President Barack Obama called on the Class of 2020 to lead change in the face of the coronavirus pandemic.By Reuters and Associated Press","https://www.nytimes.com/video/us/politics/obama-graduation-speech-class-of-2020.html"
"1589955557-14013","https://www.nytimes.com/section/politics","Intelligence Chief Declassifies List of Obama-Era Names in Unusual StepRichard Grenell has given the list to the Justice Department as the president and his allies press to reshape perception of the Russian investigation.By Julian E. Barnes and Katie Benner","https://www.nytimes.com/2020/05/12/us/politics/richard-grenell-declassification-unmasking-list.html"
"1589955557-13961","https://www.nytimes.com/section/politics","On Politics With Lisa LererYour Questions: Voting by Mail, Tara Reade, Congressional TravelIt’s time to open the mailbag.By Lisa Lerer","https://www.nytimes.com/2020/05/14/us/politics/on-politics-readers-questions.html"
"1589955557-13946","https://www.nytimes.com/section/politics","Man Faces Terrorism Charge After Threatening to Kill Michigan’s Governor, Officials SayRobert S. Tesh made “credible threats” via social media messages to kill Gov. Gretchen Whitmer and Michigan’s attorney general, Dana Nessel, the authorities said.By Christopher Mele","https://www.nytimes.com/2020/05/15/us/virus-michigan-whitmer-threats.html"
"1589955557-13962","https://www.nytimes.com/section/politics","Trump’s Ad Team Blitzes Biden, Spending Millions to Define Him Early in the RacePresident Trump’s campaign has launched a long-promised barrage of attack ads against Joseph R. Biden Jr., focusing on his age and his past comments on China.By Nick Corasaniti and Maggie Haberman","https://www.nytimes.com/2020/05/14/us/politics/trump-biden-attack-ads.html"
"1589955557-13963","https://www.nytimes.com/section/politics","District of Columbia Is Investigating Trump Nominee to Lead Media AgencyThe announcement was a significant setback in the effort to quickly confirm Michael Pack, a conservative filmmaker President Trump has personally lobbied to install.By Catie Edmondson","https://www.nytimes.com/2020/05/14/us/politics/michael-pack-trump-nominee.html"
"1589955557-13935","https://www.nytimes.com/section/politics","Fed Chair Says Economic Recovery May ‘Stretch’ Through End of 2021Jerome H. Powell, who heads the central bank, predicted a slow economic recovery and reiterated that policymakers may need to do more.By Jeanna Smialek","https://www.nytimes.com/2020/05/17/business/economy/fed-powell-economic-recovery.html"
"1589955557-14002","https://www.nytimes.com/section/politics","On Annexation, a Green Light Turns Yellow, Pompeo’s Visit to Israel SignalsAlthough the secretary of state took pains to avoid publicly addressing the issue, he seemed to caution Israel’s leadership against moving too quickly to annex occupied territory.By David M. Halbfinger and Lara Jakes","https://www.nytimes.com/2020/05/13/world/middleeast/israel-pompeo-annexation-netanyahu.html"
