web-scraper-order,web-scraper-start-url,link,link-href
"1589957242-14120","https://www.nytimes.com/search?query=china","China’s Aggressive Diplomacy Weakens Xi Jinping’s Global StandingIn the past week officials in France, Britain and nearly two dozen African nations have rebuked actions or statements by the Chinese government.By Steven Lee MyersPRINT EDITIONAggressive Diplomacy Hurts Xi’s Global Image|April 18, 2020, Page A5","https://www.nytimes.com/2020/04/17/world/asia/coronavirus-china-xi-jinping.html?searchResultPosition=94"
"1589957242-14065","https://www.nytimes.com/search?query=china","Here’s How Wuhan Plans to Test All 11 Million of Its People for CoronavirusThe Chinese city’s goal is unrivaled in scale. But a top expert has questioned the need for it, given the low number of infections.By Sui-Lee Wee and Vivian WangPRINT EDITIONPlan to Test All 11 Million In Wuhan Is Ambitious. Perhaps Too Ambitious.|May 15, 2020, Page A6","https://www.nytimes.com/2020/05/14/world/asia/coronavirus-testing-china-wuhan.html?searchResultPosition=44"
"1589957242-14101","https://www.nytimes.com/search?query=china","No More Jenga, No More ‘Amen’ as Cities Learn to Live With CoronavirusIn parts of Asia and Australia, people are going out — but social distancing and other restrictions have become the new normal.By Javier C. Hernández and Su-Hyun LeePRINT EDITIONNo More Jenga And No ‘Amen’ As Asia Adapts|May 3, 2020, Page A1","https://www.nytimes.com/2020/05/02/world/asia/coronavirus-china-hong-kong-south-korea-australia.html?searchResultPosition=76"
"1589957242-14136","https://www.nytimes.com/search?query=china","What Is the Coronavirus Doing to North Korea?There are no cases here, Kim Jong-un’s government claims, while acting as if its survival were at stake.By Nicholas Eberstadt","https://www.nytimes.com/2020/04/22/opinion/kim-jong-un-coronavirus-north-korea.html?searchResultPosition=108"
"1589957242-14105","https://www.nytimes.com/search?query=china","Companies Sell the Blood of Recovered Coronavirus Patients for Exorbitant PricesThe W.H.O. extends the global health emergency as deaths near 240,000, and our New Delhi correspondent paints a portrait of a fearful city.PRINT EDITIONMay 1, 2020","https://www.nytimes.com/2020/05/01/world/coronavirus-news.html?searchResultPosition=80"
"1589957242-14055","https://www.nytimes.com/search?query=china","Continue reading the main story","https://www.nytimes.com/search?query=china#after-dfp-ad-mid4"
"1589957242-14113","https://www.nytimes.com/search?query=china","China Raises Coronavirus Death Toll by 50% in WuhanOfficials facing skepticism about their credibility also bumped up their tally of infections in the city where the pandemic emerged.By Amy Qin","https://www.nytimes.com/2020/04/17/world/asia/china-wuhan-coronavirus-death-toll.html?searchResultPosition=87"
"1589957242-14218","https://www.nytimes.com/search?query=china","Lockdown Can’t Last Forever. Here’s How to Lift It.We need to hit and release the brakes on physical distancing, again and again, until we safely get to immunity.By Gabriel Leung","https://www.nytimes.com/2020/04/06/opinion/coronavirus-end-social-distancing.html?searchResultPosition=183"
"1589957242-14131","https://www.nytimes.com/search?query=china","The Reclusive Food Celebrity Li Ziqi Is My Quarantine QueenIn isolation, the D.I.Y. fantasy world of the Chinese YouTube star is a dreamy escape, and a lesson in self-reliance.By Tejal RaoPRINT EDITIONA Fantasy Princess Living Off the Land|April 29, 2020, Page D3","https://www.nytimes.com/2020/04/22/dining/li-ziqi-chinese-food.html?searchResultPosition=104"
"1589957242-14040","https://www.nytimes.com/search?query=china","Trump Says He’s ‘Torn’ on China Deal as Advisers Signal Harmony on TradeThe president’s comments, coming just hours after advisers said the agreement was on track, indicate an increasingly unstable relationship.By Ana Swanson and Keith BradsherPRINT EDITIONTrump Casts Doubt on China Deal, After Advisers Back It|May 9, 2020, Page B3","https://www.nytimes.com/2020/05/08/business/us-china-trade-coronavirus.html?searchResultPosition=21"
"1589957242-14211","https://www.nytimes.com/search?query=china","Chad’s Ex-President, Sentenced to Life, Given Temporary Reprieve From PrisonHissène Habré, the former president of Chad who was convicted of crimes against humanity, was freed from his prison cell for 60 days for humanitarian reasons.By Ruth MacleanPRINT EDITIONApril 7, 2020","https://www.nytimes.com/2020/04/06/world/africa/Hissene-Habre-chad-senegal.html?searchResultPosition=176"
"1589957242-14125","https://www.nytimes.com/search?query=china","Nearly All Patients Hospitalized With Covid-19 Had Chronic Health Issues, Study FindsOnly 6 percent of patients at one New York area health system had no chronic conditions. Hypertension, obesity and diabetes were common.By Roni Caryn RabinPRINT EDITIONApril 24, 2020","https://www.nytimes.com/2020/04/23/health/coronavirus-patients-risk.html?searchResultPosition=98"
"1589957242-14239","https://www.nytimes.com/search?query=china","Will the Virus Trigger a Second Arab Spring?The coronavirus outbreak is likely to bring into focus the legitimacy and governance deficit of troubled Middle Eastern regimes.By Frederic Wehrey","https://www.nytimes.com/2020/04/06/opinion/middleeast-coronavirus.html?searchResultPosition=202"
"1589957242-14146","https://www.nytimes.com/search?query=china","China Delays Mask and Ventilator Exports After Quality ComplaintsChinese customs officials, facing accusations from Europe that some medical supplies have been defective, say they will inspect every shipment.By Keith BradsherPRINT EDITIONExports of Supplies Are Delayed as Officials Add a Layer of Quality Control|April 12, 2020, Page A8","https://www.nytimes.com/2020/04/11/business/china-mask-exports-coronavirus.html?searchResultPosition=117"
"1589957242-14067","https://www.nytimes.com/search?query=china","Trump Abruptly Walks Out of Coronavirus News ConferencePresident Trump cut off his news briefing after a Chinese-American reporter pressed him on why he suggested she “ask China” to respond to her question on coronavirus death rates.By The Associated Press","https://www.nytimes.com/video/us/politics/100000007133876/trump-ends-coronavirus-news-conference-reporters.html?searchResultPosition=45"
"1589957242-14147","https://www.nytimes.com/search?query=china","W.H.O., Now Trump’s Scapegoat, Warned About Coronavirus Early and OftenThe World Health Organization, always cautious, acted more forcefully and faster than many national governments. But President Trump has decided to cut off U.S. funding to the organization.By Richard Pérez-Peña and Donald G. McNeil Jr.PRINT EDITION‘A Window’ to Stop the Virus: Warnings Came Early and Often|April 17, 2020, Page A6","https://www.nytimes.com/2020/04/16/health/WHO-Trump-coronavirus.html?searchResultPosition=118"
"1589957242-14026","https://www.nytimes.com/search?query=china","From ‘Respect’ to ‘Sick and Twisted’: How Coronavirus Hit U.S.-China TiesA sharp escalation of tensions over the handling of the pandemic has raised the specter of a new Cold War.By Chris Buckley and Steven Lee MyersPRINT EDITIONRift Threatens U.S. Cold War Against China|May 16, 2020, Page A1","https://www.nytimes.com/2020/05/15/world/asia/coronavirus-china-united-states-cold-war.html?searchResultPosition=8"
"1589957242-14048","https://www.nytimes.com/search?query=china","Hong Kong Legislators Brawl Amid Fears Over Widening Chinese ControlThe scuffles erupted as lawmakers debated the leadership of a committee that would consider legislation that would make it illegal to insult the Chinese national anthem.By Tiffany MayPRINT EDITIONHong Kong Lawmakers Brawl Over Bill Set to Punish National Anthem Protests|May 19, 2020, Page A17","https://www.nytimes.com/2020/05/18/world/asia/hong-kong-protests-fight-legco.html?searchResultPosition=28"
"1589957242-14165","https://www.nytimes.com/search?query=china","Continue reading the main story","https://www.nytimes.com/search?query=china#after-dfp-ad-mid14"
"1589957242-14203","https://www.nytimes.com/search?query=china","How to Quarantine YourselfThousands who may have been exposed to the coronavirus have been asked to seclude themselves. It’s harder than it sounds.By Roni Caryn Rabin","https://www.nytimes.com/article/quarantine-coronavirus.html?searchResultPosition=169"
"1589957242-14074","https://www.nytimes.com/search?query=china","We’re All Casualties of Trump’s War on ScienceThe administration kneecaps experts as the coronavirus rages.By Michelle GoldbergPRINT EDITIONWe’re Casualties of Trump’s War on Science|May 12, 2020, Page A26","https://www.nytimes.com/2020/05/11/opinion/coronavirus-trump.html?searchResultPosition=52"
"1589957242-14032","https://www.nytimes.com/search?query=china","Federal Retirement Fund Halts Planned China Investment Under PressureThe change in plans for the $600 billion Thrift Savings Plan for federal workers comes as the Trump administration ramps up criticism of China.By Ana SwansonPRINT EDITIONFederal Retirement Fund Stops Planned Investment in China Stocks|May 14, 2020, Page B5","https://www.nytimes.com/2020/05/13/business/economy/china-tsp-federal-retirement-fund.html?searchResultPosition=14"
"1589957242-14100","https://www.nytimes.com/search?query=china","Profits and Pride at Stake, the Race for a Vaccine IntensifiesGovernments, companies and academic labs are accelerating their efforts amid geopolitical crosscurrents, questions about safety and the challenges of producing enough doses for billions of people.By David E. Sanger, David D. Kirkpatrick, Carl Zimmer, Katie Thomas and Sui-Lee WeePRINT EDITIONProfits and Pride at Stake, Race to Vaccine Intensifies|May 3, 2020, Page A1","https://www.nytimes.com/2020/05/02/us/politics/vaccines-coronavirus-research.html?searchResultPosition=75"
"1589957242-14208","https://www.nytimes.com/search?query=china","When Will N.Y.C. Reach the Peak of the Outbreak? Here’s What We KnowIt might be soon; it might be a month away. There’s reason to hope, and reason to be wary.By Joseph GoldsteinPRINT EDITIONApril 7, 2020","https://www.nytimes.com/2020/04/06/nyregion/coronavirus-new-york-peak.html?searchResultPosition=174"
"1589957242-14193","https://www.nytimes.com/search?query=china","What We Tell Children When the World Seems UnsafeWe have to teach the safety drills for our time, summon our often precarious reserves of courage and find our lullabies where we can.By Perri Klass, M.D.","https://www.nytimes.com/2020/04/07/well/family/virus-children-songs-WWII-safety.html?searchResultPosition=160"
"1589957242-14144","https://www.nytimes.com/search?query=china","While the World Spends on Coronavirus Bailouts, China Holds BackBeijing has tried to protect jobs and spur lending, but it may have to do more to get its huge, damaged and incredibly complex economy going again.By Keith BradsherPRINT EDITIONThe World Is Turning to Bailouts, but China Is Holding Back|April 10, 2020, Page B7","https://www.nytimes.com/2020/04/09/business/economy/coronavirus-china-economy-stimulus.html?searchResultPosition=115"
