web-scraper-order,web-scraper-start-url,link,link-href
"1589954749-12907","https://www.wsj.com/search/term.html?KEYWORDS=china&mod=searchresults_viewallresults&page=4","Campaigns, Like the Country, Begin Reawakening","https://www.wsj.com/articles/campaigns-like-the-country-begin-reawakening-11589601690?mod=searchresults&page=4&pos=7"
"1589954775-12945","https://www.wsj.com/search/term.html?KEYWORDS=china&mod=searchresults_viewallresults&page=2","Newsletter: U.S. Companies Bet on China’s Economic Future","https://www.wsj.com/articles/newsletter-u-s-companies-bet-on-chinas-economic-future-01589884918?mod=searchresults&page=2&pos=5"
"1589954657-12811","https://www.wsj.com/search/term.html?KEYWORDS=china&mod=searchresults_viewallresults&page=9","Congress to Investigate Protective-Gear Supplier Blue Flame","https://www.wsj.com/articles/congress-to-investigate-protective-gear-supplier-blue-flame-11589299028?mod=searchresults&page=9&pos=11"
"1589954790-12964","https://www.wsj.com/search/term.html?KEYWORDS=china&mod=searchresults_viewallresults&page=1","U.S. Sanctions Chinese Company, Alleges Ties to Iran’s Mahan Air","https://www.wsj.com/articles/u-s-sanctions-chinese-company-alleges-ties-to-irans-mahan-air-11589932818?mod=searchresults&page=1&pos=4"
"1589954636-12772","https://www.wsj.com/search/term.html?KEYWORDS=china&mod=searchresults_viewallresults&page=11","Indian and Chinese Troops in Scuffle on Disputed Border","https://www.wsj.com/articles/indian-and-chinese-troops-clash-on-disputed-border-11589120817?mod=searchresults&page=11&pos=12"
"1589954636-12774","https://www.wsj.com/search/term.html?KEYWORDS=china&mod=searchresults_viewallresults&page=11","Tesla Files Lawsuit in Bid to Reopen Fremont Factory","https://www.wsj.com/articles/elon-musk-threatens-authorities-over-mandated-tesla-factory-shutdown-11589046681?mod=searchresults&page=11&pos=14"
"1589954657-12819","https://www.wsj.com/search/term.html?KEYWORDS=china&mod=searchresults_viewallresults&page=9","Huawei Struggles to Get Along Without Google","https://www.wsj.com/articles/huawei-struggles-to-get-along-without-google-11589277481?mod=searchresults&page=9&pos=19"
"1589954731-12896","https://www.wsj.com/search/term.html?KEYWORDS=china&mod=searchresults_viewallresults&page=5","Apple Supplier Foxconn, Hit By Coronavirus, Posts 90% Profit Drop","https://www.wsj.com/articles/apple-supplier-foxconns-profit-plunges-90-11589527830?mod=searchresults&page=5&pos=16"
"1589954763-12930","https://www.wsj.com/search/term.html?KEYWORDS=china&mod=searchresults_viewallresults&page=3","Trump Again Considering Withholding WHO Funding","https://www.wsj.com/articles/trump-says-u-s-is-considering-restoring-some-who-funding-11589637361?mod=searchresults&page=3&pos=10"
"1589954790-12965","https://www.wsj.com/search/term.html?KEYWORDS=china&mod=searchresults_viewallresults&page=1","Cleaning Up a Chinese Coffee Spill","https://www.wsj.com/articles/cleaning-up-a-chinese-coffee-spill-11589930591?mod=searchresults&page=1&pos=5"
"1589954709-12880","https://www.wsj.com/search/term.html?KEYWORDS=china&mod=searchresults_viewallresults&page=6","VC Daily: Some Comfort for PPP Applicants; Cathay Capital Reloads; Startups Roll Out Contact-Tracing Apps","https://www.wsj.com/articles/vc-daily-some-comfort-for-ppp-applicants-cathay-capital-reloads-startups-roll-out-contact-tracing-apps-11589462193?mod=searchresults&page=6&pos=20"
"1589954687-12855","https://www.wsj.com/search/term.html?KEYWORDS=china&mod=searchresults_viewallresults&page=7","Regulators Deny Approval of Chinese Masks in Giant California Order","https://www.wsj.com/articles/u-s-regulators-deny-n95-mask-approval-bid-by-china-s-byd-11589387949?mod=searchresults&page=7&pos=15"
"1589954731-12883","https://www.wsj.com/search/term.html?KEYWORDS=china&mod=searchresults_viewallresults&page=5","Doctors Are Tweeting About Coronavirus to Make Facts Go Viral","https://www.wsj.com/articles/doctors-are-tweeting-about-coronavirus-to-make-facts-go-viral-11589558880?mod=searchresults&page=5&pos=3"
"1589954657-12806","https://www.wsj.com/search/term.html?KEYWORDS=china&mod=searchresults_viewallresults&page=9","Murky Public Evidence on Wuhan Lab Leak","https://www.wsj.com/articles/murky-public-evidence-on-wuhan-lab-leak-11589307690?mod=searchresults&page=9&pos=6"
"1589954709-12879","https://www.wsj.com/search/term.html?KEYWORDS=china&mod=searchresults_viewallresults&page=6","U.S. Says Chinese, Iranian Hackers Seek to Steal Coronavirus Research","https://www.wsj.com/articles/chinese-iranian-hacking-may-be-hampering-search-for-coronavirus-vaccine-officials-say-11589362205?mod=searchresults&page=6&pos=19"
"1589954775-12952","https://www.wsj.com/search/term.html?KEYWORDS=china&mod=searchresults_viewallresults&page=2","Chinese Lockdown Redux","https://www.wsj.com/articles/chinese-lockdown-redux-11589843868?mod=searchresults&page=2&pos=12"
"1589954657-12801","https://www.wsj.com/search/term.html?KEYWORDS=china&mod=searchresults_viewallresults&page=9","China Wants to Help the World Fight Coronavirus","https://www.wsj.com/articles/china-wants-to-help-the-world-fight-coronavirus-11589322607?mod=searchresults&page=9&pos=1"
"1589954775-12950","https://www.wsj.com/search/term.html?KEYWORDS=china&mod=searchresults_viewallresults&page=2","The Daily Shot: Fund Managers Still Positioned Defensively, Fueling the Rally","https://www.wsj.com/articles/the-daily-shot-fund-managers-still-positioned-defensively-fueling-the-rally-01589878305?mod=searchresults&page=2&pos=10"
"1589954763-12928","https://www.wsj.com/search/term.html?KEYWORDS=china&mod=searchresults_viewallresults&page=3","The Daily Shot: The U.S. Economy to Shrink by Nearly a Third This Quarter","https://www.wsj.com/articles/the-daily-shot-the-u-s-economy-to-shrink-by-nearly-a-third-this-quarter-01589794102?mod=searchresults&page=3&pos=8"
"1589954646-12785","https://www.wsj.com/search/term.html?KEYWORDS=china&mod=searchresults_viewallresults&page=10","Biden Wouldn’t Be a Second Obama","https://www.wsj.com/articles/biden-wouldnt-be-a-second-obama-11589235240?mod=searchresults&page=10&pos=5"
"1589954687-12850","https://www.wsj.com/search/term.html?KEYWORDS=china&mod=searchresults_viewallresults&page=7","Transcript: Q&A With the Richmond Fed’s Thomas Barkin","https://www.wsj.com/articles/transcript-q-a-with-the-richmond-feds-thomas-barkin-11589413810?mod=searchresults&page=7&pos=10"
"1589954775-12947","https://www.wsj.com/search/term.html?KEYWORDS=china&mod=searchresults_viewallresults&page=2","Neither Coronavirus Nor Trade Tensions Can Stop U.S. Companies’ Push Into China","https://www.wsj.com/articles/neither-coronavirus-nor-trade-tensions-can-stop-u-s-companies-push-into-china-11589880603?mod=searchresults&page=2&pos=7"
"1589954687-12845","https://www.wsj.com/search/term.html?KEYWORDS=china&mod=searchresults_viewallresults&page=7","Is It Safe to Reopen Schools During Covid-19 Pandemic? Europe Is About to Find Out","https://www.wsj.com/articles/is-it-safe-to-reopen-schools-europe-is-about-to-find-out-11589278169?mod=searchresults&page=7&pos=5"
"1589954763-12939","https://www.wsj.com/search/term.html?KEYWORDS=china&mod=searchresults_viewallresults&page=3","Wary of U.S. Crude, Investors Bet on Gasoline and Brent","https://www.wsj.com/articles/wary-of-u-s-crude-investors-bet-on-gasoline-and-brent-11589708120?mod=searchresults&page=3&pos=19"
"1589954667-12827","https://www.wsj.com/search/term.html?KEYWORDS=china&mod=searchresults_viewallresults&page=8","Cyber Daily: California Privacy Proposal Counters Efforts to Weaken Existing Law; Officials Say Hacking May Be Hampering Vaccine Search","https://www.wsj.com/articles/cyber-daily-california-privacy-proposal-counters-efforts-to-weaken-existing-law-officials-say-hacking-may-be-hampering-vaccine-search-11589375611?mod=searchresults&page=8&pos=7"
"1589954763-12940","https://www.wsj.com/search/term.html?KEYWORDS=china&mod=searchresults_viewallresults&page=3","China Told Labs to Destroy Coronavirus Samples to Reduce Biosafety Risks","https://www.wsj.com/articles/china-told-labs-to-destroy-coronavirus-samples-to-reduce-biosafety-risks-11589684291?mod=searchresults&page=3&pos=20"
"1589954636-12776","https://www.wsj.com/search/term.html?KEYWORDS=china&mod=searchresults_viewallresults&page=11","Photos of the Week: May 3-9, 2020","https://www.wsj.com/articles/photos-of-the-week-may-3-9-2020-11589108400?mod=searchresults&page=11&pos=16"
