web-scraper-order,web-scraper-start-url,link,link-href
"1589954979-13051","https://www.wsj.com/search/term.html?KEYWORDS=capital%20journal&min-date=2016/05/20&max-date=2020/05/20&isAdvanced=true&daysback=4y&articleType=Capital%20Journal&andor=AND&sort=date-desc&source=wsjarticle,wsjblogs,wsjvideo,sitesearch&page=17","Trump Finds Controversy, Attacks It—and Moves On","https://www.wsj.com/articles/trump-finds-controversy-attacks-itand-moves-on-1484167798?mod=searchresults&page=17&pos=9"
"1589955229-13440","https://www.wsj.com/search/term.html?KEYWORDS=capital%20journal&min-date=2016/05/20&max-date=2020/05/20&isAdvanced=true&daysback=4y&articleType=Capital%20Journal&andor=AND&sort=date-desc&source=wsjarticle,wsjblogs,wsjvideo,sitesearch&page=3","Klobuchar Approaches Her Now-or-Never Iowa Moment","https://www.wsj.com/articles/klobuchar-approaches-her-now-or-never-iowa-moment-11575908291?mod=searchresults&page=3&pos=7"
"1589955229-13448","https://www.wsj.com/search/term.html?KEYWORDS=capital%20journal&min-date=2016/05/20&max-date=2020/05/20&isAdvanced=true&daysback=4y&articleType=Capital%20Journal&andor=AND&sort=date-desc&source=wsjarticle,wsjblogs,wsjvideo,sitesearch&page=3","Biden Pushes Global Engagement. Do His Competitors Agree?","https://www.wsj.com/articles/biden-pushes-global-engagement-do-his-competitors-agree-11572877131?mod=searchresults&page=3&pos=15"
"1589955240-13460","https://www.wsj.com/search/term.html?KEYWORDS=capital%20journal&min-date=2016/05/20&max-date=2020/05/20&isAdvanced=true&daysback=4y&articleType=Capital%20Journal&andor=AND&sort=date-desc&source=wsjarticle,wsjblogs,wsjvideo,sitesearch&page=2","Pete Buttigieg Stakes Out a Unique Space in the Democratic Field","https://www.wsj.com/articles/pete-buttigieg-stakes-out-a-unique-space-in-the-democratic-field-11581351970?mod=searchresults&page=2&pos=7"
"1589955034-13254","https://www.wsj.com/search/term.html?KEYWORDS=capital%20journal&min-date=2016/05/20&max-date=2020/05/20&isAdvanced=true&daysback=4y&articleType=Capital%20Journal&andor=AND&sort=date-desc&source=wsjarticle,wsjblogs,wsjvideo,sitesearch&page=12","Bond Wizard Chris Rokos Hits a Bump","https://www.wsj.com/articles/bond-wizard-chris-rokos-hits-a-bump-1507892400?mod=searchresults&page=12&pos=20"
"1589954944-12987","https://www.wsj.com/search/term.html?KEYWORDS=capital%20journal&min-date=2016/05/20&max-date=2020/05/20&isAdvanced=true&daysback=4y&articleType=Capital%20Journal&andor=AND&sort=date-desc&source=wsjarticle,wsjblogs,wsjvideo,sitesearch&page=20","Republican Heavy Hitters Maneuver With an Eye on 2020","https://www.wsj.com/articles/republican-heavy-hitters-maneuver-with-an-eye-on-2020-1469136119?mod=searchresults&page=20&pos=5"
"1589954944-12994","https://www.wsj.com/search/term.html?KEYWORDS=capital%20journal&min-date=2016/05/20&max-date=2020/05/20&isAdvanced=true&daysback=4y&articleType=Capital%20Journal&andor=AND&sort=date-desc&source=wsjarticle,wsjblogs,wsjvideo,sitesearch&page=20","How the 1930s Echo in Today’s Politics","https://www.wsj.com/articles/how-the-1930s-echo-in-todays-politics-1467046457?mod=searchresults&page=20&pos=12"
"1589955229-13442","https://www.wsj.com/search/term.html?KEYWORDS=capital%20journal&min-date=2016/05/20&max-date=2020/05/20&isAdvanced=true&daysback=4y&articleType=Capital%20Journal&andor=AND&sort=date-desc&source=wsjarticle,wsjblogs,wsjvideo,sitesearch&page=3","‘The Evening Star’ Review: The Capital in Hot Type","https://www.wsj.com/articles/the-evening-star-review-the-capital-in-hot-type-11574967133?mod=searchresults&page=3&pos=9"
"1589955002-13100","https://www.wsj.com/search/term.html?KEYWORDS=capital%20journal&min-date=2016/05/20&max-date=2020/05/20&isAdvanced=true&daysback=4y&articleType=Capital%20Journal&andor=AND&sort=date-desc&source=wsjarticle,wsjblogs,wsjvideo,sitesearch&page=15","Senators Set to Write Their Own Version of the GOP Health Bill","https://www.wsj.com/articles/senators-set-to-write-their-own-version-of-the-gop-health-bill-1493940052?mod=searchresults&page=15&pos=6"
"1589955034-13245","https://www.wsj.com/search/term.html?KEYWORDS=capital%20journal&min-date=2016/05/20&max-date=2020/05/20&isAdvanced=true&daysback=4y&articleType=Capital%20Journal&andor=AND&sort=date-desc&source=wsjarticle,wsjblogs,wsjvideo,sitesearch&page=12","Zimbabwe’s Military Asserts Control; President Mugabe Confined to His Home","https://www.wsj.com/articles/explosions-heard-in-zimbabwes-capital-1510712556?mod=searchresults&page=12&pos=11"
