web-scraper-order,web-scraper-start-url,link,link-href
"1589875440-103","https://www.washingtonpost.com/elections/?itid=nb_hp_elections","Illinois Rep. Lipinski loses to insurgent Marie Newman in high-profile Democratic primary rematch","https://www.washingtonpost.com/politics/illinois-rep-lipinski-trails-insurgent-in-high-profile-democratic-primary-rematch/2020/03/17/6be4fdae-6863-11ea-9923-57073adce27c_story.html"
"1589875440-183","https://www.washingtonpost.com/elections/?itid=nb_hp_elections","What is Super Tuesday and why is it important?","https://www.washingtonpost.com/politics/2020/02/19/what-is-super-tuesday/"
"1589875440-184","https://www.washingtonpost.com/elections/?itid=nb_hp_elections","5 takeaways from Super Tuesday","https://www.washingtonpost.com/politics/2020/03/04/takeaways-super-tuesday/"
"1589875440-140","https://www.washingtonpost.com/elections/?itid=nb_hp_elections","Could Sanders beat Trump in Michigan? These voters think he’s their only hope.","https://www.washingtonpost.com/politics/could-sanders-beat-trump-in-michigan-these-voters-think-hes-their-only-hope/2020/03/10/c00e21b4-6244-11ea-b3fc-7841686c5c57_story.html"
"1589875440-100","https://www.washingtonpost.com/elections/?itid=nb_hp_elections","Bernie Sanders says he’s staying in the presidential race. Many Democrats fear a reprise of their 2016 defeat.","https://www.washingtonpost.com/politics/bernie-sanders-says-hes-staying-in-the-presidential-race-many-democrats-fear-a-reprise-of-their-2016-defeat/2020/03/28/a6b8a8dc-7032-11ea-a3ec-70d7479d83f0_story.html"
"1589875440-54","https://www.washingtonpost.com/elections/?itid=nb_hp_elections","Thousands of candidates reinventing politics on the fly for the age of pandemic","https://www.washingtonpost.com/politics/thousands-of-candidates-reinventing-politics-on-the-fly-for-the-age-of-pandemic/2020/04/25/99d22368-863b-11ea-ae26-989cfce1c7c7_story.html"
"1589875440-72","https://www.washingtonpost.com/elections/?itid=nb_hp_elections","Sen. Elizabeth Warren endorses former vice president Joe Biden as allies ponder her future role","https://www.washingtonpost.com/politics/sen-elizabeth-warren-endorses-former-vice-president-joe-biden/2020/04/15/a1f59ba8-7f18-11ea-8013-1b6da0e4a2b7_story.html"
"1589875440-162","https://www.washingtonpost.com/elections/?itid=nb_hp_elections","Biden picks up endorsement from Michigan’s governor ahead of its primary next week","https://www.washingtonpost.com/politics/biden-picks-up-endorsement-from-michigans-governor-ahead-of-its-primary-next-week/2020/03/05/12ab8312-5ee9-11ea-b29b-9db42f7803a7_story.html"
"1589875440-22","https://www.washingtonpost.com/elections/?itid=nb_hp_elections","Former Senate aide Tara Reade calls on Joe Biden to withdraw from presidential race","https://www.washingtonpost.com/politics/former-senate-aide-tara-reade-calls-on-joe-biden-to-withdraw-from-presidential-race/2020/05/07/38b4846c-908c-11ea-9e23-6914ee410a5f_story.html"
"1589875440-38","https://www.washingtonpost.com/elections/?itid=nb_hp_elections","Read Joe Biden’s full statement on Tara Reade’s sexual assault allegations","https://www.washingtonpost.com/politics/2020/05/01/read-joe-bidens-full-statement-tara-reades-sexual-assault-allegations/"
"1589875440-182","https://www.washingtonpost.com/elections/?itid=nb_hp_elections","All of a sudden, Sanders’s 2020 looks a lot like his 2016","https://www.washingtonpost.com/politics/2020/03/04/all-sudden-sanderss-2020-looks-lot-like-his-2016/"
"1589875440-45","https://www.washingtonpost.com/elections/?itid=nb_hp_elections","Justin Amash could have a big impact on the 2020 presidential race. But how?","https://www.washingtonpost.com/politics/2020/04/29/justin-amash-could-have-big-impact-2020-presidential-race-how/"
