web-scraper-order,web-scraper-start-url,link,link-href
"1589874744-1690","https://www.washingtonpost.com/news/fact-checker/?itid=sf_politics_subnav","How to spot manipulated video, from The Post’s Fact Checker","https://www.washingtonpost.com/politics/2019/06/25/how-spot-manipulated-video-posts-fact-checker/"
"1589874744-1524","https://www.washingtonpost.com/news/fact-checker/?itid=sf_politics_subnav","Did Trump ship 17 tons of ‘American’ masks and medical supplies to China?","https://www.washingtonpost.com/politics/2020/04/22/did-trump-ship-17-tons-american-masks-china/"
"1589874744-1556","https://www.washingtonpost.com/news/fact-checker/?itid=sf_politics_subnav","Sanders’s Super Tuesday ‘contrast’ with Biden","https://www.washingtonpost.com/politics/2020/03/05/sanderss-super-tuesday-contrast-with-biden/"
"1589874744-1561","https://www.washingtonpost.com/news/fact-checker/?itid=sf_politics_subnav","Biden falsely attacks Trump over a food stamp policy supported by Bloomberg","https://www.washingtonpost.com/politics/2020/02/27/biden-falsely-attacks-trump-over-food-stamp-policy-supported-by-bloomberg/"
"1589874744-1670","https://www.washingtonpost.com/news/fact-checker/?itid=sf_politics_subnav","The school busing debate between Joe Biden and Kamala Harris","https://www.washingtonpost.com/politics/2019/07/29/school-busing-debate-between-joe-biden-kamala-harris/"
"1589874744-1642","https://www.washingtonpost.com/news/fact-checker/?itid=sf_politics_subnav","Sanders’s apples-and-oranges comparison on Medicare-for-all costs","https://www.washingtonpost.com/politics/2019/09/18/sanderss-apples-and-oranges-comparison-medicare-for-all-costs/"
"1589874744-1607","https://www.washingtonpost.com/news/fact-checker/?itid=sf_politics_subnav","Booker’s claim: More people have died from ‘gun violence’ in his lifetime than in all U.S. wars","https://www.washingtonpost.com/politics/2019/11/07/bookers-claim-more-people-have-died-gun-violence-his-lifetime-than-all-us-wars/"
"1589874744-1633","https://www.washingtonpost.com/news/fact-checker/?itid=sf_politics_subnav","Correcting a media error: Biden’s Ukraine showdown was in December 2015","https://www.washingtonpost.com/politics/2019/10/02/correcting-media-error-bidens-ukraine-showdown-was-december/"
"1589874744-1630","https://www.washingtonpost.com/news/fact-checker/?itid=sf_politics_subnav","The Brazilian Amazon is still burning. Who is responsible?","https://www.washingtonpost.com/politics/2019/10/07/brazilian-amazon-is-still-burning-who-is-responsible/"
"1589874744-1569","https://www.washingtonpost.com/news/fact-checker/?itid=sf_politics_subnav","Fact-checking the eighth Democratic primary debate","https://www.washingtonpost.com/politics/2020/02/07/fact-checking-eighth-democratic-primary-debate/"
"1589874744-1545","https://www.washingtonpost.com/news/fact-checker/?itid=sf_politics_subnav","What did Dr. Anthony Fauci say about coronavirus testing ‘failing’?","https://www.washingtonpost.com/politics/2020/03/18/what-did-dr-fauci-say-about-coronavirus-testing-failing/"
"1589874744-1675","https://www.washingtonpost.com/news/fact-checker/?itid=sf_politics_subnav","Joe Biden’s claim that he got ‘150,000 combat troops out of Iraq’","https://www.washingtonpost.com/politics/2019/07/22/joe-bidens-claim-that-he-got-combat-troops-out-iraq/"
"1589874744-1537","https://www.washingtonpost.com/news/fact-checker/?itid=sf_politics_subnav","What went wrong with coronavirus testing in the U.S.","https://www.washingtonpost.com/politics/2020/03/30/11-100000-what-went-wrong-with-coronavirus-testing-us/"
"1589874744-1608","https://www.washingtonpost.com/news/fact-checker/?itid=sf_politics_subnav","Trump’s false claim about what the Ukrainian president said about the U.S. ambassador","https://www.washingtonpost.com/politics/2019/11/06/trumps-false-claim-about-what-ukrainian-president-said-about-us-ambassador/"
"1589874744-1544","https://www.washingtonpost.com/news/fact-checker/?itid=sf_politics_subnav","Fact-checking the Biden fracking fracas","https://www.washingtonpost.com/politics/2020/03/19/fact-checking-biden-fracking-fracas/"
"1589874744-1571","https://www.washingtonpost.com/news/fact-checker/?itid=sf_politics_subnav","Fact-checking President Trump’s 2020 State of the Union address","https://www.washingtonpost.com/politics/2020/02/04/fact-checking-president-trumps-2020-state-union-address/"
"1589874744-1671","https://www.washingtonpost.com/news/fact-checker/?itid=sf_politics_subnav","Rubio cries ‘racist’ after being duped by a misleading tweet and video","https://www.washingtonpost.com/politics/2019/07/25/rubio-cries-racist-after-being-duped-by-misleading-tweet-video/"
"1589874744-1616","https://www.washingtonpost.com/news/fact-checker/?itid=sf_politics_subnav","How does this impeachment process compare with Nixon and Clinton?","https://www.washingtonpost.com/politics/2019/10/25/how-does-this-impeachment-process-compare-nixon-clinton/"
"1589874744-1635","https://www.washingtonpost.com/news/fact-checker/?itid=sf_politics_subnav","Are Warren and Sanders ‘100% grassroots-funded’?","https://www.washingtonpost.com/politics/2019/09/30/are-sanders-warren-grassroots-funded/"
