web-scraper-order,web-scraper-start-url,link,link-href
1589873061-969,https://www.washingtonpost.com/politics/?nid=top_nav_politics,The Health 202: The ACLU gives a thumbs down to coronavirus ‘immunity passports’,https://www.washingtonpost.com/politics/the-health-202-the-aclu-gives-a-thumb-down-to-coronavirus-immunity-passports/2020/05/18/6e98d45e-8ba6-4e02-8fdf-343e604c3ad7_story.html
1589873061-967,https://www.washingtonpost.com/politics/?nid=top_nav_politics,The Finance 202: Fed’s Powell keeps pressing Congress to spend more on economic relief,https://www.washingtonpost.com/politics/the-finance-202-feds-powell-keeps-pressing-congress-to-spend-more-on-economic-relief/2020/05/18/b28e684d-04e7-4f58-9287-431dd36e062c_story.html
1589873061-1126,https://www.washingtonpost.com/politics/?nid=top_nav_politics,Trump says he nominated Sessions as attorney general even though he wasn’t ‘equipped’ for the job,https://www.washingtonpost.com/politics/trump-says-he-nominated-sessions-as-attorney-general-even-though-he-wasnt-equipped-for-the-job/2020/05/08/78f369be-912f-11ea-9e23-6914ee410a5f_story.html
1589873061-1021,https://www.washingtonpost.com/politics/?nid=top_nav_politics,The Technology 202: Buzzing bracelets could become a workplace accessory in the coronavirus era,https://www.washingtonpost.com/politics/the-technology-202-buzzing-bracelets-could-become-a-workplace-accessory-in-the-coronavirus-era/2020/05/14/e631fad4-a1c4-4ad5-9e1e-d42a6c627e7a_story.html
1589873061-1129,https://www.washingtonpost.com/politics/?nid=top_nav_politics,Trump’s inexplicable ‘Fox and Friends’ admission about hiring Jeff Sessions,https://www.washingtonpost.com/politics/2020/05/08/trump-inadvertently-blames-himself-alleged-rot-fbi/
1589873061-1082,https://www.washingtonpost.com/politics/?nid=top_nav_politics,The Health 202: Trump’s coronavirus testing goal is on the low side of what public health experts recommend,https://www.washingtonpost.com/politics/the-health-202-trumps-coronavirus-testing-goal-is-on-the-low-side-of-what-public-health-experts-recommend/2020/05/12/fbca164a-106f-4e7d-abbe-2f356451b9c3_story.html
1589873061-1016,https://www.washingtonpost.com/politics/?nid=top_nav_politics,5 takeaways from coronavirus whistleblower Rick Bright’s testimony,https://www.washingtonpost.com/politics/2020/05/14/3-takeaways-coronavirus-whistleblower-rick-brights-testimony/
1589873061-1095,https://www.washingtonpost.com/politics/?nid=top_nav_politics,The Daily 202: Infections and isolations of top government officials undercut Trump’s coronavirus messaging,https://www.washingtonpost.com/politics/the-daily-202-infections-and-isolations-of-top-government-officials-undercut-trumps-coronavirus-messaging/2020/05/11/fa3292ef-2d40-4e93-83f6-045db281abb4_story.html
1589873061-1011,https://www.washingtonpost.com/politics/?nid=top_nav_politics,Democrats say Trump is engaging in a ‘sick’ strategy of distraction in attempts to tag Biden in Flynn case,https://www.washingtonpost.com/politics/democrats-say-trump-is-engaging-in-a-sick-strategy-of-distraction-in-attempts-to-tag-biden-in-flynn-case/2020/05/14/7c3e3ce0-9605-11ea-91d7-cf4423d47683_story.html
1589873061-1124,https://www.washingtonpost.com/politics/?nid=top_nav_politics,The economy is robbing Trump of his most common pitch to black Americans,https://www.washingtonpost.com/politics/2020/05/08/economy-is-robbing-trump-his-most-common-pitch-black-americans/
