web-scraper-order,web-scraper-start-url,link,link-href
"1589874393-1479","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Why voting by mail will be so hard for states to set up on the fly","https://www.washingtonpost.com/politics/2020/04/03/vote-by-mail-difficulties/"
"1589874393-1379","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Hypocrisy watch: Republicans who championed inspectors general under Obama stand by as Trump purges them","https://www.washingtonpost.com/politics/2020/05/18/hypocrisy-watch-republicans-who-championed-inspectors-general-under-obama-stand-by-trump-purges-them/"
"1589874393-1455","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","4 reasons coronavirus is hitting black communities so hard","https://www.washingtonpost.com/politics/2020/04/10/4-reasons-coronavirus-is-hitting-black-communities-so-hard/"
"1589874393-1462","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","‘One of the greatest travesties in American history’: Barr drops all pretense about ongoing probe of Russia investigation","https://www.washingtonpost.com/politics/2020/04/09/one-greatest-travesties-american-history-barr-drops-all-pretense-about-ongoing-probe-russia-investigation/"
"1589874393-1450","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Trump’s propaganda-laden, off-the-rails coronavirus briefing","https://www.washingtonpost.com/politics/2020/04/13/trumps-propaganda-laden-off-the-rails-coronavirus-briefing/"
"1589874393-1454","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Trump’s new ad attacking Biden on China is a complete and utter mess","https://www.washingtonpost.com/politics/2020/04/10/trumps-new-ad-attacking-biden-china-is-complete-utter-mess/"
"1589874393-1471","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","What you need to know from Monday’s White House coronavirus briefing","https://www.washingtonpost.com/politics/2020/04/06/what-you-need-know-mondays-white-house-coronavirus-briefing/"
"1589874393-1422","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Trump is angry about his poll numbers. And he has very good reason to be.","https://www.washingtonpost.com/politics/2020/04/30/trump-is-angry-about-his-poll-numbers-he-has-very-good-reason-be/"
"1589874393-1487","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","New York Mayor Bill de Blasio’s repeated comments downplaying the coronavirus","https://www.washingtonpost.com/politics/2020/04/01/new-york-mayor-bill-de-blasios-repeated-comments-downplaying-coronavirus/"
"1589874393-1405","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Should Congress protect businesses from coronavirus lawsuits?","https://www.washingtonpost.com/politics/2020/05/08/lawsuit-coronavirus-congress/"
"1589874393-1380","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Trump’s slow-motion Friday night massacre of inspectors general","https://www.washingtonpost.com/politics/2020/05/16/trumps-slow-moving-friday-night-massacre-inspectors-general/"
"1589874393-1469","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","For some black Americans, anxiety about wearing face coverings in public may keep them from doing so","https://www.washingtonpost.com/politics/2020/04/07/some-black-americans-anxiety-about-wearing-face-coverings-public-may-keep-them-doing-so/"
"1589874393-1400","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","The latest allegation of William Barr’s malfeasance, explained","https://www.washingtonpost.com/politics/2020/05/11/latest-allegation-william-barrs-malfeasance-explained/"
"1589874393-1433","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Trump’s long history of medical freelancing","https://www.washingtonpost.com/politics/2020/04/24/dr-donalds-long-history-medical-freelancing/"
"1589874393-1453","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Why the Trump-Fauci tension matters","https://www.washingtonpost.com/politics/2020/04/13/why-trump-fauci-tension-matters/"
"1589874393-1438","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","4 takeaways from Thursday’s White House coronavirus briefing","https://www.washingtonpost.com/politics/2020/04/16/white-house-coronavirus-briefing-takeaways/"
"1589874393-1477","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","The Trump administration just changed its description of the national stockpile to jibe with Jared Kushner’s controversial claim","https://www.washingtonpost.com/politics/2020/04/03/jared-kushner-stands-trump-proceeds-offer-very-trumpian-claim-about-stockpiles/"
"1589874393-1460","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Trump vs. the WHO: Breaking down the president’s claims and the WHO’s actions","https://www.washingtonpost.com/politics/2020/04/09/trump-vs-who/"
"1589874393-1481","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Data on the race of coronavirus victims is inconsistent. Rep. Ayanna Pressley wants to change that.","https://www.washingtonpost.com/politics/2020/04/02/data-race-coronavirus-victims-is-inconsistent-rep-ayanna-pressley-wants-change-that/"
"1589874393-1448","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Wisconsin’s Supreme Court race is just the latest win for Democrats in this presidential swing state","https://www.washingtonpost.com/politics/2020/04/14/wisconsins-supreme-court-race-is-just-latest-win-democrats-this-presidential-swing-state/"
"1589874393-1391","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Few appear more anxious about states reopening than black Americans","https://www.washingtonpost.com/politics/2020/05/13/few-appear-more-anxious-about-states-reopening-than-black-americans/"
"1589874393-1437","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Fox News host Laura Ingraham’s interview with Anthony Fauci goes sideways","https://www.washingtonpost.com/politics/2020/04/17/laura-ingraham-fauci-interview/"
"1589874393-1404","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","There’s anger about Ahmaud Arbery’s shooting across the political spectrum","https://www.washingtonpost.com/politics/2020/05/07/why-outrage-about-amaud-arberys-shooting-came-all-corners-political-spectrum-quickly/"
"1589874393-1409","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Believe Tara Reade or Joe Biden? Voters are split.","https://www.washingtonpost.com/politics/2020/05/06/believe-tara-reade-or-joe-biden-voters-are-split/"
"1589874393-1392","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Michael Flynn’s judge said he arguably ‘sold your country out’ and even mentioned ‘treason.’ Will he now let Flynn go free?","https://www.washingtonpost.com/politics/2020/05/13/why-michael-flynn-may-not-be-out-woods-yet/"
"1589874393-1407","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","When Trump covered for China’s alleged coronavirus coverup","https://www.washingtonpost.com/politics/2020/05/07/when-trump-covered-chinas-alleged-coronavirus-coverup/"
"1589874393-1486","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Trump now says he knew the virus ‘could be horrible’ when he was saying things like ‘it’s going to disappear’","https://www.washingtonpost.com/politics/2020/04/01/trump-now-says-he-knew-virus-could-be-horrible-when-he-was-saying-things-like-its-going-disappear/"
"1589874393-1384","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","What we know about Tara Reade’s sexual assault allegation against Joe Biden","https://www.washingtonpost.com/politics/2020/04/30/who-is-tara-reade-biden-accuser/"
"1589874393-1474","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Inspector general fired by Trump sends warning signal for American democracy","https://www.washingtonpost.com/politics/2020/04/06/inspector-general-fired-by-trump-sends-warning-signal-american-democracy/"
"1589874393-1494","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","A down economy could affect mental health, but staying connected can help, expert says","https://www.washingtonpost.com/politics/2020/03/30/what-do-we-know-about-how-down-economy-will-affect-suicides/"
"1589874393-1496","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Trump moves the coronavirus goal posts, pre-spinning 100,000 deaths as ‘a very good job’","https://www.washingtonpost.com/politics/2020/03/30/trump-moves-coronavirus-goal-posts-pre-spinning-100000-deaths-very-good-job/"
"1589874393-1475","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","What you need to know from Sunday’s White House coronavirus briefing","https://www.washingtonpost.com/politics/2020/04/05/sunday-white-house-coronaivirus-takeaways/"
"1589874393-1429","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Trump’s aversion to intelligence and details comes into full focus on coronavirus response","https://www.washingtonpost.com/politics/2020/04/28/trumps-allergy-intelligence-details-come-into-full-focus-coronavirus-response/"
"1589874393-1491","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Trump’s clueless comment about coronavirus testing problems","https://www.washingtonpost.com/politics/2020/03/31/trumps-clueless-comment-about-coronavirus-testing-problems/"
"1589874393-1396","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Two big warning signs for Trump in the new coronavirus poll — signs he doesn’t seem to want to see","https://www.washingtonpost.com/politics/2020/05/12/2-big-warning-signs-trump-new-coronavirus-poll-signs-he-doesnt-seem-want-see/"
"1589874393-1472","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Trump’s and Fox News’s downplaying of the coronavirus wasn’t on par with other media, no matter what you read","https://www.washingtonpost.com/politics/2020/04/06/trumps-fox-newss-downplaying-coronavirus-wasnt-par-with-other-media-no-matter-what-you-read/"
"1589874393-1383","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","What is ‘Obamagate,’ anyway? And how does it involve Michael Flynn?","https://www.washingtonpost.com/politics/2020/05/14/what-is-obamagate-how-does-it-involve-michael-flynn/"
"1589874393-1451","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","The new campaign normal: Joe Biden gets a huge endorsement from Bernie Sanders — through a screen","https://www.washingtonpost.com/politics/2020/04/13/new-campaign-normal-joe-biden-gets-huge-endorsement-bernie-sanders-through-screen/"
"1589874393-1485","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Trump’s most belittling comments about the coronavirus","https://www.washingtonpost.com/politics/2020/04/01/pence-says-trump-never-belittled-coronavirus-heres-how-wrong-that-is/"
"1589874393-1394","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Fauci responds to Rand Paul and his skeptics: He’s not trying to be the 'end-all’ on coronavirus response","https://www.washingtonpost.com/politics/2020/05/12/fauci-responds-rand-paul-his-skeptics-hes-not-trying-be-end-all-coronavirus-response/"
"1589874393-1447","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Trump and Fauci’s conspicuous non-denial denials about early coronavirus warnings","https://www.washingtonpost.com/politics/2020/04/14/trump-fauci-didnt-actually-deny-that-health-officials-wanted-stronger-measures-february/"
"1589874393-1377","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","The Trump administration keeps downgrading its economic projections amid the coronavirus pandemic","https://www.washingtonpost.com/politics/2020/05/18/trump-administration-keeps-downgrading-its-economic-projections-amid-coronavirus-pandemic/"
"1589874393-1411","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Trump still wants a payroll-tax cut for the coronavirus, and it’s still unlikely he’ll get it","https://www.washingtonpost.com/politics/2020/03/14/why-trump-isnt-getting-payroll-tax-cut-he-wanted-coronavirus/"
"1589874393-1415","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Birx’s ‘Fox News Sunday’ interview lays bare the discord in Trump’s coronavirus response","https://www.washingtonpost.com/politics/2020/05/03/birxs-fox-news-sunday-interview-lays-bare-discord-trumps-coronavirus-response/"
"1589874393-1499","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Trump ties coronavirus decisions to personal grievances","https://www.washingtonpost.com/politics/2020/03/27/trump-suggests-personal-grievances-factor-into-his-coronavirus-decisions/"
"1589874393-1388","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","‘You reek of ignorance’: Fox News hosts who once hailed Michael Flynn’s judge now say he’s hopelessly biased","https://www.washingtonpost.com/politics/2020/05/14/you-reek-ignorance-fox-news-hosts-who-once-hailed-michael-flynns-judge-now-say-hes-hopelessly-biased/"
"1589874393-1412","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Eric Holder endorses Joe Biden, saying he will be ‘forward-leaning’ on criminal justice reform","https://www.washingtonpost.com/politics/2020/05/06/eric-holder-endorses-joe-biden-saying-he-will-be-forward-leaning-criminal-justice-reform/"
"1589874393-1428","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Who thinks Trump is ‘honest and trustworthy’? Fox News fans, and very few others.","https://www.washingtonpost.com/politics/2020/04/28/who-thinks-trump-is-honest-trustworthy-fox-news-fans-very-few-others/"
"1589874393-1420","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","City and state political leaders divided on how to respond to coronavirus","https://www.washingtonpost.com/politics/2020/05/01/city-state-political-leaders-divided-how-respond-coronavirus/"
"1589874393-1414","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Fox News and Trump allies keep floating debunked theories about an inflated coronavirus death toll","https://www.washingtonpost.com/politics/2020/05/04/fox-news-trump-allies-keep-searching-evidence-an-inflated-coronavirus-death-toll-all-wrong-places/"
"1589874393-1468","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Incoming White House press secretary Kayleigh McEnany accused Democrats of rooting for the coronavirus","https://www.washingtonpost.com/politics/2020/04/07/incoming-white-house-press-secretary-kayleigh-mcenany-has-echoed-trumps-controversial-coronavirus-talking-points/"
"1589874393-1402","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","The economy is robbing Trump of his most common pitch to black Americans","https://www.washingtonpost.com/politics/2020/05/08/economy-is-robbing-trump-his-most-common-pitch-black-americans/"
"1589874393-1458","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","What you need to know from Thursday’s White House coronavirus briefing","https://www.washingtonpost.com/politics/2020/04/09/what-you-need-know-thursdays-white-house-coronavirus-briefing/"
"1589874393-1488","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","What you really need to know from Tuesday’s White House coronavirus briefing","https://www.washingtonpost.com/politics/2020/03/31/trump-coronavirus-briefing-takeaways/"
"1589874393-1425","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","The coronavirus death toll just surpassed Vietnam. Here’s why that comparison is fraught.","https://www.washingtonpost.com/politics/2020/04/29/coronavirus-vietnam-deaths/"
"1589874393-1440","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","How far can Joe Biden go to appeal to former Sanders supporters and Democrats on the left?","https://www.washingtonpost.com/politics/2020/04/16/how-far-can-joe-biden-go-appeal-former-sanders-supporters-democrats-left/"
"1589874393-1393","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Six takeaways from Anthony Fauci’s and other health officials’ testimony","https://www.washingtonpost.com/politics/2020/05/12/3-early-takeaways-anthony-faucis-health-officials-testimony/"
"1589874393-1443","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","6 zombie claims about the coronavirus that just won’t go away","https://www.washingtonpost.com/politics/2020/04/15/6-zombie-claims-about-coronavirus-that-just-wont-go-away/"
"1589874393-1482","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Georgia Gov. Brian Kemp, who resisted strict coronavirus measures, says he just learned it transmits asymptomatically","https://www.washingtonpost.com/politics/2020/04/02/georgia-gov-brian-kemp-who-resisted-strict-coronavirus-measures-says-he-just-learned-it-transmitted-asymptomatically/"
"1589874393-1501","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","What exactly has Trump done — or not done — to receive such harsh criticism for his coronavirus response?","https://www.washingtonpost.com/politics/2020/03/27/what-exactly-has-trump-done-or-not-done-receive-such-harsh-criticism-his-coronavirus-response/"
"1589874393-1478","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","‘I just don’t understand why we’re not doing that’: Fauci calls for nationwide stay-at-home order, despite Trump’s resistance","https://www.washingtonpost.com/politics/2020/04/03/i-just-dont-understand-why-were-not-doing-that-fauci-calls-nationwide-stay-at-home-despite-trumps-resistance/"
"1589874393-1446","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Barack Obama’s endorsement of Joe Biden, annotated","https://www.washingtonpost.com/politics/2020/04/14/transcript-obama-biden-endorsement/"
"1589874393-1497","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Trump blames hospitals for mask and ventilator shortages","https://www.washingtonpost.com/politics/2020/03/29/trump-bizarrely-blames-hospitals-mask-ventilator-shortages/"
"1589874393-1385","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Trump’s playbook on ‘Obamagate’ is extremely — and dubiously — familiar","https://www.washingtonpost.com/politics/2020/05/15/trumps-playbook-obamagate-is-extremely-dubiously-familiar/"
"1589874393-1505","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Deborah Birx’s important reminder about coronavirus worst-case scenarios","https://www.washingtonpost.com/politics/2020/03/26/deborah-birxs-important-reminder-about-coronavirus-worst-case-scenarios/"
"1589874393-1480","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","What you should know from Thursday’s White House coronavirus briefing","https://www.washingtonpost.com/politics/2020/04/02/white-house-coronavirus-briefing-takeaways/"
"1589874393-1493","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Who are the lawmakers who have coronavirus, or have self-quarantined for it?","https://www.washingtonpost.com/politics/2020/03/13/members-of-congress-coronavirus-self-quarantine/"
"1589874393-1466","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","The 11 most logical picks for Joe Biden’s vice president, ranked","https://www.washingtonpost.com/politics/2020/04/08/11-most-logical-picks-joe-bidens-vice-president-ranked/"
"1589874393-1439","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Trump’s tricky dance on reopening the economy: How to take credit and reject blame","https://www.washingtonpost.com/politics/2020/04/16/trumps-tricky-dance-coronavirus-how-take-credit-reject-blame-reopening-states-economies/"
"1589874393-1473","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Wisconsin’s decision to hold its primary is threatening to become a worst-case scenario for elections amid a pandemic","https://www.washingtonpost.com/politics/2020/04/03/wisconsins-decision-go-ahead-with-its-primary-is-glimpse-worst-case-scenario-elections-during-coronavirus/"
"1589874393-1410","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Trump’s effort to wish away the coronavirus enters ‘the next stage’","https://www.washingtonpost.com/politics/2020/05/06/trumps-effort-wish-away-coronavirus-enters-next-stage/"
"1589874393-1408","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Kayleigh McEnany’s slippery defense of saying coronavirus will not ‘come here’","https://www.washingtonpost.com/politics/2020/05/06/mcenanys-slippery-defense-saying-coronavirus-will-not-come-here/"
"1589874393-1401","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Trump says coronavirus will disappear without a vaccine. Fauci has said the opposite.","https://www.washingtonpost.com/politics/2020/05/08/trump-says-coronavirus-will-disappear-without-vaccine-fauci-has-said-opposite/"
"1589874393-1403","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Trump’s inexplicable ‘Fox and Friends’ admission about hiring Jeff Sessions","https://www.washingtonpost.com/politics/2020/05/08/trump-inadvertently-blames-himself-alleged-rot-fbi/"
"1589874393-1419","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Biden left no room for the possibility of an official complaint by Tara Reade surfacing","https://www.washingtonpost.com/politics/2020/05/01/biden-left-no-room-possibility-an-official-complaint-by-tara-reade-surfacing/"
"1589874393-1484","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","What you need to know from Wednesday’s White House coronavirus briefing","https://www.washingtonpost.com/politics/2020/04/01/wednesday-trump-coronavirus-briefing/"
"1589874393-1389","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","Trump takes aim at Fauci, as GOP views of the expert quickly sour","https://www.washingtonpost.com/politics/2020/05/13/republicans-are-increasingly-turning-against-fauci/"
"1589874393-1435","https://www.washingtonpost.com/news/the-fix/?itid=sf_politics_subnav","3 takeaways from Thursday’s White House coronavirus briefing","https://www.washingtonpost.com/politics/2020/04/23/white-house-coronaivrus-briefing-takeaways/"
