link,link-href
Power Up: White House coronavirus cases highlight risks of officials not following federal guidelines,https://www.washingtonpost.com/politics/power-up-white-house-coronavirus-cases-highlight-risks-of-officials-not-following-federal-guidelines/2020/05/11/3d15c2aa-4001-498b-9d2e-8a4ea2d8ccf8_story.html
Trump administration asks Supreme Court to stop release of Mueller material,https://www.washingtonpost.com/politics/courts_law/trump-administration-asks-supreme-court-to-stop-release-of-mueller-material/2020/05/07/c6d85df6-9080-11ea-a0bc-4e9ad4866d21_story.html
Trump ramps up retaliatory purge with firing of State Department inspector general,https://www.washingtonpost.com/politics/trump-ramps-up-retaliatory-purge-with-firing-of-state-department-inspector-general/2020/05/16/8f8b55da-979a-11ea-82b4-c8db161ff6e5_story.html
Power Up: Democratic activists scramble to sign up new voters during coronavirus pandemic,https://www.washingtonpost.com/politics/power-up-democratic-activists-scramble-to-sign-up-new-voters-during-coronavirus-pandemic/2020/05/18/5a314e43-9fbe-4f3d-ad5a-80d789e3f37c_story.html
Power Up: Black and Hispanic Americans are getting laid off at higher rates than white workers.,https://www.washingtonpost.com/politics/power-up-black-and-hispanic-americans-are-getting-laid-off-at-higher-rates-than-white-workers/2020/05/07/0c23a777-8e71-4596-bfd3-301bfccf5322_story.html
"Joe Biden denies he sexually assaulted a former Senate aide, calls on National Archives to release complaint if one exists",https://www.washingtonpost.com/politics/joe-biden-denies-he-sexually-assaulted-a-former-senate-aide/2020/05/01/08d59662-8b39-11ea-9dfd-990f9dcc71fc_story.html
"Inspector general nominee for coronavirus fund pledges independence, faces skepticism from Democrats",https://www.washingtonpost.com/us-policy/2020/05/05/senate-coronavirus-inspector-general/
Justice Dept. moves to drop case against Michael Flynn,https://www.washingtonpost.com/local/legal-issues/justice-dept-moves-to-void-michael-flynns-conviction-in-muellers-russia-probe/2020/05/07/9bd7885e-679d-11ea-b313-df458622c2cc_story.html
"The coronavirus, the election and the sunshine paradox",https://www.washingtonpost.com/politics/2020/05/01/coronavirus-election-sunshine-paradox/
"Top Trump economic advisers say unemployment rate could surpass 20 percent, job market could worsen",https://www.washingtonpost.com/politics/top-trump-economic-advisers-say-unemployment-rate-could-surpass-20-percent-job-market-could-worsen/2020/05/10/3547c296-92e2-11ea-91d7-cf4423d47683_story.html
Trump and his allies are much more interested in talking Flynn than coronavirus,https://www.washingtonpost.com/politics/2020/05/11/trump-his-allies-are-much-more-interested-talking-flynn-than-coronavirus/
The Health 202: Trump’s claim coronavirus vaccine coming by year’s end undercut by ousted vaccine official,https://www.washingtonpost.com/politics/the-health-202-trumps-claim-coronavirus-vaccine-coming-by-years-end-undercut-by-ousted-vaccine-official/2020/05/15/8538b903-f672-4380-bbe8-c2e686d9e21b_story.html
"McConnell, Pelosi decline Trump administration offer of rapid coronavirus tests as states loosen lockdown orders",https://www.washingtonpost.com/politics/mcconnell-pelosi-decline-trump-administration-offer-of-rapid-coronavirus-tests-as-states-loosen-lockdown-orders/2020/05/02/f1a92bf4-8cad-11ea-8ac1-bfb250876b7a_story.html
The Daily 202: 11 states seek DOJ investigation of meat shortages and price hikes amid coronavirus contagion,https://www.washingtonpost.com/politics/the-daily-202-11-states-seek-doj-investigation-of-meat-shortages-and-price-hikes-amid-coronavirus-contagion/2020/05/06/5f376f40-c498-4449-b462-95188ed93ac7_story.html
